"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:58.1","5:58.1","1.00","5:58","5:50","139","149","9","1","304","4.41","361","5.23","173","264","50.4% S / 49.6% D","0.97","9.2","9.3","68","21.0","5:22","178","5:58.1","5:58","--","--"
"2","5:57.4","11:55","1.00","5:57","5:59","148","153","4","6","286","4.14","347","5.03","174","262","50.2% S / 49.8% D","0.97","9.1","9.1","70","16.0","5:47","178","5:57","5:57","--","--"
"3","5:56.8","17:52","1.00","5:57","6:02","148","151","0","5","290","4.20","323","4.68","174","261","50.2% S / 49.8% D","0.97","9.0","9.1","69","14.0","5:47","177","5:56.8","5:57","--","--"
"4","5:59.5","23:52","1.00","5:59","6:00","150","156","3","3","296","4.29","384","5.57","173","265","50.2% S / 49.8% D","0.97","9.2","9.3","71","13.0","5:41","176","5:59","5:59","--","--"
"5","6:04.8","29:56","1.00","6:05","6:04","147","151","3","3","291","4.22","317","4.59","171","270","50.5% S / 49.5% D","0.96","9.2","9.4","70","13.0","5:56","175","6:04.8","6:05","--","--"
"6","6:02.5","35:59","1.00","6:02","6:03","148","153","2","2","292","4.23","327","4.74","171","267","50.5% S / 49.5% D","0.97","9.3","9.4","70","12.0","5:42","174","6:02","6:02","--","--"
"7","6:04.4","42:03","1.00","6:04","6:05","148","152","5","5","288","4.17","339","4.91","169","270","50.7% S / 49.3% D","0.97","9.5","9.6","69","13.0","5:44","173","6:04.4","6:04","--","--"
"8","6:03.9","48:07","1.00","6:04","6:08","148","152","1","5","281","4.07","327","4.74","169","268","50.3% S / 49.7% D","0.97","9.6","9.7","68","13.0","5:56","174","6:03.9","6:04","--","--"
"9","6:02.2","54:10","1.00","6:02","6:02","146","149","1","0","279","4.04","317","4.59","172","266","50.6% S / 49.4% D","0.96","9.2","9.4","67","14.0","5:51","176","6:02","6:02","--","--"
"10","5:51.6","1:00:01","1.00","5:52","5:48","148","153","5","0","301","4.36","361","5.23","173","258","50.2% S / 49.8% D","0.98","9.6","9.5","70","14.0","5:37","178","5:51.6","5:52","--","--"
"11","5:59.0","1:06:00","1.00","5:59","5:56","148","152","3","0","310","4.49","354","5.13","170","264","50.3% S / 49.7% D","0.98","9.9","9.9","68","12.0","5:49","173","5:59","5:59","--","--"
"12","5:55.8","1:11:56","1.00","5:56","5:57","147","150","0","2","297","4.30","331","4.80","170","266","50.2% S / 49.8% D","1.00","9.8","9.6","66","12.0","5:34","174","5:55","5:55","--","--"
"13","5:51","1:17:47","1.00","5:51","5:53","147","150","0","1","289","4.19","304","4.41","171","262","50.4% S / 49.6% D","0.99","9.7","9.5","64","13.0","5:46","174","5:51","5:51","--","--"
"14","5:54.2","1:23:41","1.00","5:54","5:51","147","151","4","0","304","4.41","351","5.09","171","264","50.3% S / 49.7% D","0.99","9.6","9.5","66","14.0","5:37","175","5:54.2","5:54","--","--"
"15","5:52.6","1:29:34","1.00","5:53","5:57","146","149","0","7","283","4.10","320","4.64","172","261","50.3% S / 49.7% D","0.99","9.6","9.4","63","13.0","5:41","175","5:52","5:52","--","--"
"16","5:55.8","1:35:29","1.00","5:56","5:55","147","150","2","1","292","4.23","335","4.86","172","262","50.4% S / 49.6% D","0.98","9.6","9.5","65","13.0","5:35","175","5:55.8","5:56","--","--"
"17","5:56.5","1:41:26","1.00","5:57","5:53","147","150","4","1","300","4.35","383","5.55","171","263","50.4% S / 49.6% D","0.99","9.7","9.6","65","13.0","5:41","173","5:56","5:56","--","--"
"18","6:05.8","1:47:32","1.00","6:06","6:02","148","151","5","0","297","4.30","335","4.86","170","265","50.5% S / 49.5% D","0.97","9.7","9.8","65","12.0","5:51","176","6:05.8","6:06","--","--"
"19","0:20.9","1:47:53","0.06","6:17","5:47","150","151","2","0","327","4.74","340","4.93","172","268","50.4% S / 49.6% D","0.95","8.9","9.3","4","12.0","6:03","174","0:20","6:00","--","--"
"Riepilogo","1:47:53","1:47:53","18.06","5:58","5:58","147","156","53","44","293","4.25","384","5.57","171","264","50.4% S / 49.6% D","0.98","9.5","9.5","1,218","13.6","5:22","178","1:47:48","5:58","--","--"
