"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:15.8","6:15.8","1.00","6:16","6:11","137","145","9","1","296","4.29","349","5.06","168","271","50.7% S / 49.3% D","0.95","9.6","10.0","70","22.0","5:30","174","6:15.8","6:16","--","--"
"2","6:25.0","12:41","1.00","6:25","6:23","144","148","3","2","281","4.07","317","4.59","168","273","50.4% S / 49.6% D","0.93","9.5","10.0","72","18.0","6:00","172","6:25.0","6:25","--","--"
"3","6:23.1","19:04","1.00","6:23","6:29","142","147","0","5","272","3.94","302","4.38","169","269","50.3% S / 49.7% D","0.93","9.4","9.9","69","16.0","6:10","172","6:23","6:23","--","--"
"4","6:49.1","25:53","1.00","6:49","6:44","141","145","7","10","262","3.80","320","4.64","163","288","50.3% S / 49.7% D","0.92","9.1","9.9","71","16.0","5:54","192","6:49","6:49","--","--"
"5","6:26.7","32:20","1.00","6:27","6:24","143","147","2","0","278","4.03","309","4.48","169","272","50.6% S / 49.4% D","0.92","9.2","9.8","70","15.0","6:10","174","6:26","6:26","--","--"
"6","6:47.0","39:07","1.00","6:47","6:51","141","148","2","3","252","3.65","318","4.61","164","294","50.5% S / 49.5% D","0.90","9.2","10.1","69","15.0","6:24","171","6:47","6:47","--","--"
"7","6:28.9","45:36","1.00","6:29","6:30","140","145","2","4","263","3.81","288","4.17","169","273","50.6% S / 49.4% D","0.91","9.1","9.8","67","15.0","6:11","173","6:28.9","6:29","--","--"
"8","6:25.3","52:01","1.00","6:25","6:24","142","147","1","0","269","3.90","310","4.49","169","270","50.5% S / 49.5% D","0.92","9.3","9.9","68","15.0","6:16","172","6:25.3","6:25","--","--"
"9","6:17.0","58:18","1.00","6:17","6:18","143","146","2","3","278","4.03","321","4.65","169","269","50.6% S / 49.4% D","0.95","9.5","9.8","67","14.0","5:48","172","6:17.0","6:17","--","--"
"10","6:19.6","1:04:37","1.00","6:20","6:15","144","149","5","0","281","4.07","312","4.52","169","269","50.8% S / 49.3% D","0.94","9.4","9.8","68","14.0","6:06","172","6:19","6:19","--","--"
"11","1:06.7","1:05:44","0.18","6:18","6:07","144","148","5","0","304","4.41","359","5.20","169","268","50.7% S / 49.3% D","0.93","9.5","9.9","12","14.0","6:19","171","1:06","6:14","--","--"
"Riepilogo","1:05:44","1:05:44","10.18","6:28","6:27","142","149","39","28","274","3.97","359","5.20","168","275","50.5% S / 49.5% D","0.92","9.3","9.9","703","16.0","5:30","192","1:05:42","6:27","--","--"
