"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.68","7:19","7:24","118","133","7","0","159","288","0.85","8.1","9.6","278","268","3.41","337","4.28","49","26.0","6:28","176","4:58","7:16"
"","1","Corsa","2 - 5","20:00","25:00","3.07","6:31","6:30","157","171","21","30","167","279","0.93","8.5","9.2","295","293","3.72","362","4.60","248","24.0","5:57","176","20:00","6:31"
"","","Corsa","2","6:33.4","11:33","1.00","6:33","6:30","142","147","13","16","167","279","0.91","8.4","9.2","299","295","3.75","362","4.60","79","25.0","5:57","176","6:33.4","6:33"
"","","Corsa","3","6:32.0","18:05","1.00","6:32","6:34","159","168","4","10","167","280","0.93","8.5","9.2","289","288","3.66","346","4.40","80","24.0","6:07","172","6:32.0","6:32"
"","","Corsa","4","6:27.2","24:33","1.00","6:27","6:26","168","171","4","4","166","280","0.94","8.6","9.1","297","295","3.75","336","4.27","83","24.0","6:11","174","6:27","6:27"
"","","Corsa","5","0:27.4","25:00","0.07","6:37","6:41","167","168","0","0","166","282","0.92","8.5","9.3","287","282","3.58","284","3.61","6","24.0","6:34","167","0:27.4","6:37"
"","2","Corsa","6 - 8","15:00","40:00","2.28","6:35","6:36","169","174","5","7","167","281","0.91","8.4","9.2","286","285","3.62","356","4.52","191","26.0","5:46","174","14:59","6:35"
"","","Corsa","6","6:31.0","31:31","1.00","6:31","6:34","168","171","1","2","167","280","0.92","8.5","9.2","287","287","3.65","356","4.52","84","25.0","5:46","172","6:31","6:31"
"","","Corsa","7","6:37.6","38:09","1.00","6:38","6:36","170","174","2","4","167","280","0.92","8.5","9.2","284","284","3.61","313","3.98","84","26.0","6:16","174","6:37","6:37"
"","","Corsa","8","1:51.4","40:00","0.28","6:41","6:44","171","172","1","0","166","284","0.89","8.4","9.4","284","284","3.61","309","3.93","23","27.0","6:40","169","1:51.4","6:41"
"","","Defaticamento","9 - 10","7:15.8","47:16","1.07","6:47","6:45","170","174","5","3","165","285","0.90","8.4","9.4","283","283","3.60","323","4.10","88","27.0","6:30","167","7:14","6:45"
"","","Defaticamento","9","5:00","45:00","0.75","6:40","6:42","170","173","2","3","165","283","0.91","8.5","9.3","282","283","3.60","298","3.79","61","27.0","6:30","167","4:59","6:38"
"","","Defaticamento","10","2:15.8","47:16","0.32","7:04","6:53","170","174","3","0","164","287","0.87","8.3","9.6","283","283","3.60","323","4.10","27","28.0","6:33","167","2:15","7:02"
"","Riepilogo","--","--","47:16","47:16","7.10","6:39","6:37","159","174","37","40","166","281","0.91","8.4","9.3","289","286","3.63","362","4.60","576","25.4","5:46","176","47:13","6:39"
