Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:25.776,00:06:24.000,1,2,7,0:06:25  ,0:06:24  ,0:05:20  ,172.90625,183.0,90.52000122070314,132.0,144.0,30,69
2,00:06:23.648,00:06:23.648,1,1,4,0:06:23  ,0:06:23  ,0:06:12  ,174.59375,177.0,89.92000122070313,143.0,147.0,26,72
3,00:06:23.890,00:06:23.890,1,0,8,0:06:23  ,0:06:23  ,0:06:17  ,174.5625,178.0,89.55999755859375,143.0,146.0,25,70
4,00:06:16.787,00:06:16.787,1,4,11,0:06:16  ,0:06:16  ,0:06:06  ,174.265625,179.0,91.32000122070313,146.0,149.0,25,71
5,00:06:07.462,00:06:07.000,1,0,1,0:06:07  ,0:06:07  ,0:05:55  ,174.09375,176.0,94.07000122070313,145.0,147.0,24,69
6,00:06:08.088,00:06:08.000,1,0,0,0:06:08  ,0:06:08  ,0:05:46  ,173.9375,176.0,93.87999877929688,146.0,149.0,24,69
7,00:06:10.788,00:06:10.788,1,0,1,0:06:10  ,0:06:10  ,0:06:00  ,173.5,175.0,92.47999877929688,145.0,149.0,24,68
8,00:06:10.873,00:06:10.873,1,1,1,0:06:10  ,0:06:10  ,0:05:53  ,173.265625,178.0,93.57999877929689,147.0,150.0,24,69
9,00:06:01.218,00:06:01.000,1,1,0,0:06:01  ,0:06:01  ,0:05:46  ,173.96875,177.0,95.45,148.0,152.0,23,69
10,00:05:54.998,00:05:54.998,1,0,0,0:05:54  ,0:05:54  ,0:05:33  ,173.390625,176.0,97.39000244140625,150.0,155.0,24,69
11,00:06:01.940,00:06:01.940,1,0,67,0:06:01  ,0:06:01  ,0:04:20  ,174.25,177.0,95.07000122070313,151.0,154.0,24,69
12,00:06:07.984,00:06:07.984,1,5,20,0:06:07  ,0:06:07  ,0:05:41  ,172.484375,175.0,95.02000122070314,150.0,154.0,24,69
13,00:06:25.409,00:06:25.000,1,7,12,0:06:25  ,0:06:25  ,0:05:19  ,167.375,177.0,93.85999755859376,147.0,153.0,24,67
14,00:06:20.869,00:06:20.869,1,6,10,0:06:20  ,0:06:20  ,0:06:04  ,171.1875,174.0,91.95999755859376,148.0,151.0,25,68
15,00:06:32.159,00:06:32.000,1,12,4,0:06:32  ,0:06:32  ,0:05:28  ,169.9375,174.0,91.42000122070313,150.0,154.0,25,71
16,00:00:41.431,00:00:41.000,0.11,3,0,0:06:25  ,0:06:21  ,0:06:21  ,170.421875,172.0,91.87999877929688,151.0,153.0,25,8
Summary,01:34:13.320,01:34:09.777,15.11,42,147,0:06:14  ,0:06:13  ,0:04:20  ,172.875,183.0,92.97999877929688,146.0,155.0,24.76,1047
