"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 4","22:29","22:29","4.00","5:37","5:39","148","161","18","31","168","266","50.9% S / 49.1% D","1.06","10.2","9.4","299","297","Nessun peso","416","Nessun peso","265","23.0","4:38","175","22:27","5:37"
"","","Riscaldamento","1","5:56.0","5:56.0","1.00","5:56","5:53","133","151","8","2","165","273","50.7% S / 49.3% D","1.02","10.3","10.0","298","298","Nessun peso","376","Nessun peso","64","27.0","5:05","171","5:56","5:56"
"","","Riscaldamento","2","5:28.6","11:25","1.00","5:29","5:33","153","159","2","14","169","263","51.1% S / 48.9% D","1.09","10.3","9.3","305","300","Nessun peso","370","Nessun peso","67","24.0","4:51","174","5:28","5:28"
"","","Riscaldamento","3","5:34.2","16:59","1.00","5:34","5:45","152","157","0","14","169","263","51.0% S / 49.0% D","1.07","10.2","9.3","283","283","Nessun peso","323","Nessun peso","66","22.0","5:09","174","5:34","5:34"
"","","Riscaldamento","4","5:30.2","22:29","1.00","5:30","5:25","155","161","8","0","169","263","51.0% S / 49.0% D","1.08","10.1","9.2","310","309","Nessun peso","416","Nessun peso","68","20.0","4:38","175","5:30.2","5:30"
"","","Riposo","5","1:30","23:59","0.16","9:36","9:14","134","158","1","4","119","444","50.5% S / 49.5% D","0.96","7.5","7.9","206","137","Nessun peso","319","Nessun peso","12","20.0","5:24","176","1:28","9:23"
"","1","Corsa","6","4:19.8","28:19","1.00","4:20","4:21","165","171","3","0","185","236","51.4% S / 48.6% D","1.23","9.4","7.5","373","377","Nessun peso","426","Nessun peso","59","19.0","4:01","188","4:19","4:19"
"","","Riposo","7","1:30","29:49","0.12","12:24","11:31","139","171","1","2","105","392","50.2% S / 49.8% D","0.82","5.5","6.9","221","89","Nessun peso","371","Nessun peso","12","19.0","4:26","183","1:28","12:08"
"","2","Corsa","8","4:14.7","34:04","1.00","4:15","4:17","166","173","2","1","185","234","51.7% S / 48.3% D","1.26","9.3","7.2","374","381","Nessun peso","435","Nessun peso","59","19.0","4:02","188","4:14.7","4:15"
"","","Riposo","9","1:30","35:34","0.11","13:35","12:14","149","174","0","1","108","450","51.3% S / 48.8% D","0.81","6.2","8.1","245","101","Nessun peso","410","Nessun peso","14","19.0","4:15","182","1:28","13:17"
"","3","Corsa","10","3:16.5","38:50","0.80","4:06","4:08","168","176","1","0","188","228","51.8% S / 48.2% D","1.29","9.3","7.1","381","391","Nessun peso","465","Nessun peso","46","18.0","3:41","196","3:16.5","4:06"
"","","Riposo","11","1:30","40:20","0.13","11:10","10:49","151","175","0","1","114","287","51.4% S / 48.6% D","0.84","6.3","7.7","242","112","Nessun peso","387","Nessun peso","15","18.0","4:13","180","1:28","10:55"
"","4","Corsa","12","3:19.9","43:40","0.80","4:10","4:10","168","177","3","0","185","232","51.8% S / 48.2% D","1.29","9.5","7.2","381","392","Nessun peso","437","Nessun peso","47","18.0","3:50","189","3:19.9","4:10"
"","","Riposo","13","1:30","45:10","0.13","11:33","11:06","152","177","0","0","112","323","51.4% S / 48.6% D","0.82","6.3","7.5","248","110","Nessun peso","424","Nessun peso","14","18.0","4:13","191","1:28","11:18"
"","5","Corsa","14","2:24.1","47:34","0.60","4:00","4:03","169","177","0","0","189","225","51.9% S / 48.1% D","1.31","9.3","6.9","388","403","Nessun peso","475","Nessun peso","34","18.0","3:40","196","2:24","4:00"
"","","Riposo","15","1:30","49:04","0.12","12:54","11:22","154","177","0","1","109","477","50.8% S / 49.2% D","0.84","5.8","7.3","261","107","Nessun peso","448","Nessun peso","14","17.0","3:59","186","1:28","12:37"
"","6","Corsa","16","2:24.5","51:29","0.60","4:01","4:01","169","178","2","0","189","226","51.9% S / 48.1% D","1.32","9.4","6.9","399","414","Nessun peso","493","Nessun peso","35","17.0","3:34","194","2:24","4:00"
"","","Riposo","17","1:30","52:59","0.12","12:13","11:03","155","178","0","0","109","457","51.0% S / 49.0% D","0.78","6.0","7.8","264","112","Nessun peso","428","Nessun peso","14","17.0","4:04","179","1:28","11:57"
"","7","Corsa","18","1:33.5","54:32","0.40","3:54","3:56","166","176","1","0","191","222","51.7% S / 48.3% D","1.32","9.3","7.0","392","416","Nessun peso","460","Nessun peso","22","17.0","3:47","194","1:33.5","3:54"
"","","Riposo","19","1:30","56:02","0.13","11:08","11:14","154","177","0","0","115","406","51.0% S / 49.0% D","0.78","6.7","8.8","259","118","Nessun peso","464","Nessun peso","14","17.0","3:59","194","1:28","10:54"
"","8","Corsa","20","1:32.5","57:35","0.40","3:51","3:48","167","177","1","0","191","221","51.8% S / 48.2% D","1.36","9.4","6.7","417","442","Nessun peso","466","Nessun peso","23","17.0","3:45","196","1:32","3:50"
"","","Riposo","21","0:23.8","57:58","0.03","13:51","7:56","176","177","0","0","119","423","51.6% S / 48.4% D","1.01","6.7","6.5","382","178","Nessun peso","466","Nessun peso","5","17.0","3:53","182","0:22","12:49"
"","9","Corsa","22","0:51.9","58:50","0.20","4:19","4:35","170","175","0","0","171","264","51.7% S / 48.3% D","1.22","8.5","7.1","335","348","Nessun peso","470","Nessun peso","12","17.0","3:26","193","0:51.9","4:19"
"","","Riposo","23","1:30","1:00:20","0.12","12:34","10:51","151","175","0","0","109","482","50.8% S / 49.2% D","0.81","5.7","6.9","272","110","Nessun peso","456","Nessun peso","14","17.0","3:47","184","1:28","12:17"
"","10","Corsa","24","0:43.2","1:01:03","0.20","3:36","3:41","160","172","0","0","189","220","51.1% S / 48.9% D","1.37","9.6","7.3","382","445","Nessun peso","507","Nessun peso","11","17.0","3:24","197","0:43","3:35"
"","","Riposo","25","1:30","1:02:33","0.14","11:02","10:15","157","173","3","4","112","477","51.2% S / 48.8% D","0.87","8.7","9.7","301","157","Nessun peso","658","Nessun peso","14","17.0","3:46","186","1:28","10:47"
