"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","17:57","17:57","3.00","5:59","--","153","168","24","33","157","287","1.07","9.8","9.2","273","267","Nessun peso","407","Nessun peso","201","30.0","5:23","163","17:53","5:58"
"","","Riscaldamento","1","5:57.2","5:57.2","1.00","5:57","5:50","144","158","7","6","157","285","1.08","9.8","9.1","284","276","Nessun peso","331","Nessun peso","64","31.0","5:23","163","5:53","5:53"
"","","Riscaldamento","2","5:51.7","11:49","1.00","5:52","5:52","159","168","8","16","159","286","1.08","9.9","9.2","270","266","Nessun peso","346","Nessun peso","68","30.0","5:29","163","5:51.7","5:52"
"","","Riscaldamento","3","6:08.0","17:57","1.00","6:08","6:05","156","160","9","11","154","291","1.06","9.8","9.3","265","258","Nessun peso","407","Nessun peso","69","29.0","5:47","161","6:08.0","6:08"
"","","Riposo","4","1:30","19:27","0.10","15:21","--","133","155","0","8","83","299","0.86","6.5","7.8","52","69","Nessun peso","260","Nessun peso","11","27.0","6:05","156","1:13","12:27"
"","1","Corsa","5","3:28.8","22:56","0.80","4:21","--","163","173","11","0","171","239","1.31","9.8","7.4","403","392","Nessun peso","519","Nessun peso","45","26.0","3:23","179","3:28.8","4:21"
"","","Riposo","6","1:30","24:26","0.12","12:12","--","140","171","0","4","98","253","0.84","6.3","7.6","80","96","Nessun peso","374","Nessun peso","12","25.0","4:27","169","1:29","12:04"
"","2","Corsa","7","3:23.5","27:49","0.80","4:14","--","167","177","7","0","175","235","1.32","9.7","7.3","372","366","Nessun peso","450","Nessun peso","45","25.0","3:51","219","3:23.5","4:14"
"","","Riposo","8","1:30","29:19","0.12","12:06","--","146","175","0","5","104","256","0.83","6.2","7.5","75","93","Nessun peso","369","Nessun peso","12","25.0","4:15","176","1:29","11:58"
"","3","Corsa","9","3:24.8","32:44","0.80","4:16","--","168","178","7","1","173","237","1.32","9.7","7.3","398","391","Nessun peso","504","Nessun peso","46","24.0","3:59","179","3:24.8","4:16"
"","","Riposo","10 - 11","2:30","35:14","0.20","12:39","--","138","177","1","3","99","254","0.82","6.0","7.6","75","87","Nessun peso","387","Nessun peso","17","24.0","4:19","214","2:29","12:34"
"","","Riposo","10","1:30","34:14","0.12","12:22","11:32","151","177","1","2","100","255","0.85","6.1","7.6","244","97","Nessun peso","387","Nessun peso","13","24.0","4:19","172","1:29","12:14"
"","","Riposo","11","1:00","35:14","0.08","13:05","13:36","119","123","0","1","98","254","0.77","5.7","7.6","75","73","Nessun peso","131","Nessun peso","4","24.0","11:45","214","1:00","13:05"
"","4","Corsa","12","1:35.4","36:50","0.40","3:59","--","162","175","5","1","179","223","1.39","9.5","6.9","412","402","Nessun peso","460","Nessun peso","23","24.0","3:44","214","1:35.4","3:59"
"","","Riposo","13","1:00","37:50","0.08","12:29","--","164","176","1","2","81","227","1.04","6.3","6.9","62","93","Nessun peso","396","Nessun peso","11","24.0","4:05","177","0:59","12:16"
"","5","Corsa","14","1:35.3","39:25","0.40","3:58","--","166","177","2","0","175","222","1.39","9.5","6.8","388","373","Nessun peso","417","Nessun peso","20","24.0","3:43","190","1:35.3","3:58"
"","","Riposo","15","1:00","40:25","0.09","11:35","--","168","178","0","2","99","219","0.86","6.2","7.3","78","100","Nessun peso","379","Nessun peso","12","24.0","3:57","181","0:59","11:23"
"","6","Corsa","16","1:36.2","42:01","0.40","4:01","--","168","180","4","1","177","223","1.39","9.6","6.9","435","423","Nessun peso","494","Nessun peso","21","24.0","3:33","184","1:36.2","4:01"
"","","Riposo","17","1:00","43:01","0.08","11:56","--","165","181","0","1","100","257","0.82","6.1","8.0","77","96","Nessun peso","401","Nessun peso","11","23.0","4:09","176","0:59","11:44"
"","7","Corsa","18","1:34.4","44:35","0.40","3:56","--","167","178","2","0","177","223","1.38","9.4","6.8","417","410","Nessun peso","466","Nessun peso","20","23.0","3:46","184","1:34.4","3:56"
"","","Riposo","19","1:00","45:35","0.09","11:43","--","167","180","0","1","103","244","0.89","6.4","7.3","89","122","Nessun peso","428","Nessun peso","12","23.0","3:58","177","1:00","11:43"
"","8","Corsa","20","1:36.1","47:12","0.40","4:00","--","168","180","2","1","174","224","1.38","9.5","6.9","387","380","Nessun peso","449","Nessun peso","21","23.0","3:25","184","1:36.1","4:00"
"","","Riposo","21","1:00","48:12","0.08","12:24","--","168","180","0","1","96","231","0.88","6.0","7.4","71","87","Nessun peso","384","Nessun peso","12","23.0","4:04","171","0:59","12:11"
"","9","Corsa","22","1:36.3","49:48","0.40","4:01","--","167","176","1","1","175","223","1.42","9.7","6.8","--","380","Nessun peso","418","Nessun peso","20","23.0","3:41","188","1:00","2:30"
"","Riepilogo","--","--","1:08:00","1:08:00","11.50","5:55","5:37","158","181","67","68","149","258","1.15","9.0","8.0","324","273","Nessun peso","519","Nessun peso","564","26.4","3:23","219","48:43","4:14"
