"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Rana","1","25","0:49.7","0:49.7","3:19","3:19","69","105","116","19","19","7"
"","1.1","Rana","1","25","0:49.7","0:49.7","3:19","3:19","69","104","116","19","--","--"
"","","Riposo","0","0","0:27.6","1:17.4","0","0","0","97","104","0","0","2"
"","2","Misto","3","75","2:28.1","3:45.4","3:17","2:10","64","94","132","43","14","12"
"","2.1","Stile libero","1","25","0:32.4","0:32.4","2:10","2:10","44","101","110","12","--","--"
"","2.2","Rana","1","25","1:05.6","1:37.9","4:22","4:22","82","96","110","16","--","--"
"","2.3","Stile libero","1","25","0:50.1","2:28.1","3:20","3:20","65","85","105","15","--","--"
"","","Riposo","0","0","0:13.8","3:59.2","0","0","0","131","132","0","0","2"
"","3","Dorso","1","25","0:44.7","4:44.0","2:59","2:59","55","128","135","10","10","8"
"","3.1","Dorso","1","25","0:44.7","0:44.7","2:59","2:59","55","127","132","10","--","--"
"","","Riposo","0","0","0:17.3","5:01.2","0","0","0","132","135","0","0","3"
"","4","Misto","4","100","1:42.0","6:43.2","1:42","0:51","31","143","155","23","6","20"
"","4.1","Stile libero","1","25","0:28.1","0:28.1","1:52","1:52","37","138","151","9","--","--"
"","4.2","Rana","1","25","0:12.6","0:40.7","0:51","0:51","16","154","155","3","--","--"
"","4.3","Dorso","1","25","0:29.9","1:10.6","1:59","1:59","37","145","152","7","--","--"
"","4.4","Dorso","1","25","0:31.4","1:42.0","2:06","2:06","35","140","142","4","--","--"
"","","Riposo","0","0","2:02.1","8:45.3","0","0","0","89","124","0","0","8"
"","5","Stile libero","3","75","2:30.9","11:16","3:21","0:46","66","117","143","48","16","21"
"","5.1","Stile libero","1","25","0:35.7","0:35.7","2:23","2:23","48","97","115","12","--","--"
"","5.2","Stile libero","1","25","1:43.6","2:19.3","6:55","6:55","136","112","136","32","--","--"
"","5.3","Stile libero","1","25","0:11.6","2:30.9","0:46","0:46","16","131","132","4","--","--"
"","","Riposo","0","0","0:32.3","11:48","0","0","0","143","144","0","0","3"
"","6","Rana","2","50","1:48.3","13:37","3:36","3:14","71","132","142","34","17","21"
"","6.1","Rana","1","25","0:59.9","0:59.9","3:59","3:59","72","139","144","12","--","--"
"","6.2","Rana","1","25","0:48.4","1:48.3","3:14","3:14","70","131","141","22","--","--"
"","","Riposo","0","0","0:34.4","14:11","0","0","0","109","116","0","0","2"
"","7","Stile libero","1","25","0:44.2","14:55","2:57","2:57","56","128","136","12","12","6"
"","7.1","Stile libero","1","25","0:44.2","0:44.2","2:57","2:57","56","123","136","12","--","--"
"","","Riposo","0","0","0:20.1","15:15","0","0","0","124","133","0","0","3"
"","8","Rana","2","50","0:57.4","16:13","1:55","0:59","37","120","126","17","9","8"
"","8.1","Rana","1","25","0:14.8","0:14.8","0:59","0:59","20","119","121","5","--","--"
"","8.2","Rana","1","25","0:42.7","0:57.4","2:51","2:51","55","122","126","12","--","--"
"","","Riposo","0","0","1:41.9","17:55","0","0","0","86","97","0","0","5"
"","9","Stile libero","1","25","0:36.9","18:32","2:27","2:27","49","110","131","12","12","3"
"","9.1","Stile libero","1","25","0:36.9","0:36.9","2:27","2:27","49","99","114","12","--","--"
"","","Riposo","0","0","0:43.8","19:15","0","0","0","118","131","0","0","6"
"","10","Stile libero","1","25","0:35.1","19:51","2:20","2:20","48","131","135","13","13","5"
"","10.1","Stile libero","1","25","0:35.1","0:35.1","2:20","2:20","48","123","135","13","--","--"
"","","Riposo","0","0","0:30.9","20:21","0","0","0","126","136","0","0","5"
"","11","Stile libero","1","25","0:33.9","20:55","2:16","2:16","48","125","134","14","14","4"
"","11.1","Stile libero","1","25","0:33.9","0:33.9","2:16","2:16","48","120","134","14","--","--"
"","","Riposo","0","0","0:44.4","21:40","0","0","0","120","136","0","0","7"
"","12","Stile libero","1","25","0:49.3","22:29","3:17","3:17","59","116","137","10","10","5"
"","12.1","Stile libero","1","25","0:49.3","0:49.3","3:17","3:17","59","111","137","10","--","--"
"","","Riposo","0","0","0:48.6","23:18","0","0","0","96","120","0","0","3"
"","13","Rana","1","25","0:25.4","23:43","1:42","1:42","34","119","147","9","9","5"
"","13.1","Rana","1","25","0:25.4","0:25.4","1:42","1:42","34","93","103","9","--","--"
"","","Riposo","0","0","0:52.4","24:35","0","0","0","124","145","0","0","5"
"","14","Dorso","1","25","0:49.6","25:25","3:18","3:18","66","138","147","16","16","8"
"","14.1","Dorso","1","25","0:49.6","0:49.6","3:18","3:18","66","131","146","16","--","--"
"","","Riposo","0","0","0:29.2","25:54","0","0","0","126","141","0","0","5"
"","15","Rana","1","25","0:47.6","26:42","3:10","3:10","58","136","143","10","10","7"
"","15.1","Rana","1","25","0:47.6","0:47.6","3:10","3:10","58","129","143","10","--","--"
"","","Riposo","0","0","0:23.3","27:05","0","0","0","127","142","0","0","4"
"","16","Misto","2","50","1:03.4","28:09","2:07","1:02","41","140","149","18","9","11"
"","16.1","Dorso","1","25","0:15.5","0:15.5","1:02","1:02","23","120","122","7","--","--"
"","16.2","Rana","1","25","0:47.9","1:03.4","3:12","3:12","59","142","149","11","--","--"
"","","Riposo","0","0","0:18.6","28:27","0","0","0","129","135","0","0","2"
"","17","Rana","2","50","0:41.4","29:09","1:23","1:14","30","141","148","19","10","11"
"","17.1","Rana","1","25","0:22.9","0:22.9","1:32","1:32","36","136","143","13","--","--"
"","17.2","Rana","1","25","0:18.5","0:41.4","1:14","1:14","25","145","148","6","--","--"
"","","Riposo","0","0","0:22.4","29:31","0","0","0","126","129","0","0","2"
"","18","Misto","2","50","0:54.6","30:26","1:49","1:19","32","137","144","9","5","9"
"","18.1","Dorso","1","25","0:19.8","0:19.8","1:19","1:19","24","127","136","4","--","--"
"","18.2","Rana","1","25","0:34.9","0:54.6","2:19","2:19","40","140","144","5","--","--"
"","","Riposo","0","0","1:25.5","31:51","0","0","0","97","122","0","0","5"
"","19","Rana","2","50","1:29.1","33:20","2:58","2:44","63","121","129","37","19","10"
"","19.1","Rana","1","25","0:41","0:41","2:44","2:44","61","108","125","20","--","--"
"","19.2","Rana","1","25","0:48.1","1:29.1","3:12","3:12","65","124","129","17","--","--"
"","","Riposo","0","0","0:10.6","33:31","0","0","0","122","124","0","0","1"
"","20","Rana","1","25","0:39.4","34:10","2:38","2:38","53","119","123","14","14","4"
"","20.1","Rana","1","25","0:39.4","0:39.4","2:38","2:38","53","120","124","14","--","--"
"","","Riposo","0","0","0:12.2","34:23","0","0","0","117","118","0","0","2"
"","21","Rana","2","50","0:47.4","35:10","1:35","1:32","33","115","123","19","10","4"
"","21.1","Rana","1","25","0:22.9","0:22.9","1:32","1:32","31","118","123","8","--","--"
"","21.2","Rana","1","25","0:24.5","0:47.4","1:38","1:38","36","114","120","11","--","--"
"","","Riposo","0","0","1:53.7","37:04","0","0","0","92","112","0","0","5"
"","22","Misto","2","50","0:39.6","37:43","1:19","0:50","27","110","123","14","7","3"
"","22.1","Rana","1","25","0:12.5","0:12.5","0:50","0:50","16","99","104","3","--","--"
