"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","17:54","17:54","3.00","5:58","5:58","155","165","15","6","159","284","1.06","9.7","9.2","281","274","4.12","390","5.86","199","31.0","5:21","167","17:35","5:52"
"","","Riscaldamento","1","6:00.2","6:00.2","1.00","6:00","5:58","147","159","1","2","157","282","1.07","9.7","9.1","272","260","3.91","318","4.78","64","32.0","5:21","167","5:43","5:43"
"","","Riscaldamento","2","5:55.6","11:56","1.00","5:56","5:53","159","164","4","1","160","285","1.07","9.8","9.2","274","276","4.15","390","5.86","68","32.0","5:40","163","5:55.6","5:56"
"","","Riscaldamento","3","5:57.9","17:54","1.00","5:58","5:49","158","165","10","2","160","286","1.05","9.7","9.2","293","287","4.32","390","5.86","68","30.0","5:35","163","5:57.9","5:58"
"","","Riposo","4","1:30","19:24","0.13","11:26","11:13","134","156","0","5","102","277","0.79","6.1","7.7","169","86","1.29","275","4.14","9","29.0","5:54","228","1:28","11:11"
"","1","Corsa","5","4:30.1","23:54","1.00","4:30","4:33","166","173","2","1","172","244","1.28","9.7","7.7","347","351","5.28","401","6.03","56","28.0","4:15","228","4:30","4:30"
"","","Riposo","6","1:30","25:24","0.14","10:46","10:33","149","171","0","5","113","260","0.83","6.3","7.6","225","107","1.61","353","5.31","13","28.0","4:32","170","1:28","10:31"
"","2","Corsa","7","4:24.1","29:48","1.00","4:24","4:26","169","181","3","1","174","237","1.29","9.5","7.4","349","354","5.32","412","6.20","56","28.0","4:04","184","4:24","4:24"
"","","Riposo","8","1:30","31:18","0.12","12:07","11:27","152","177","0","1","104","250","0.86","6.1","7.5","222","98","1.47","362","5.44","13","27.0","4:29","207","1:28","11:51"
"","3","Corsa","9","4:25.7","35:44","1.00","4:26","4:25","169","178","8","7","174","239","1.29","9.7","7.5","349","359","5.40","490","7.37","56","27.0","4:07","178","4:25.7","4:26"
"","","Riposo","10","1:30","37:14","0.12","12:21","11:02","162","179","2","2","102","260","0.86","6.1","8.0","298","114","1.71","491","7.38","15","27.0","4:34","170","1:28","12:04"
"","4","Corsa","11","4:30.4","41:44","1.00","4:30","4:32","169","181","2","0","172","242","1.27","9.6","7.6","347","352","5.29","416","6.26","56","27.0","4:13","177","4:30","4:30"
"","","Riposo","12","1:30","43:14","0.12","12:19","11:27","155","174","0","2","97","257","0.87","6.2","7.6","226","94","1.41","348","5.23","13","26.0","4:32","172","1:28","12:03"
"","5","Corsa","13","4:20.5","47:35","1.00","4:20","4:23","171","180","2","5","174","237","1.31","9.7","7.4","351","355","5.34","399","6.00","56","26.0","4:13","181","4:20.5","4:20"
"","","Riposo","14","1:30","49:05","0.12","12:22","11:24","159","177","0","2","79","263","1.02","6.7","8.4","223","87","1.31","334","5.02","13","26.0","4:23","169","1:28","12:05"
"","","Defaticamento","15 - 17","13:14","1:02:19","2.26","5:51","5:53","161","167","3","5","160","277","1.05","9.5","9.0","269","268","4.03","299","4.50","149","27.0","5:36","169","13:12","5:50"
"","","Defaticamento","15","5:56.2","55:01","1.00","5:56","6:00","160","167","1","2","157","277","1.04","9.4","9.0","261","260","3.91","299","4.50","66","27.0","5:36","169","5:55","5:55"
"","","Defaticamento","16","5:45.8","1:00:46","1.00","5:46","5:45","163","167","0","1","164","275","1.07","9.5","8.9","276","275","4.14","288","4.33","66","28.0","5:38","167","5:45","5:45"
"","","Defaticamento","17","1:32.2","1:02:19","0.26","5:52","5:52","159","160","1","1","162","282","1.05","9.6","9.1","276","277","4.17","298","4.48","17","28.0","5:47","163","1:32","5:51"
"","Riepilogo","--","--","1:02:19","1:02:19","11.02","5:39","5:37","161","181","37","43","156","264","1.13","9.2","8.4","305","276","4.15","491","7.38","705","28.5","4:04","228","1:01:53","5:37"
