"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.18","6:53","6:57","149","161","3","9","162","288","0.89","8.5","9.6","258","256","3.46","321","4.34","158","23.0","6:11","167","14:59","6:52"
"","","Riscaldamento","1","6:50.6","6:50.6","1.00","6:51","6:55","141","154","1","8","162","287","0.90","8.6","9.5","258","254","3.43","321","4.34","70","25.0","6:11","167","6:50.6","6:51"
"","","Riscaldamento","2","6:58.9","13:50","1.00","6:59","7:02","155","160","2","1","163","289","0.87","8.5","9.7","258","257","3.47","299","4.04","74","21.0","6:31","167","6:58.9","6:59"
"","","Riscaldamento","3","1:10.4","15:00","0.18","6:33","6:35","160","161","0","0","164","283","0.93","8.7","9.3","263","262","3.54","271","3.66","13","20.0","6:31","167","1:10","6:30"
"","1","Corsa","4","1:00","16:00","0.20","5:03","5:15","166","175","0","0","173","255","1.10","8.9","8.1","310","327","4.42","360","4.86","13","20.0","4:53","176","0:58","4:52"
"","2","Corsa","5","1:00","17:00","0.10","9:33","8:37","161","177","0","0","122","276","0.88","6.9","7.9","263","168","2.27","354","4.78","11","19.0","4:55","172","0:59","9:24"
"","3","Corsa","6","1:00","18:00","0.20","4:57","4:54","158","168","1","0","170","254","1.19","9.4","8.0","351","383","5.18","411","5.55","12","19.0","4:36","174","0:59","4:52"
"","4","Corsa","7","1:00","19:00","0.10","10:28","8:03","165","171","1","0","123","266","0.97","6.7","6.9","300","194","2.62","410","5.54","11","19.0","5:04","170","0:59","10:17"
"","5","Corsa","8","1:00","20:00","0.21","4:51","5:14","149","161","0","1","172","252","1.12","8.8","7.9","307","336","4.54","384","5.19","11","19.0","4:50","177","0:59","4:46"
"","6","Corsa","9","1:00","21:00","0.11","8:57","7:43","159","166","0","0","115","261","1.01","7.0","6.9","259","164","2.22","344","4.65","11","18.0","4:54","176","0:59","8:48"
"","7","Corsa","10","1:00","22:00","0.22","4:30","5:07","158","172","0","1","176","248","1.11","8.7","7.8","300","334","4.51","367","4.96","12","18.0","4:42","179","0:59","4:26"
"","8","Corsa","11","1:00","23:00","0.10","9:52","8:40","165","174","0","0","128","251","0.89","6.5","7.4","263","160","2.16","349","4.72","11","18.0","4:43","179","0:59","9:42"
"","9","Corsa","12","1:00","24:00","0.21","4:39","4:52","153","170","0","0","172","242","1.18","8.8","7.5","328","354","4.78","417","5.64","11","18.0","4:19","179","0:59","4:35"
"","10","Corsa","13","1:00","25:00","0.11","9:09","9:25","164","172","1","1","124","271","0.80","6.5","8.3","267","159","2.15","380","5.14","11","18.0","4:42","177","0:59","9:00"
"","11","Corsa","14","1:00","26:00","0.21","4:42","4:50","162","172","0","0","177","242","1.17","8.8","7.6","337","373","5.04","397","5.36","12","18.0","4:38","179","0:59","4:37"
"","12","Corsa","15","1:00","27:00","0.10","9:49","8:53","165","175","0","0","118","251","0.88","6.5","7.6","285","165","2.23","395","5.34","12","18.0","4:38","181","0:59","9:39"
"","13","Corsa","16","1:00","28:00","0.22","4:37","5:06","163","175","1","0","180","247","1.06","8.3","7.9","328","361","4.88","400","5.41","12","17.0","4:25","186","0:59","4:33"
"","14","Corsa","17","1:00","29:00","0.11","8:55","8:05","168","178","0","0","125","252","0.92","6.7","7.3","282","172","2.32","383","5.18","12","17.0","4:29","184","0:59","8:46"
"","15","Corsa","18","1:00","30:00","0.23","4:25","4:30","166","176","0","1","181","232","1.24","8.8","7.1","345","376","5.08","391","5.28","12","17.0","4:17","188","0:59","4:20"
"","16","Corsa","19","1:00","31:00","0.12","8:37","7:50","171","179","0","0","122","245","0.96","6.8","7.2","294","172","2.32","390","5.27","12","17.0","4:21","183","0:59","8:28"
"","17","Corsa","20","1:00","32:00","0.23","4:17","4:45","168","178","0","0","183","236","1.15","8.4","7.3","326","366","4.95","419","5.66","13","17.0","4:20","188","0:59","4:13"
"","18","Corsa","21","1:00","33:00","0.10","10:10","8:47","170","179","0","0","115","246","0.90","6.4","7.1","283","148","2.00","419","5.66","12","17.0","4:21","243","0:59","10:00"
"","","Defaticamento","22 - 25","16:19","49:19","2.45","6:40","6:39","165","171","9","5","168","280","0.90","8.4","9.4","269","270","3.65","351","4.74","186","18.0","5:13","181","16:19","6:40"
"","","Defaticamento","22","6:37.4","39:37","1.00","6:37","6:37","163","167","2","3","168","279","0.90","8.4","9.3","267","269","3.64","351","4.74","76","17.0","5:13","181","6:37.4","6:37"
"","","Defaticamento","23","6:41.4","46:19","1.00","6:41","6:44","165","170","3","2","167","281","0.89","8.3","9.4","267","267","3.61","306","4.14","76","18.0","6:24","171","6:41.4","6:41"
"","","Defaticamento","24","1:41.3","48:00","0.25","6:52","6:26","166","168","3","0","168","277","0.91","8.4","9.2","280","281","3.80","303","4.09","20","20.0","6:23","172","1:41","6:51"
"","","Defaticamento","25","1:19.3","49:19","0.20","6:31","6:43","166","171","0","0","166","283","0.88","8.3","9.5","276","272","3.68","321","4.34","15","20.0","6:27","170","1:18","6:25"
"","Riepilogo","--","--","49:19","49:19","7.51","6:34","6:34","159","179","16","19","159","274","0.94","8.2","8.8","282","263","3.55","419","5.66","554","19.4","4:17","243","49:16","6:34"
