"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.76","6:34","6:48","123","139","1","6","164","278","0.91","8.4","9.3","265","258","3.49","306","4.14","48","23.0","5:54","172","4:52","6:23"
"","1","Corsa","2 - 5","20:00","25:00","3.01","6:39","6:40","151","159","5","9","168","279","0.90","8.4","9.3","266","265","3.58","335","4.53","221","20.0","6:05","172","20:00","6:39"
"","","Corsa","2","6:40.8","11:41","1.00","6:41","6:39","147","153","3","6","167","279","0.90","8.4","9.3","268","265","3.58","324","4.38","73","22.0","6:05","172","6:40.8","6:41"
"","","Corsa","3","6:38.4","18:19","1.00","6:38","6:42","151","155","0","2","168","279","0.90","8.4","9.3","261","261","3.53","272","3.68","73","21.0","6:24","171","6:38.4","6:38"
"","","Corsa","4","6:38.2","24:57","1.00","6:38","6:38","155","159","2","1","169","278","0.89","8.3","9.3","269","269","3.64","335","4.53","74","18.0","6:31","171","6:38","6:38"
"","","Corsa","5","0:02.6","25:00","0.01","6:39","6:29","158","158","0","0","169","278","0.91","8.4","9.2","278","280","3.78","281","3.80","1","17.0","6:33","169","0:02.6","6:39"
"","2","Corsa","6 - 8","15:00","40:00","2.30","6:31","6:32","159","165","6","8","168","277","0.91","8.4","9.2","272","271","3.66","355","4.80","171","19.0","6:12","172","14:59","6:31"
"","","Corsa","6","6:33.7","31:34","1.00","6:34","6:33","159","163","5","3","168","278","0.91","8.4","9.2","273","272","3.68","299","4.04","75","18.0","6:26","171","6:33","6:33"
"","","Corsa","7","6:30.5","38:04","1.00","6:30","6:33","159","165","1","4","169","277","0.91","8.4","9.2","270","269","3.64","355","4.80","74","20.0","6:12","172","6:30.5","6:30"
"","","Corsa","8","1:55.8","40:00","0.30","6:24","6:24","161","163","0","0","169","275","0.93","8.5","9.1","273","275","3.72","289","3.91","22","21.0","6:19","171","1:55.8","6:24"
"","","Defaticamento","9 - 11","15:23","55:23","2.44","6:19","6:15","164","172","11","4","169","273","0.94","8.5","9.0","286","286","3.86","396","5.35","181","20.0","4:49","174","15:19","6:17"
"","","Defaticamento","9","5:00","45:00","0.78","6:27","6:24","162","163","4","0","169","275","0.92","8.4","9.1","281","280","3.78","314","4.24","58","20.0","6:15","172","4:59","6:26"
"","","Defaticamento","10","6:18.1","51:18","1.00","6:18","6:16","163","166","2","3","168","272","0.95","8.5","8.9","280","282","3.81","396","5.35","74","19.0","4:49","174","6:17","6:17"
"","","Defaticamento","11","4:04.5","55:23","0.66","6:10","6:05","166","172","5","1","170","271","0.95","8.5","8.9","299","299","4.04","376","5.08","49","21.0","5:50","174","4:03","6:07"
"","Riepilogo","--","--","55:23","55:23","8.51","6:31","6:31","154","172","23","27","168","277","0.92","8.4","9.2","273","272","3.68","396","5.35","622","20.1","4:49","174","55:12","6:29"
