"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","14:19","14:19","5.00","20.9","119","137","37","42","115","38.0","14:11","21.2"
"2","13:10","27:29","5.00","22.8","131","141","37","49","122","39.7","13:10","22.8"
"3","14:04","41:34","5.00","21.3","128","143","29","14","106","28.1","14:04","21.3"
"4","11:54","53:27","5.00","25.2","127","148","6","24","81","39.2","11:54","25.2"
"5","13:13","1:06:40","5.00","22.7","128","146","32","24","89","41.5","13:13","22.7"
"6","12:49","1:19:29","5.00","23.4","131","151","43","23","90","32.5","12:48","23.4"
"7","1:50.4","1:21:19","0.41","13.5","141","149","13","6","18","23.4","1:43","14.5"
"Riepilogo","1:21:19","1:21:19","30.41","22.4","127","151","195","184","622","41.5","1:21:02","22.5"
