"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.77","6:31","6:15","128","146","16","0","170","273","0.90","8.2","9.1","315","309","4.12","363","4.84","51","23.0","6:10","174","4:57","6:27"
"","1","Corsa","2 - 5","20:00","25:00","3.34","5:59","6:05","161","170","5","32","172","265","0.97","8.4","8.7","288","287","3.83","363","4.84","238","21.0","5:36","177","20:00","5:59"
"","","Corsa","2","5:55.0","10:55","1.00","5:55","6:03","153","166","2","21","172","265","0.99","8.5","8.6","291","286","3.81","363","4.84","69","22.0","5:36","176","5:55.0","5:55"
"","","Corsa","3","5:59.5","16:54","1.00","5:59","6:03","166","170","1","6","172","266","0.97","8.4","8.7","293","292","3.89","326","4.35","73","21.0","5:46","176","5:59.5","5:59"
"","","Corsa","4","6:00.4","22:55","1.00","6:00","6:05","162","169","1","5","172","266","0.96","8.4","8.7","283","287","3.83","331","4.41","71","21.0","5:42","177","6:00","6:00"
"","","Corsa","5","2:05.1","25:00","0.34","6:09","6:12","165","167","0","0","174","266","0.93","8.2","8.8","280","279","3.72","285","3.80","25","22.0","6:06","176","2:05","6:09"
"","2","Corsa","6 - 8","15:00","40:00","2.47","6:05","6:05","170","175","6","7","172","267","0.96","8.3","8.7","294","294","3.92","334","4.45","182","23.0","5:48","179","14:59","6:04"
"","","Corsa","6","6:01.5","31:02","1.00","6:02","6:02","168","172","2","2","174","264","0.95","8.3","8.6","297","297","3.96","334","4.45","73","22.0","5:48","179","6:01","6:01"
"","","Corsa","7","6:09.5","37:11","1.00","6:09","6:08","171","175","4","1","172","269","0.95","8.4","8.8","298","296","3.95","324","4.32","75","23.0","6:00","176","6:09.5","6:09"
"","","Corsa","8","2:49.0","40:00","0.47","6:01","6:05","171","174","0","3","167","269","1.01","8.5","8.6","281","280","3.73","300","4.00","34","24.0","5:50","174","2:49","6:01"
"","","Defaticamento","9 - 12","19:49","59:49","3.30","6:00","6:00","169","178","16","17","170","270","0.98","8.6","8.8","303","301","4.01","422","5.63","240","26.0","5:20","177","19:47","6:00"
"","","Defaticamento","9","5:00","45:00","0.82","6:05","6:00","171","178","7","6","169","272","0.97","8.6","8.9","311","300","4.00","422","5.63","61","25.0","6:01","172","4:59","6:04"
"","","Defaticamento","10","5:53.2","50:53","1.00","5:53","5:59","166","176","0","11","171","266","1.00","8.6","8.6","291","295","3.93","316","4.21","71","27.0","5:33","177","5:53.2","5:53"
"","","Defaticamento","11","6:13.8","57:07","1.00","6:14","6:14","168","173","5","0","168","273","0.94","8.5","9.0","295","295","3.93","362","4.83","74","27.0","5:38","172","6:13","6:13"
"","","Defaticamento","12","2:42.0","59:49","0.48","5:39","5:36","172","178","3","0","171","264","1.03","8.8","8.5","329","330","4.40","371","4.95","34","26.0","5:20","177","2:41","5:37"
"","Riepilogo","--","--","59:49","59:49","10.01","5:59","6:04","163","178","43","55","171","268","0.96","8.4","8.8","297","295","3.93","422","5.63","711","23.5","5:20","179","59:44","5:58"
