"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","12:08","12:08","5.00","24.7","137","149","9","3","89","102","134","27.6","12:08","24.7"
"2","11:45","23:53","5.00","25.5","136","143","0","12","94","103","119","27.9","11:45","25.5"
"3","9:42.0","33:35","5.00","30.9","146","154","11","1","90","107","112","34.6","9:42.0","30.9"
"4","11:00","44:35","5.00","27.3","136","155","6","11","87","100","98","32.1","11:00","27.3"
"5","11:17","55:52","5.00","26.6","132","139","17","10","84","101","78","30.3","11:17","26.6"
"6","11:36","1:07:28","5.00","25.9","137","146","11","16","89","100","100","29.0","11:36","25.9"
"7","11:56","1:19:24","5.00","25.1","129","139","8","4","92","112","68","31.3","11:56","25.1"
"8","8:52.5","1:28:17","5.00","33.8","151","156","9","1","91","100","107","37.4","8:52","33.8"
"9","11:31","1:39:48","5.00","26.1","133","155","6","4","91","105","72","33.3","11:31","26.1"
"10","11:58","1:51:46","5.00","25.1","139","148","11","4","88","104","97","29.5","11:58","25.1"
"11","0:44.2","1:52:30","0.23","18.6","136","141","1","0","78","101","5","21.5","0:42","19.6"
"Riepilogo","1:52:30","1:52:30","50.23","26.8","137","156","90","67","89","112","990","37.4","1:52:26","26.8"
