"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:58.5","5:58.5","1.00","5:59","5:48","132","162","2","3","277","Nessun peso","338","Nessun peso","165","269","--","1.05","9.1","8.7","63","26.0","5:21","172","5:38","5:38","--","--"
"2","5:33.7","11:32","1.00","5:34","5:41","162","165","0","8","289","Nessun peso","311","Nessun peso","168","267","--","1.07","9.2","8.6","70","25.0","5:26","171","5:33.7","5:34","--","--"
"3","5:39.8","17:12","1.00","5:40","5:35","166","172","4","11","294","Nessun peso","418","Nessun peso","166","267","--","1.09","9.3","8.5","72","24.0","5:26","172","5:39.8","5:40","--","--"
"4","5:30.8","22:43","1.00","5:31","5:33","167","172","2","1","297","Nessun peso","353","Nessun peso","166","266","--","1.09","9.2","8.5","70","24.0","5:00","170","5:30.8","5:31","--","--"
"5","5:26.0","28:09","1.00","5:26","5:27","170","173","2","2","305","Nessun peso","329","Nessun peso","168","266","--","1.10","9.4","8.5","71","26.0","5:17","170","5:26.0","5:26","--","--"
"6","5:32.9","33:42","1.00","5:33","5:33","171","174","0","0","306","Nessun peso","319","Nessun peso","168","268","--","1.08","9.3","8.6","72","26.0","5:22","171","5:32","5:32","--","--"
"7","5:36.0","39:18","1.00","5:36","5:32","173","176","2","2","308","Nessun peso","373","Nessun peso","162","267","--","1.10","9.4","8.6","73","29.0","5:12","172","5:34","5:34","--","--"
"8","5:32.8","44:50","1.00","5:33","5:29","175","177","6","0","318","Nessun peso","355","Nessun peso","167","269","--","1.09","9.4","8.6","73","27.0","5:16","170","5:32.8","5:33","--","--"
"9","5:44.5","50:35","1.00","5:44","5:44","174","176","2","0","300","Nessun peso","336","Nessun peso","167","272","--","1.04","9.2","8.8","74","26.0","5:32","171","5:44.5","5:44","--","--"
"10","5:41.5","56:16","1.00","5:42","5:32","175","178","8","2","314","Nessun peso","402","Nessun peso","166","271","--","1.08","9.4","8.7","74","25.0","5:21","169","5:41","5:41","--","--"
"11","0:09.0","56:25","0.03","5:56","5:40","174","175","0","1","307","Nessun peso","335","Nessun peso","164","273","--","1.08","9.5","8.7","2","25.0","5:20","165","0:08","5:15","--","--"
"Riepilogo","56:25","56:25","10.03","5:38","5:35","166","178","29","32","301","Nessun peso","418","Nessun peso","166","268","--","1.08","9.3","8.6","714","25.8","5:00","172","56:00","5:35","--","--"
