"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","14:50","14:50","2.50","5:56","5:54","156","165","24","31","162","270","50.7% S / 49.3% D","1.05","10.9","10.2","323","317","Nessun peso","413","Nessun peso","178","25.0","5:17","179","14:41","5:52"
"","","Riscaldamento","1","6:13.6","6:13.6","1.00","6:14","5:52","148","162","24","1","159","274","50.5% S / 49.5% D","1.03","10.8","10.5","343","336","Nessun peso","413","Nessun peso","73","27.0","5:23","173","6:07","6:07"
"","","Riscaldamento","2","5:44.5","11:58","1.00","5:44","5:57","161","165","0","26","165","267","50.8% S / 49.2% D","1.07","11.0","10.1","306","300","Nessun peso","345","Nessun peso","70","24.0","5:17","179","5:44","5:44"
"","","Riscaldamento","3","2:52.1","14:50","0.50","5:44","5:51","162","165","0","4","165","266","50.7% S / 49.3% D","1.06","10.8","10.0","308","311","Nessun peso","332","Nessun peso","35","23.0","5:34","167","2:52","5:44"
"","","Riposo","4","1:30","16:20","0.13","11:40","10:58","143","165","0","1","112","465","50.9% S / 49.1% D","0.80","6.2","7.7","201","115","Nessun peso","318","Nessun peso","12","23.0","5:44","161","1:28","11:25"
"","1","Corsa","5","1:37.1","17:57","0.40","4:03","4:05","167","176","2","0","186","220","51.2% S / 48.8% D","1.30","10.2","8.0","413","436","Nessun peso","477","Nessun peso","22","23.0","3:50","190","1:37","4:03"
"","","Riposo","6","1:00","18:57","0.09","10:51","9:26","166","176","2","0","117","401","50.2% S / 49.8% D","0.87","7.3","8.6","313","164","Nessun peso","465","Nessun peso","12","22.0","4:10","172","0:58","10:29"
"","2","Corsa","7","1:36.2","20:34","0.40","4:01","4:05","170","177","1","2","184","225","51.0% S / 49.0% D","1.34","10.4","7.8","419","439","Nessun peso","517","Nessun peso","22","22.0","3:46","191","1:36.2","4:01"
"","","Riposo","8","1:00","21:34","0.10","10:21","10:06","164","177","0","1","113","406","52.1% S / 47.9% D","0.87","6.8","7.7","285","128","Nessun peso","453","Nessun peso","12","22.0","4:10","172","0:58","10:00"
"","3","Corsa","9","1:36","23:10","0.40","4:00","4:06","170","178","0","0","185","223","51.3% S / 48.7% D","1.32","10.2","7.8","416","440","Nessun peso","511","Nessun peso","21","22.0","3:45","190","1:36","4:00"
"","","Riposo","10","1:00","24:10","0.08","12:25","10:56","170","179","1","0","113","430","50.7% S / 49.3% D","0.81","6.6","8.8","318","140","Nessun peso","472","Nessun peso","12","22.0","4:03","178","0:58","12:00"
"","4","Corsa","11","1:37.6","25:47","0.40","4:04","4:03","172","180","2","1","184","226","51.0% S / 49.0% D","1.34","10.3","7.8","409","436","Nessun peso","507","Nessun peso","22","21.0","3:31","191","1:37","4:03"
"","","Riposo","12","1:00","26:47","0.09","11:11","10:00","173","180","1","0","117","316","50.8% S / 49.2% D","0.86","6.8","7.6","311","153","Nessun peso","496","Nessun peso","13","21.0","4:15","178","0:58","10:48"
"","5","Corsa","13","1:38.0","28:25","0.40","4:05","4:20","172","179","1","1","180","230","51.2% S / 48.8% D","1.31","10.6","8.4","401","421","Nessun peso","489","Nessun peso","22","21.0","3:56","185","1:38","4:05"
"","","Riposo","14","1:00","29:25","0.09","10:57","9:43","170","179","0","1","117","296","51.1% S / 48.9% D","0.89","6.8","7.6","297","139","Nessun peso","441","Nessun peso","12","21.0","4:09","174","0:58","10:35"
"","","Riposo","15","1:00","30:25","0.16","6:12","6:07","162","168","0","1","149","269","50.1% S / 49.9% D","1.10","8.7","8.3","310","281","Nessun peso","450","Nessun peso","12","21.0","4:07","181","1:00","6:12"
"","6","Corsa","16","1:41.0","32:06","0.40","4:12","4:05","170","179","2","0","183","227","51.1% S / 48.9% D","1.31","10.3","7.7","410","432","Nessun peso","477","Nessun peso","23","22.0","3:50","188","1:41.0","4:12"
"","","Riposo","17","1:00","33:06","0.08","12:16","10:13","171","179","1","0","110","419","50.5% S / 49.5% D","0.83","6.3","7.8","311","146","Nessun peso","465","Nessun peso","13","22.0","4:21","169","0:58","11:52"
"","7","Corsa","18","1:39.1","34:45","0.40","4:08","4:20","172","178","0","0","180","231","51.3% S / 48.7% D","1.28","10.6","8.6","397","415","Nessun peso","457","Nessun peso","22","22.0","4:02","183","1:39","4:08"
"","","Riposo","19","1:00","35:45","0.09","11:42","10:27","169","178","0","1","108","497","49.3% S / 50.7% D","0.81","6.0","7.2","285","115","Nessun peso","429","Nessun peso","12","22.0","4:13","173","0:58","11:19"
"","8","Corsa","20","1:38.0","37:23","0.40","4:05","4:09","171","179","1","1","180","229","51.1% S / 48.9% D","1.34","10.6","7.9","420","440","Nessun peso","547","Nessun peso","22","22.0","3:53","186","1:38.0","4:05"
"","","Riposo","21","1:00","38:23","0.09","10:53","10:26","171","179","0","0","114","398","50.3% S / 49.7% D","0.83","6.5","7.8","306","133","Nessun peso","481","Nessun peso","13","22.0","4:12","173","0:58","10:31"
"","9","Corsa","22","1:43.8","40:07","0.40","4:19","4:18","172","179","3","1","178","234","50.9% S / 49.1% D","1.29","10.6","8.2","414","430","Nessun peso","488","Nessun peso","23","22.0","3:50","183","1:43.8","4:19"
"","","Riposo","23","1:00","41:07","0.08","12:16","11:09","170","179","0","0","105","540","51.1% S / 48.9% D","0.83","5.3","6.5","268","99","Nessun peso","341","Nessun peso","12","22.0","4:35","158","0:58","11:52"
"","10","Corsa","24","1:42.3","42:49","0.40","4:16","4:21","171","178","1","2","179","233","51.3% S / 48.7% D","1.30","10.6","8.3","389","409","Nessun peso","474","Nessun peso","23","22.0","3:50","184","1:42","4:15"
"","","Riposo","25","1:00","43:49","0.08","11:55","11:39","169","179","0","1","114","309","51.3% S / 48.7% D","0.84","6.6","7.9","281","126","Nessun peso","431","Nessun peso","12","22.0","4:29","172","0:58","11:31"
"","","Riposo","26","1:00","44:49","0.08","12:29","13:11","139","151","0","0","106","--","--","0.74","5.2","6.8","87","85","Nessun peso","104","Nessun peso","5","22.0","12:30","110","0:59","12:16"
"","","Defaticamento","27 - 29","9:06.3","53:56","1.51","6:02","6:02","166","170","8","4","166","266","50.5% S / 49.5% D","0.99","10.6","10.5","309","309","Nessun peso","396","Nessun peso","109","22.0","5:30","171","9:06","6:02"
"","","Defaticamento","27","5:51.0","50:41","1.00","5:51","5:57","165","170","3","3","166","263","50.5% S / 49.5% D","1.01","10.6","10.4","308","311","Nessun peso","342","Nessun peso","70","22.0","5:30","171","5:51.0","5:51"
"","","Defaticamento","28","3:11.6","53:52","0.50","6:23","6:13","167","170","4","1","165","272","50.4% S / 49.6% D","0.96","10.5","10.6","310","305","Nessun peso","396","Nessun peso","38","23.0","6:03","170","3:11.6","6:23"
"","","Defaticamento","29","0:03.7","53:56","0.01","7:23","6:10","166","167","1","0","163","279","50.6% S / 49.4% D","0.93","10.7","10.8","287","316","Nessun peso","319","Nessun peso","1","23.0","6:30","163","0:02","3:58"
"","Riepilogo","--","--","53:56","53:56","9.25","5:50","5:47","164","180","52","51","157","263","50.8% S / 49.2% D","1.07","9.6","9.0","349","307","Nessun peso","547","Nessun peso","663","22.8","3:31","191","53:36","5:48"
