"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Stile libero","2","50","1:27.9","1:27.9","2:56","2:21","58","105","117","28","14","11"
"","1.1","Stile libero","1","25","0:35.2","0:35.2","2:21","2:21","48","99","110","13","--","--"
"","1.2","Stile libero","1","25","0:52.7","1:27.9","3:31","3:31","68","108","117","15","--","--"
"","","Riposo","0","0","0:26.6","1:54.6","0","0","0","105","110","0","0","3"
"","2","Rana","1","25","0:58.5","2:53.1","3:54","3:54","78","115","122","19","19","8"
"","2.1","Rana","1","25","0:58.5","0:58.5","3:54","3:54","78","113","122","19","--","--"
"","","Riposo","0","0","0:22.3","3:15.4","0","0","0","107","112","0","0","1"
"","3","Rana","1","25","0:24.1","3:39.5","1:37","1:37","39","108","112","15","15","4"
"","3.1","Rana","1","25","0:24.1","0:24.1","1:37","1:37","39","107","111","15","--","--"
"","","Riposo","0","0","1:19.1","4:58.6","0","0","0","100","110","0","0","8"
"","4","Stile libero","2","50","0:49.2","5:47.7","1:38","1:12","36","89","101","22","11","3"
"","4.1","Stile libero","1","25","0:18.1","0:18.1","1:12","1:12","27","78","81","9","--","--"
"","4.2","Stile libero","1","25","0:31.1","0:49.2","2:05","2:05","44","88","101","13","--","--"
"","","Riposo","0","0","0:14","6:01.7","0","0","0","96","103","0","0","1"
"","5","Misto","3","75","1:29.8","7:31.5","2:00","1:21","40","107","116","30","10","12"
"","5.1","Dorso","1","25","0:34.2","0:34.2","2:17","2:17","44","107","115","10","--","--"
"","5.2","Dorso","1","25","0:20.3","0:54.5","1:21","1:21","23","103","109","3","--","--"
"","5.3","Rana","1","25","0:35.3","1:29.8","2:21","2:21","52","103","109","17","--","--"
"","","Riposo","0","0","0:41.7","8:13.2","0","0","0","107","109","0","0","1"
"","","Riposo","0","0","0:17.4","8:30.6","0","0","0","108","110","0","5","3"
"","","Riposo","0","0","0:22.3","8:52.8","0","0","0","101","106","0","0","2"
"","6","Misto","2","50","1:38.3","10:31","3:16","3:08","70","106","115","42","21","10"
"","6.1","Dorso","1","25","0:46.9","0:46.9","3:08","3:08","65","103","108","18","--","--"
"","6.2","Rana","1","25","0:51.4","1:38.3","3:25","3:25","75","108","115","24","--","--"
"","","Riposo","0","0","3:52.1","14:23","0","0","0","87","114","0","0","14"
"","7","Misto","3","75","1:26.9","15:50","1:56","1:05","40","106","123","34","11","9"
"","7.1","Stile libero","1","25","0:33.2","0:33.2","2:13","2:13","49","100","107","16","--","--"
"","7.2","Rana","1","25","0:16.4","0:49.6","1:05","1:05","23","97","100","7","--","--"
"","7.3","Stile libero","1","25","0:37.4","1:26.9","2:29","2:29","48","111","123","11","--","--"
"","","Riposo","0","0","0:58.6","16:49","0","0","0","121","137","0","0","8"
"","8","Rana","1","25","0:45.8","17:35","3:03","3:03","68","118","123","22","22","7"
"","8.1","Rana","1","25","0:45.8","0:45.8","3:03","3:03","68","120","124","22","--","--"
"","","Riposo","0","0","0:24.6","17:59","0","0","0","109","112","0","0","2"
"","9","Rana","3","75","2:21.8","20:21","3:09","2:44","67","124","128","60","20","21"
"","9.1","Rana","1","25","0:41.1","0:41.1","2:44","2:44","59","119","128","18","--","--"
"","9.2","Rana","1","25","0:46.9","1:28.0","3:08","3:08","69","123","128","22","--","--"
"","9.3","Rana","1","25","0:53.8","2:21.8","3:35","3:35","74","126","128","20","--","--"
"","","Riposo","0","0","5:40.1","26:01","0","0","0","89","114","0","0","19"
"","10","Dorso","3","75","1:23.4","27:25","1:51","1:18","40","127","153","37","12","12"
"","10.1","Dorso","1","25","0:37.1","0:37.1","2:28","2:28","54","104","122","17","--","--"
"","10.2","Dorso","1","25","0:26.9","1:03.9","1:48","1:48","38","120","127","11","--","--"
"","10.3","Dorso","1","25","0:19.4","1:23.4","1:18","1:18","28","147","153","9","--","--"
"","","Riposo","0","0","0:16.7","27:41","0","0","0","138","145","0","0","3"
"","11","Dorso","2","50","0:47.9","28:29","1:36","1:18","34","136","146","20","10","9"
"","11.1","Dorso","1","25","0:28.5","0:28.5","1:54","1:54","41","138","146","12","--","--"
"","11.2","Dorso","1","25","0:19.4","0:47.9","1:18","1:18","27","138","145","8","--","--"
"","","Riposo","0","0","0:13.1","28:42","0","0","0","125","127","0","0","2"
"","12","Dorso","1","25","0:37.7","29:20","2:31","2:31","52","135","142","14","14","7"
"","12.1","Dorso","1","25","0:37.7","0:37.7","2:31","2:31","52","132","142","14","--","--"
"","","Riposo","0","0","1:26.3","30:46","0","0","0","107","133","0","0","9"
"","13","Stile libero","4","100","2:31.1","33:17","2:31","2:14","51","126","139","53","13","21"
"","13.1","Stile libero","1","25","0:37.1","0:37.1","2:29","2:29","50","98","119","13","--","--"
"","13.2","Stile libero","1","25","0:33.6","1:10.7","2:14","2:14","47","128","136","13","--","--"
"","13.3","Stile libero","1","25","0:40.6","1:51.2","2:42","2:42","54","128","134","13","--","--"
"","13.4","Stile libero","1","25","0:39.8","2:31.1","2:39","2:39","54","130","139","14","--","--"
"","","Riposo","0","0","1:47.6","35:05","0","0","0","108","134","0","0","10"
"","14","Stile libero","4","100","2:17.1","37:22","2:17","2:03","47","126","139","52","13","18"
"","14.1","Stile libero","1","25","0:32.8","0:32.8","2:11","2:11","48","105","118","15","--","--"
"","14.2","Stile libero","1","25","0:31.3","1:04.1","2:05","2:05","42","122","127","11","--","--"
"","14.3","Stile libero","1","25","0:30.8","1:34.9","2:03","2:03","44","124","127","13","--","--"
"","14.4","Stile libero","1","25","0:42.1","2:17.1","2:49","2:49","55","135","139","13","--","--"
"","","Riposo","0","0","2:44.2","40:06","0","0","0","110","138","0","0","15"
"","15","Stile libero","2","50","0:58.9","41:05","1:58","1:39","41","135","145","23","12","10"
"","15.1","Stile libero","1","25","0:34.2","0:34.2","2:17","2:17","48","122","137","14","--","--"
"","15.2","Stile libero","1","25","0:24.7","0:58.9","1:39","1:39","34","138","144","9","--","--"
"","","Riposo","0","0","1:43.9","42:49","0","0","0","113","141","0","0","10"
"","16","Rana","1","25","0:20.8","43:10","1:23","1:23","27","120","123","6","6","1"
"","16.1","Rana","1","25","0:20.8","0:20.8","1:23","1:23","27","110","122","6","--","--"
"","","Riposo","0","0","0:01.8","43:12","0","0","0","133","133","0","0","0"
"","Riepilogo","--","35","875","43:11","43:11","2:19","1:05","48","109","153","477","14","274"
