"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","10:39","10:39","5.00","28.2","131","144","2","2","81","96","109","31.3","10:39","28.2"
"2","10:06","20:45","5.00","29.7","134","141","2","6","83","90","102","31.7","10:06","29.7"
"3","10:17","31:02","5.00","29.2","137","141","5","4","81","92","107","32.2","10:17","29.2"
"4","10:04","41:06","5.00","29.8","140","153","14","18","81","103","106","44.9","10:04","29.8"
"5","10:54","52:01","5.00","27.5","144","154","49","42","81","109","118","48.9","10:54","27.5"
"6","10:09","1:02:09","5.00","29.6","139","149","15","21","81","96","93","43.7","10:09","29.6"
"7","11:41","1:13:50","5.00","25.7","135","147","31","17","78","100","87","47.8","11:40","25.7"
"8","10:52","1:24:42","5.00","27.6","138","145","8","8","81","104","94","34.2","10:52","27.6"
"9","10:16","1:34:58","5.00","29.2","141","155","5","8","85","105","92","35.7","10:15","29.3"
"10","11:17","1:46:15","5.00","26.6","139","151","8","5","81","104","90","33.1","11:00","27.3"
"11","10:48","1:57:03","5.00","27.8","138","146","6","5","90","118","71","37.8","10:48","27.8"
"12","8:52.7","2:05:56","5.00","33.8","150","157","10","21","86","98","102","42.7","8:52.7","33.8"
"13","5:25.8","2:11:22","2.08","23.0","130","150","2","1","72","91","20","33.8","5:25","23.1"
"Riepilogo","2:11:22","2:11:22","62.08","28.4","138","157","158","157","82","118","1,191","48.9","2:11:02","28.4"
