"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","9:04.1","9:04.1","1.50","6:03","6:07","149","159","6","12","171","263","50.5% S / 49.5% D","0.97","9.4","9.5","304","305","Nessun peso","380","Nessun peso","103","22.0","5:12","180","9:02","6:01"
"","","Riscaldamento","1","6:05.0","6:05.0","1.00","6:05","6:08","148","157","6","9","171","263","50.6% S / 49.4% D","0.96","9.4","9.6","311","308","Nessun peso","380","Nessun peso","69","22.0","5:46","174","6:05.0","6:05"
"","","Riscaldamento","2","2:59.1","9:04.1","0.50","5:58","6:05","151","159","0","3","171","261","50.3% S / 49.7% D","0.98","9.5","9.5","290","298","Nessun peso","339","Nessun peso","34","20.0","5:12","180","2:58","5:56"
"","1","Corsa","3","5:28.8","14:33","1.00","5:29","5:29","159","162","2","4","176","250","50.4% S / 49.6% D","1.04","9.5","8.9","331","332","Nessun peso","386","Nessun peso","67","19.0","5:00","185","5:28","5:28"
"","2","Corsa","4","5:03.2","19:36","1.00","5:03","5:03","166","168","4","3","179","244","50.4% S / 49.6% D","1.11","9.9","8.6","359","359","Nessun peso","424","Nessun peso","64","18.0","4:41","184","5:02","5:02"
"","3","Corsa","5","5:25.6","25:02","1.00","5:26","5:25","165","170","1","2","173","251","50.5% S / 49.5% D","1.07","10.1","9.2","340","339","Nessun peso","391","Nessun peso","68","17.0","5:08","177","5:25","5:25"
"","4","Corsa","6","5:02.0","30:04","1.00","5:02","5:01","171","173","2","1","180","238","50.1% S / 49.9% D","1.10","9.9","8.7","355","356","Nessun peso","407","Nessun peso","65","17.0","4:50","183","5:01","5:01"
"","","Defaticamento","7 - 9","8:54.6","38:58","1.51","5:54","5:53","166","172","4","3","170","258","50.3% S / 49.8% D","1.00","10.1","9.9","315","313","Nessun peso","418","Nessun peso","109","18.0","5:05","177","8:53","5:53"
"","","Defaticamento","7","5:50.8","35:54","1.00","5:51","5:51","166","172","3","3","171","258","50.4% S / 49.6% D","1.01","10.1","9.8","315","313","Nessun peso","418","Nessun peso","72","17.0","5:05","177","5:50.8","5:51"
"","","Defaticamento","8","2:59.2","38:54","0.50","5:58","5:56","166","168","1","0","170","258","50.0% S / 50.0% D","0.98","10.1","10.0","313","312","Nessun peso","354","Nessun peso","36","19.0","5:45","172","2:59","5:58"
"","","Defaticamento","9","0:04.6","38:58","0.01","6:32","5:59","168","169","0","0","170","265","49.9% S / 50.1% D","0.96","9.4","9.9","328","317","Nessun peso","328","Nessun peso","1","19.0","6:07","171","0:03","4:16"
"","Riepilogo","--","--","38:58","38:58","7.01","5:33","5:34","162","173","19","24","174","252","50.4% S / 49.6% D","1.04","9.8","9.2","331","329","Nessun peso","424","Nessun peso","477","18.6","4:41","185","38:55","5:33"
