"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:33.3","6:33.3","1.00","6:33","6:22","140","146","12","0","271","3.93","318","4.61","166","280","--","0.92","8.6","9.3","73","22.0","5:58","174","6:32","6:32","--","--"
"2","7:03.9","13:37","1.00","7:04","7:10","145","147","1","8","234","3.39","260","3.77","164","288","--","0.86","8.4","9.8","73","17.0","6:40","167","7:03.9","7:04","--","--"
"3","7:05.4","20:43","1.00","7:05","7:09","144","148","0","6","230","3.33","256","3.71","167","284","--","0.85","8.3","9.7","72","15.0","6:46","179","7:05.4","7:05","--","--"
"4","7:11.9","27:54","1.00","7:12","7:15","145","148","2","6","226","3.28","246","3.57","166","286","--","0.84","8.2","9.8","71","13.0","6:54","169","7:11","7:11","--","--"
"5","7:09.9","35:04","1.00","7:10","7:07","144","147","6","0","237","3.43","259","3.75","166","286","--","0.84","8.2","9.8","72","12.0","6:44","169","7:09.9","7:10","--","--"
"6","7:14.4","42:19","1.00","7:14","7:12","144","148","4","0","236","3.42","268","3.88","166","287","--","0.83","8.2","9.8","71","11.0","6:43","176","7:14.4","7:14","--","--"
"7","7:07.1","49:26","1.00","7:07","7:10","142","146","1","3","231","3.35","240","3.48","167","284","--","0.84","8.2","9.7","68","10.0","6:52","171","7:07","7:07","--","--"
"8","7:01.4","56:27","1.00","7:01","7:04","143","147","0","2","233","3.38","245","3.55","167","283","--","0.86","8.3","9.7","68","9.0","6:47","170","7:01","7:01","--","--"
"9","3:32.7","1:00:00","0.51","6:55","6:56","144","146","0","2","236","3.42","249","3.61","167","283","--","0.87","8.4","9.6","36","9.0","6:43","170","3:32.7","6:55","--","--"
"10","7:02.8","1:07:03","1.00","7:03","7:02","145","149","2","1","235","3.41","270","3.91","166","285","--","0.85","8.3","9.7","71","9.0","6:46","170","7:02.8","7:03","--","--"
"11","3:36.1","1:10:39","0.52","6:59","6:49","124","147","9","0","254","3.68","290","4.20","167","283","--","0.85","8.3","9.7","36","9.0","6:46","171","3:35","6:57","--","--"
"Riepilogo","1:10:39","1:10:39","10.03","7:03","7:02","143","149","39","28","237","3.43","318","4.61","166","285","--","0.86","8.3","9.7","710","12.6","5:58","179","1:10:35","7:02","--","--"
