"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","1","Corsa","1 - 6","39:01","39:01","5.50","7:06","7:06","144","159","18","13","159","294","0.89","8.8","9.9","231","228","3.43","290","4.36","371","24.0","5:39","170","38:45","7:03"
"","","Corsa","1","7:45.6","7:45.6","1.00","7:46","7:30","133","143","1","2","155","301","0.85","8.6","10.2","215","211","3.17","290","4.36","64","26.0","5:39","163","7:38","7:38"
"","","Corsa","2","7:12.6","14:58","1.00","7:13","7:08","143","151","4","1","159","299","0.87","8.8","10.0","228","227","3.41","287","4.32","68","24.0","6:51","165","7:12","7:12"
"","","Corsa","3","7:04.1","22:02","1.00","7:04","7:06","144","154","1","1","160","296","0.89","8.8","9.9","225","225","3.38","238","3.58","66","23.0","6:46","165","7:04","7:04"
"","","Corsa","4","6:46.5","28:49","1.00","6:47","6:45","149","156","2","3","162","289","0.92","8.9","9.7","238","237","3.56","262","3.94","69","23.0","6:19","165","6:46.5","6:47"
"","","Corsa","5","6:46.2","35:35","1.00","6:46","6:40","152","159","9","2","162","289","0.91","8.8","9.7","248","245","3.68","290","4.36","71","23.0","6:31","165","6:46","6:46"
"","","Corsa","6","3:25.8","39:01","0.50","6:52","6:53","146","153","0","3","154","283","0.94","8.9","9.4","231","226","3.40","270","4.06","34","23.0","6:00","170","3:20","6:40"
"","2","Corsa","7","6:26.5","45:27","1.00","6:27","6:22","141","151","9","3","163","280","0.94","8.8","9.3","252","251","3.77","321","4.83","64","24.0","5:36","171","6:26","6:26"
"","3","Corsa","8","6:04.4","51:32","1.00","6:04","6:07","150","156","0","5","166","276","1.00","9.0","9.1","256","257","3.86","314","4.72","66","24.0","5:41","171","6:03","6:03"
"","4","Corsa","9 - 14","29:07","1:20:38","5.50","5:18","5:17","165","185","4","1","169","259","1.11","9.2","8.3","300","295","4.44","501","7.53","354","23.0","2:58","217","29:04","5:17"
"","","Corsa","9","6:04.5","57:36","1.00","6:05","6:03","154","159","1","0","167","275","0.99","9.0","9.1","262","262","3.94","296","4.45","69","23.0","5:31","177","6:04.5","6:05"
"","","Corsa","10","5:27.8","1:03:04","1.00","5:28","5:30","160","172","0","1","170","263","1.07","9.1","8.5","288","285","4.29","360","5.41","64","23.0","4:18","189","5:27.8","5:28"
"","","Corsa","11","5:02.7","1:08:07","1.00","5:03","5:01","167","169","0","0","172","253","1.16","9.3","8.1","312","312","4.69","323","4.86","62","23.0","4:51","177","5:02","5:02"
"","","Corsa","12","5:00.5","1:13:07","1.00","5:00","4:58","171","176","1","0","167","250","1.18","9.4","7.9","314","311","4.68","374","5.62","63","23.0","4:27","179","4:59","4:59"
"","","Corsa","13","5:00.7","1:18:08","1.00","5:01","5:00","172","175","1","0","173","252","1.16","9.3","8.0","316","314","4.72","367","5.52","63","24.0","4:33","183","5:00","5:00"
"","","Corsa","14","2:30.4","1:20:38","0.50","5:01","5:08","175","185","1","0","165","260","1.14","8.8","7.9","315","295","4.44","501","7.53","32","24.0","2:58","217","2:30.4","5:01"
"","5","Corsa","15","2:22.3","1:23:01","0.50","4:43","4:41","178","184","0","0","168","245","1.22","9.3","7.8","342","326","4.90","422","6.35","31","24.0","3:44","188","2:21","4:40"
"","Riepilogo","--","--","1:23:01","1:23:01","13.50","6:09","6:07","153","185","31","22","164","278","0.99","9.0","9.2","269","258","3.88","501","7.53","886","23.6","2:58","217","1:22:42","6:07"
