"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.48","10:24","11:11","85","105","0","4","109","423","0.87","6.3","7.2","137","123","1.53","353","4.39","31","5:23","207","4:24","9:09"
"","1","Corsa","2 - 5","30:00","35:00","3.50","8:35","8:29","131","165","4","8","132","363","0.87","7.1","8.1","222","190","2.36","382","4.75","275","5:14","173","29:57","8:34"
"","","Corsa","2","6:31.7","11:32","1.00","6:32","6:30","132","138","0","4","160","283","0.96","8.8","9.1","282","285","3.54","382","4.75","79","5:14","167","6:29","6:29"
"","","Corsa","3","8:52.2","20:24","1.00","8:52","8:35","135","165","3","1","127","346","0.87","6.9","7.9","225","183","2.27","353","4.39","90","5:48","173","8:52.2","8:52"
"","","Corsa","4","9:55.0","30:19","1.00","9:55","9:54","128","135","1","2","120","457","0.83","6.3","7.5","147","146","1.81","181","2.25","71","9:24","128","9:54","9:54"
"","","Corsa","5","4:41.1","35:00","0.50","9:24","9:29","129","136","0","0","126","448","0.84","6.8","8.1","166","166","2.06","184","2.29","35","9:10","130","4:41.1","9:24"
"","2","Corsa","6 - 9","30:00","1:05:00","3.94","7:36","7:36","154","174","11","4","152","322","0.85","7.7","9.0","255","239","2.97","388","4.82","341","5:24","170","29:57","7:36"
"","","Corsa","6","9:26.1","44:26","1.00","9:26","9:33","129","149","1","0","126","439","0.83","6.6","8.0","167","165","2.05","304","3.78","69","6:44","169","9:26","9:26"
"","","Corsa","7","7:08.7","51:35","1.00","7:09","7:07","162","168","3","1","160","284","0.85","8.1","9.5","271","264","3.28","314","3.90","90","6:37","170","7:08","7:08"
"","","Corsa","8","6:58.0","58:33","1.00","6:58","6:54","166","170","4","0","164","281","0.87","8.2","9.4","278","276","3.43","388","4.82","93","5:24","170","6:56","6:56"
"","","Corsa","9","6:27.3","1:05:00","0.94","6:51","6:49","170","174","2","2","166","283","0.88","8.3","9.4","281","281","3.49","320","3.98","88","6:37","169","6:27.3","6:51"
"","","Defaticamento","10 - 12","17:30","1:22:30","2.42","7:13","7:08","169","175","22","16","160","288","0.86","8.2","9.6","276","271","3.37","359","4.46","245","6:28","172","17:24","7:11"
"","","Defaticamento","10","5:00","1:10:00","0.70","7:07","7:04","169","173","3","4","159","285","0.87","8.2","9.4","271","265","3.29","321","3.99","68","6:41","169","4:59","7:06"
"","","Defaticamento","11","7:29.6","1:17:30","1.00","7:30","7:18","170","175","15","5","158","290","0.84","8.1","9.7","279","271","3.37","359","4.46","108","6:40","167","7:26","7:26"
"","","Defaticamento","12","5:00.1","1:22:30","0.72","6:56","6:58","169","174","4","8","163","287","0.89","8.4","9.5","276","277","3.44","348","4.32","69","6:28","172","4:59","6:54"
"","Riepilogo","--","--","1:22:30","1:22:30","10.35","7:58","7:56","145","175","37","32","144","325","0.86","7.5","8.7","247","221","2.75","388","4.82","891","5:14","207","1:21:44","7:54"
