"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","2","50","2:22.6","2:22.6","4:45","3:27","94","106","119","45","23","17"
"","1.1","Rana","1","25","0:51.7","0:51.7","3:27","3:27","73","102","118","21","--","--"
"","1.2","Stile libero","1","25","1:30.9","2:22.6","6:04","6:04","115","109","119","24","--","--"
"","","Riposo","0","0","2:00.4","4:22.9","0","0","0","94","135","0","0","10"
"","2","Stile libero","1","25","0:59.6","5:22.6","3:59","3:59","87","139","150","27","27","11"
"","2.1","Stile libero","1","25","0:59.6","0:59.6","3:59","3:59","87","138","150","27","--","--"
"","","Riposo","0","0","2:41.1","8:03.7","0","0","0","108","139","0","0","18"
"","","Riposo","0","0","0:02.4","8:06.1","0","0","0","135","137","0","0","2"
"","","Riposo","0","0","0:23.8","8:29.9","0","0","0","143","146","0","0","3"
"","3","Dorso","1","25","0:21.4","8:51.3","1:25","1:25","28","149","150","7","7","5"
"","3.1","Dorso","1","25","0:21.4","0:21.4","1:25","1:25","28","146","149","7","--","--"
"","","Riposo","0","0","0:19.1","9:10.4","0","0","0","140","148","0","0","4"
"","4","Misto","4","100","2:04.9","11:15","2:05","1:02","40","133","143","37","9","22"
"","4.1","Rana","1","25","0:35.8","0:35.8","2:23","2:23","48","132","140","12","--","--"
"","4.2","Stile libero","1","25","0:40.5","1:16.3","2:42","2:42","54","136","139","13","--","--"
"","4.3","Stile libero","1","25","0:33.1","1:49.3","2:12","2:12","39","135","140","6","--","--"
"","4.4","Dorso","1","25","0:15.6","2:04.9","1:02","1:02","22","122","125","6","--","--"
"","","Riposo","0","0","0:22.9","11:38","0","0","0","147","150","0","0","4"
"","","Riposo","0","0","0:08.4","11:47","0","0","0","149","150","0","2","2"
"","","Riposo","0","0","0:51.3","12:38","0","0","0","128","147","0","0","8"
"","5","Rana","2","50","1:23.4","14:01","2:47","1:58","58","134","137","33","17","14"
"","5.1","Rana","1","25","0:29.6","0:29.6","1:58","1:58","46","128","135","16","--","--"
"","5.2","Rana","1","25","0:53.8","1:23.4","3:35","3:35","71","135","137","17","--","--"
"","","Riposo","0","0","1:29.9","15:31","0","0","0","114","133","0","0","10"
"","","Riposo","0","0","0:20","15:51","0","0","0","129","132","0","6","3"
"","","Riposo","0","0","2:23.2","18:14","0","0","0","110","132","0","0","15"
"","6","Stile libero","2","50","1:11.8","19:26","2:24","1:58","50","112","146","28","14","6"
"","6.1","Stile libero","1","25","0:29.6","0:29.6","1:58","1:58","45","100","106","15","--","--"
"","6.2","Stile libero","1","25","0:42.3","1:11.8","2:49","2:49","55","107","118","13","--","--"
"","","Riposo","0","0","0:41.9","20:08","0","0","0","126","146","0","0","6"
"","7","Stile libero","1","25","0:32.9","20:41","2:12","2:12","48","123","135","15","15","4"
"","7.1","Stile libero","1","25","0:32.9","0:32.9","2:12","2:12","48","114","127","15","--","--"
"","","Riposo","0","0","0:17.1","20:58","0","0","0","136","138","0","0","3"
"","8","Stile libero","2","50","0:35.5","21:34","1:11","0:54","25","138","145","14","7","7"
