"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","12:08","12:08","5.00","24.7","134","144","13","8","79","96","128","30.6","12:08","24.7"
"2","11:39","23:47","5.00","25.8","137","146","12","4","87","103","121","36.2","11:39","25.8"
"3","10:35","34:22","5.00","28.4","137","145","13","21","83","101","107","41.3","10:35","28.4"
"4","12:23","46:45","5.00","24.2","133","144","3","6","85","98","103","29.1","12:23","24.2"
"5","10:27","57:12","5.00","28.7","141","151","29","21","83","106","105","41.7","10:27","28.7"
"6","9:28.0","1:06:40","5.00","31.7","140","148","6","13","88","98","87","44.5","9:28.0","31.7"
"7","8:16.7","1:14:57","5.00","36.2","151","163","7","1","90","105","97","42.2","8:16.7","36.2"
"8","9:54.6","1:24:51","5.00","30.3","145","160","8","13","78","103","96","39.6","9:54.6","30.3"
"9","10:29","1:35:20","5.00","28.6","139","150","7","6","88","102","74","34.9","10:21","29.0"
"10","11:19","1:46:39","5.00","26.5","140","145","10","5","84","98","81","30.5","11:18","26.5"
"11","2:35.5","1:49:15","1.03","23.8","136","145","1","3","74","96","15","28.9","2:35","23.8"
"Riepilogo","1:49:15","1:49:15","51.03","28.0","139","163","110","104","84","106","1,014","44.5","1:49:05","28.1"
