"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","7:34.2","7:34.2","0","0","0","96","139","0","0","41"
"","1","Stile libero","2","50","1:04.2","8:38.5","2:09","1:55","43","107","127","21","11","7"
"","1.1","Stile libero","1","25","0:28.6","0:28.6","1:55","1:55","38","84","99","9","--","--"
"","1.2","Stile libero","1","25","0:35.6","1:04.2","2:22","2:22","48","110","125","12","--","--"
"","","Riposo","0","0","0:13.9","8:52.4","0","0","0","109","122","0","0","2"
"","2","Misto","4","100","1:39.1","10:31","1:39","1:01","33","111","123","32","8","11"
"","2.1","Rana","1","25","0:15.3","0:15.3","1:01","1:01","19","105","118","4","--","--"
"","2.2","Rana","1","25","0:22.5","0:37.8","1:30","1:30","32","102","107","9","--","--"
"","2.3","Rana","1","25","0:18.4","0:56.2","1:14","1:14","26","112","113","8","--","--"
"","2.4","Stile libero","1","25","0:42.9","1:39.1","2:52","2:52","54","115","123","11","--","--"
"","","Riposo","0","0","0:45.1","11:17","0","0","0","103","111","0","0","5"
"","3","Misto","2","50","1:04.5","12:21","2:09","1:54","45","119","128","26","13","9"
"","3.1","Rana","1","25","0:36.1","0:36.1","2:25","2:25","50","107","121","14","--","--"
"","3.2","Stile libero","1","25","0:28.4","1:04.5","1:54","1:54","40","120","124","12","--","--"
"","","Riposo","0","0","1:54.8","14:16","0","0","0","110","135","0","0","12"
"","4","Misto","2","50","1:18.5","15:34","2:37","1:21","55","135","149","32","16","14"
"","4.1","Dorso","1","25","0:20.3","0:20.3","1:21","1:21","29","133","135","9","--","--"
"","4.2","Rana","1","25","0:58.3","1:18.5","3:53","3:53","81","134","148","23","--","--"
"","","Riposo","0","0","0:39","16:13","0","0","0","124","137","0","0","6"
"","5","Misto","2","50","1:14.3","17:28","2:29","2:22","53","124","139","31","16","11"
"","5.1","Dorso","1","25","0:35.4","0:35.4","2:22","2:22","53","122","123","18","--","--"
"","5.2","Stile libero","1","25","0:38.8","1:14.3","2:35","2:35","52","120","131","13","--","--"
"","","Riposo","0","0","2:50.4","20:18","0","0","0","109","136","0","0","17"
"","6","Misto","6","150","4:22.4","24:40","2:55","2:00","62","142","156","112","19","50"
"","6.1","Rana","1","25","0:47.5","0:47.5","3:10","3:10","72","123","146","24","--","--"
"","6.2","Stile libero","1","25","0:38.5","1:26","2:34","2:34","53","147","150","14","--","--"
"","6.3","Rana","1","25","0:47.2","2:13.2","3:09","3:09","70","140","143","23","--","--"
"","6.4","Stile libero","1","25","0:42.1","2:55.2","2:48","2:48","57","139","143","15","--","--"
"","6.5","Rana","1","25","0:57.1","3:52.4","3:48","3:48","82","146","156","25","--","--"
"","6.6","Stile libero","1","25","0:30.0","4:22.4","2:00","2:00","41","148","156","11","--","--"
"","","Riposo","0","0","0:17.4","24:58","0","0","0","145","147","0","0","3"
"","7","Misto","2","50","1:27.4","26:25","2:55","2:48","61","139","154","34","17","15"
"","7.1","Rana","1","25","0:45.5","0:45.5","3:02","3:02","67","148","154","21","--","--"
"","7.2","Stile libero","1","25","0:41.9","1:27.4","2:48","2:48","55","132","135","13","--","--"
"","","Riposo","0","0","2:24.2","28:49","0","0","0","106","132","0","0","10"
"","8","Misto","3","75","1:53.4","30:43","2:31","1:17","52","148","159","44","15","22"
"","8.1","Stile libero","1","25","1:08.5","1:08.5","4:34","4:34","96","139","158","27","--","--"
"","8.2","Rana","1","25","0:19.3","1:27.8","1:17","1:17","26","155","159","7","--","--"
"","8.3","Stile libero","1","25","0:25.6","1:53.4","1:42","1:42","36","151","153","10","--","--"
"","","Riposo","0","0","0:16.4","30:59","0","0","0","142","147","0","0","3"
"","9","Misto","4","100","2:19.6","33:19","2:19","1:06","50","140","150","59","15","24"
"","9.1","Stile libero","1","25","0:16.6","0:16.6","1:06","1:06","24","140","144","7","--","--"
"","9.2","Stile libero","1","25","0:29.3","0:45.8","1:57","1:57","40","141","149","11","--","--"
"","9.3","Rana","1","25","0:56.4","1:42.2","3:46","3:46","81","143","150","25","--","--"
"","9.4","Stile libero","1","25","0:37.4","2:19.6","2:29","2:29","53","133","143","16","--","--"
"","","Riposo","0","0","0:08.1","33:27","0","0","0","143","144","0","0","1"
"","Riepilogo","--","27","675","33:27","33:27","2:26","1:01","51","118","159","391","15","263"
