"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","11:48","11:48","5.00","25.4","120","136","16","35","78","103","97","47.6","11:48","25.4"
"2","11:50","23:37","5.00","25.4","128","143","22","31","88","108","106","44.0","11:50","25.4"
"3","10:22","34:00","5.00","28.9","146","164","19","4","90","113","119","35.6","10:22","28.9"
"4","13:59","47:58","5.00","21.5","147","159","93","9","84","131","160","36.0","13:59","21.5"
"5","20:33","1:08:31","5.00","14.6","150","166","206","49","74","110","234","37.1","20:29","14.6"
"6","8:28.3","1:17:00","5.00","35.4","111","131","8","216","52","108","31","56.0","8:28.3","35.4"
"7","9:57.9","1:26:57","5.00","30.1","136","152","6","38","81","104","93","40.5","9:57","30.2"
"8","8:18.2","1:35:16","5.00","36.1","164","170","4","20","92","106","112","39.1","8:18.2","36.1"
"9","10:02","1:45:18","5.00","29.9","154","170","28","23","89","112","124","43.3","10:02","29.9"
"10","9:45.5","1:55:03","5.00","30.7","147","162","2","22","87","108","98","36.4","9:45","30.8"
"11","8:39.5","2:03:43","2.58","17.9","147","157","48","9","83","106","88","28.4","8:39","17.9"
"Riepilogo","2:03:43","2:03:43","52.58","25.5","141","170","453","457","82","131","1,261","56.0","2:03:37","25.5"
