"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","19:11","19:11","3.00","6:24","6:23","139","151","20","18","179","262","50.5% S / 49.5% D","0.87","7.8","8.8","263","260","3.77","346","5.01","210","23.0","5:45","186","19:11","6:24"
"","","Riscaldamento","1","6:29.9","6:29.9","1.00","6:30","6:23","135","144","12","1","177","264","50.8% S / 49.2% D","0.87","8.1","9.1","278","274","3.97","346","5.01","70","26.0","5:45","183","6:29.9","6:30"
"","","Riscaldamento","2","6:21.4","12:51","1.00","6:21","6:27","141","147","0","10","180","262","50.3% S / 49.7% D","0.88","7.7","8.6","249","248","3.59","294","4.26","70","23.0","6:15","184","6:21","6:21"
"","","Riscaldamento","3","6:20.0","19:11","1.00","6:20","6:19","140","151","8","7","181","262","50.4% S / 49.6% D","0.87","7.6","8.5","261","258","3.74","341","4.94","70","20.0","6:08","186","6:20.0","6:20"
"","1","Corsa","4 - 5","9:28.4","28:40","2.00","4:44","4:47","157","163","2","3","181","245","50.7% S / 49.3% D","1.16","9.1","7.6","344","346","5.01","416","6.03","125","18.0","3:55","187","9:27","4:44"
"","","Corsa","4","4:46.3","23:58","1.00","4:46","4:48","155","159","2","3","181","246","50.7% S / 49.3% D","1.17","9.0","7.5","343","347","5.03","416","6.03","62","19.0","3:55","187","4:46","4:46"
"","","Corsa","5","4:42.2","28:40","1.00","4:42","4:45","160","163","0","0","181","244","50.7% S / 49.3% D","1.16","9.2","7.7","344","346","5.01","411","5.96","63","18.0","4:15","185","4:42","4:42"
"","","Recupero","6","3:11.1","31:51","0.50","6:22","6:13","149","163","0","2","180","257","50.3% S / 49.7% D","0.91","8.0","8.6","271","256","3.71","345","5.00","36","18.0","4:29","182","3:10","6:20"
"","2","Corsa","7 - 8","9:23.2","41:14","2.00","4:42","4:40","164","168","11","1","180","242","51.1% S / 48.9% D","1.18","9.3","7.7","355","356","5.16","417","6.04","129","19.0","4:13","188","9:22","4:41"
"","","Corsa","7","4:40.7","36:32","1.00","4:41","4:39","163","166","5","1","180","242","51.0% S / 49.0% D","1.18","9.2","7.8","351","353","5.12","417","6.04","64","19.0","4:13","188","4:40.7","4:41"
"","","Corsa","8","4:42.5","41:14","1.00","4:42","4:41","165","168","6","0","180","242","51.1% S / 48.9% D","1.18","9.3","7.7","359","359","5.20","399","5.78","65","18.0","4:19","182","4:42","4:42"
"","","Recupero","9","3:15.5","44:30","0.50","6:31","6:30","153","166","0","1","180","254","49.5% S / 50.5% D","0.86","7.8","8.9","262","246","3.57","349","5.06","36","18.0","4:44","183","3:15","6:30"
"","3","Corsa","10 - 11","9:17.0","53:47","2.00","4:39","4:37","167","174","19","5","182","239","51.3% S / 48.7% D","1.18","9.1","7.5","364","366","5.30","492","7.13","129","19.0","3:29","191","9:16","4:38"
"","","Corsa","10","4:37.7","49:07","1.00","4:38","4:37","165","169","8","5","181","239","51.3% S / 48.7% D","1.18","9.2","7.6","361","363","5.26","492","7.13","64","18.0","3:29","188","4:37.7","4:38"
"","","Corsa","11","4:39.3","53:47","1.00","4:39","4:37","169","174","10","0","183","239","51.2% S / 48.8% D","1.17","8.9","7.4","367","368","5.33","438","6.35","65","19.0","4:21","191","4:39","4:39"
"","","Recupero","12","3:07.8","56:54","0.50","6:16","6:14","156","174","0","8","178","256","49.7% S / 50.3% D","0.92","8.3","8.7","288","261","3.78","427","6.19","37","19.0","4:19","186","3:07","6:14"
"","","Defaticamento","13 - 16","17:14","1:14:08","2.61","6:36","6:33","146","152","11","2","176","259","48.8% S / 51.2% D","0.86","8.2","9.3","256","255","3.70","328","4.75","177","21.0","6:05","183","17:13","6:36"
"","","Defaticamento","13","6:23.0","1:03:17","1.00","6:23","6:24","149","152","1","2","179","251","48.7% S / 51.3% D","0.87","8.1","9.0","257","256","3.71","292","4.23","69","20.0","6:05","183","6:23","6:23"
"","","Defaticamento","14","6:42.7","1:10:00","1.00","6:43","6:39","144","149","3","0","175","260","48.6% S / 51.4% D","0.85","8.2","9.4","252","251","3.64","328","4.75","66","21.0","6:20","179","6:42","6:42"
"","","Defaticamento","15","3:22.9","1:13:23","0.50","6:46","6:40","142","148","5","0","173","266","49.3% S / 50.7% D","0.86","8.4","9.6","258","259","3.75","312","4.52","34","21.0","6:30","176","3:22.9","6:46"
"","","Defaticamento","16","0:45.2","1:14:08","0.11","6:59","6:35","144","147","1","0","173","274","49.5% S / 50.5% D","0.85","8.2","9.5","264","261","3.78","276","4.00","8","22.0","6:37","174","0:45","6:57"
"","Riepilogo","--","--","1:14:08","1:14:08","13.11","5:39","5:38","151","174","62","41","179","253","50.2% S / 49.8% D","0.99","8.4","8.4","308","294","4.26","492","7.13","880","20.2","3:29","191","1:14:06","5:39"
