"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Stile libero","1","25","0:34.4","0:34.4","2:18","2:18","44","101","117","10","10","5"
"","1.1","Stile libero","1","25","0:34.4","0:34.4","2:18","2:18","44","97","112","10","--","--"
"","","Riposo","0","0","2:21.2","2:55.6","0","0","0","79","117","0","0","9"
"","2","Stile libero","1","25","0:44.9","3:40.5","3:00","3:00","67","108","124","22","22","5"
"","2.1","Stile libero","1","25","0:44.9","0:44.9","3:00","3:00","67","92","117","22","--","--"
"","","Riposo","0","0","0:58.6","4:39.1","0","0","0","98","126","0","0","6"
"","3","Stile libero","2","50","1:14.5","5:53.6","2:29","2:27","52","106","119","29","15","8"
"","3.1","Stile libero","1","25","0:37.8","0:37.8","2:31","2:31","53","85","100","15","--","--"
"","3.2","Stile libero","1","25","0:36.8","1:14.5","2:27","2:27","51","112","117","14","--","--"
"","","Riposo","0","0","0:58.7","6:52.2","0","0","0","109","118","0","0","7"
"","4","Stile libero","2","50","0:57.8","7:50.0","1:55","1:46","41","121","143","25","13","9"
"","4.1","Stile libero","1","25","0:31.2","0:31.2","2:05","2:05","46","103","120","15","--","--"
"","4.2","Stile libero","1","25","0:26.6","0:57.8","1:46","1:46","37","124","127","10","--","--"
"","","Riposo","0","0","0:26.4","8:16.4","0","0","0","140","143","0","0","4"
"","5","Stile libero","2","50","1:13.2","9:29.6","2:26","1:50","50","146","157","27","14","16"
"","5.1","Stile libero","1","25","0:45.6","0:45.6","3:02","3:02","63","140","146","17","--","--"
"","5.2","Stile libero","1","25","0:27.6","1:13.2","1:50","1:50","38","151","156","10","--","--"
"","","Riposo","0","0","0:24.8","9:54.3","0","0","0","141","145","0","0","4"
"","6","Stile libero","2","50","1:00.4","10:55","2:01","1:48","42","139","146","23","12","11"
"","6.1","Stile libero","1","25","0:33.4","0:33.4","2:14","2:14","46","141","146","13","--","--"
"","6.2","Stile libero","1","25","0:27","1:00.4","1:48","1:48","37","140","141","10","--","--"
"","","Riposo","0","0","0:19.3","11:14","0","0","0","143","148","0","0","5"
"","7","Stile libero","2","50","1:11.6","12:26","2:23","2:07","49","150","156","26","13","14"
"","7.1","Stile libero","1","25","0:40","0:40","2:40","2:40","55","151","156","15","--","--"
"","7.2","Stile libero","1","25","0:31.6","1:11.6","2:07","2:07","43","149","152","11","--","--"
"","","Riposo","0","0","2:57.8","15:23","0","0","0","102","144","0","0","15"
"","8","Rana","1","25","0:30.9","15:54","2:04","2:04","40","124","131","9","9","4"
"","8.1","Rana","1","25","0:30.9","0:30.9","2:04","2:04","40","120","131","9","--","--"
"","","Riposo","0","0","1:25.4","17:20","0","0","0","127","138","0","0","13"
"","","Riposo","0","0","0:10.7","17:30","0","0","0","128","129","0","0","1"
"","","Riposo","0","0","2:03.3","19:34","0","0","0","105","134","0","0","11"
"","9","Rana","2","50","1:38.7","21:12","3:17","1:37","71","122","140","44","22","12"
"","9.1","Rana","1","25","0:24.4","0:24.4","1:37","1:37","37","95","113","13","--","--"
"","9.2","Rana","1","25","1:14.3","1:38.7","4:58","4:58","105","125","140","31","--","--"
"","","Riposo","0","0","3:22.4","24:35","0","0","0","109","125","0","0","19"
"","10","Misto","3","75","1:20.1","25:55","1:47","1:34","37","113","142","31","10","9"
"","10.1","Rana","1","25","0:24.6","0:24.6","1:38","1:38","37","90","97","12","--","--"
"","10.2","Rana","1","25","0:23.5","0:48.1","1:34","1:34","35","98","100","11","--","--"
"","10.3","Dorso","1","25","0:32.1","1:20.1","2:08","2:08","40","117","132","8","--","--"
"","","Riposo","0","0","2:39.4","28:34","0","0","0","95","140","0","0","9"
"","11","Misto","2","50","0:45.3","29:20","1:30","1:29","35","117","129","24","12","6"
"","11.1","Dorso","1","25","0:23.1","0:23.1","1:32","1:32","36","97","109","13","--","--"
