Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:00.614,00:06:00.000,1,6,5,0:06:00  ,0:06:00  ,0:05:08  ,176.0,193.0,94.97999877929688,137.0,147.0,29,68
2,00:05:54.418,00:05:54.000,1,4,4,0:05:54  ,0:05:54  ,0:05:44  ,175.3125,179.0,96.57000122070313,144.0,149.0,26,69
3,00:04:21.926,00:04:21.926,1,0,5,0:04:21  ,0:04:21  ,0:04:02  ,188.28125,192.0,120.5199951171875,160.0,164.0,24,60
4,00:04:24.230,00:04:24.230,1,2,0,0:04:24  ,0:04:24  ,0:04:18  ,189.984375,193.0,120.19000244140625,165.0,168.0,23,62
5,00:04:25.911,00:04:25.911,1,1,2,0:04:25  ,0:04:25  ,0:04:19  ,190.3125,193.0,118.95,167.0,169.0,23,63
6,00:04:29.235,00:04:29.000,1,3,7,0:04:29  ,0:04:29  ,0:04:20  ,189.640625,192.0,118.64000244140625,168.0,170.0,23,64
7,00:04:30.447,00:04:30.000,1,0,5,0:04:30  ,0:04:30  ,0:04:16  ,182.625,191.0,121.14000244140625,168.0,170.0,23,63
8,00:02:00.435,00:02:00.000,0.2,0,6,0:09:56  ,0:09:53  ,0:04:06  ,119.546875,184.0,90.02000122070314,143.0,169.0,23,17
9,00:06:04.529,00:06:04.529,1,3,6,0:06:04  ,0:06:04  ,0:05:29  ,174.828125,178.0,92.60000000000001,147.0,155.0,24,67
10,00:06:14.495,00:06:14.495,1,7,0,0:06:14  ,0:06:14  ,0:05:12  ,174.765625,180.0,91.57000122070313,149.0,152.0,25,71
11,00:06:32.240,00:06:32.000,1,13,4,0:06:32  ,0:06:32  ,0:04:54  ,169.890625,178.0,91.00999755859375,146.0,153.0,25,70
12,00:06:14.590,00:06:14.590,1,1,1,0:06:14  ,0:06:14  ,0:04:47  ,174.265625,177.0,93.17999877929688,144.0,148.0,25,66
13,00:06:17.321,00:06:17.000,1,3,4,0:06:17  ,0:06:17  ,0:05:36  ,173.125,177.0,92.32000122070313,141.0,145.0,25,67
14,00:05:36.913,00:05:36.000,0.91,10,0,0:06:12  ,0:06:11  ,0:05:40  ,172.78125,176.0,93.60000000000001,142.0,146.0,25,64
Summary,01:13:07.304,01:13:03.681,13.11,53,50,0:05:34  ,0:05:34  ,0:04:02  ,176.703125,193.0,101.20999755859376,150.0,170.0,24.72,871
