Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:28.566,00:06:28.566,1,2,0,0:06:28  ,0:06:28  ,0:05:33  ,176.28125,181.0,87.45999755859376,131.0,139.0,28,69
2,00:06:23.427,00:06:23.000,1,1,1,0:06:23  ,0:06:23  ,0:06:02  ,176.21875,179.0,88.65,135.0,138.0,25,70
3,00:06:17.754,00:06:17.754,1,0,3,0:06:17  ,0:06:17  ,0:06:03  ,178.375,181.0,88.97000122070312,136.0,139.0,23,69
4,00:06:05.590,00:06:05.000,1,0,3,0:06:05  ,0:06:05  ,0:05:53  ,179.5625,182.0,91.64000244140625,138.0,141.0,22,68
5,00:06:07.239,00:06:07.239,1,1,0,0:06:07  ,0:06:07  ,0:05:54  ,179.984375,183.0,90.90999755859376,139.0,143.0,22,68
6,00:06:03.385,00:06:03.000,1,0,1,0:06:03  ,0:06:03  ,0:05:49  ,180.140625,183.0,91.54000244140626,138.0,145.0,22,67
7,00:06:09.323,00:06:09.000,1,3,1,0:06:09  ,0:06:09  ,0:05:58  ,178.890625,182.0,91.32999877929689,140.0,143.0,23,68
8,00:06:07.166,00:06:07.166,1,0,4,0:06:07  ,0:06:07  ,0:05:46  ,179.015625,183.0,91.45999755859376,140.0,144.0,23,67
9,00:06:16.055,00:06:16.000,1,7,0,0:06:16  ,0:06:16  ,0:05:59  ,178.71875,181.0,89.74000244140626,141.0,145.0,24,69
10,00:06:09.297,00:06:09.000,1,8,4,0:06:09  ,0:06:09  ,0:05:47  ,178.03125,181.0,91.62999877929688,141.0,146.0,24,68
11,00:00:40.200,00:00:39.000,0.11,1,0,0:06:09  ,0:05:58  ,0:06:09  ,178.96875,181.0,90.67000122070313,146.0,147.0,24,8
Summary,01:02:48.002,01:02:44.725,10.11,23,19,0:06:12  ,0:06:12  ,0:05:33  ,178.5,183.0,90.30999755859375,138.0,147.0,23.64,690
