"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.66","7:32","7:44","137","147","0","0","162","283","0.81","7.8","9.7","258","246","3.11","287","3.62","49","6:30","179","4:46","7:11"
"","1","Corsa","2 - 8","40:00","45:00","6.08","6:35","6:34","164","172","2","0","174","270","0.87","7.9","9.0","281","281","3.55","301","3.80","511","6:10","190","40:00","6:35"
"","","Corsa","2","6:37.4","11:37","1.00","6:37","6:35","154","164","0","0","176","266","0.86","7.7","8.9","283","283","3.57","292","3.69","83","6:26","181","6:37.4","6:37"
"","","Corsa","3","6:34.0","18:11","1.00","6:34","6:34","165","167","1","0","175","268","0.86","7.8","8.9","282","282","3.56","297","3.75","85","6:20","190","6:34","6:34"
"","","Corsa","4","6:32.2","24:44","1.00","6:32","6:33","166","169","0","0","175","269","0.87","7.8","9.0","281","281","3.55","293","3.70","84","6:15","181","6:32","6:32"
"","","Corsa","5","6:35.6","31:19","1.00","6:36","6:36","167","172","1","0","174","270","0.87","7.9","9.0","276","276","3.48","298","3.76","84","6:10","186","6:35.6","6:36"
"","","Corsa","6","6:32.3","37:52","1.00","6:32","6:34","168","170","0","0","172","272","0.88","8.0","9.0","278","279","3.52","293","3.70","83","6:17","184","6:32","6:32"
"","","Corsa","7","6:35.1","44:27","1.00","6:35","6:34","166","169","0","0","171","274","0.89","8.1","9.1","287","286","3.61","301","3.80","85","6:17","179","6:35.1","6:35"
"","","Corsa","8","0:33.3","45:00","0.08","6:44","6:44","164","165","0","0","169","277","0.88","8.1","9.3","282","281","3.55","284","3.59","7","6:43","171","0:33","6:40"
"","2","Corsa","9 - 13","30:00","1:15:00","4.56","6:34","6:35","169","175","1","2","168","277","0.90","8.3","9.2","284","284","3.59","308","3.89","381","6:19","181","29:59","6:34"
"","","Corsa","9","6:33.5","51:34","1.00","6:34","6:34","169","173","1","1","170","274","0.89","8.1","9.1","285","285","3.60","298","3.76","86","6:24","181","6:33","6:33"
"","","Corsa","10","6:33.4","58:07","1.00","6:33","6:36","170","171","0","0","170","276","0.90","8.2","9.1","279","279","3.52","295","3.72","83","6:21","181","6:33.4","6:33"
"","","Corsa","11","6:33.2","1:04:40","1.00","6:33","6:34","170","173","0","0","168","278","0.91","8.3","9.2","281","281","3.55","294","3.71","82","6:24","174","6:33","6:33"
"","","Corsa","12","6:34.6","1:11:15","1.00","6:35","6:36","167","171","0","1","167","279","0.91","8.4","9.2","288","288","3.64","308","3.89","83","6:19","172","6:34.6","6:35"
"","","Corsa","13","3:45.3","1:15:00","0.56","6:40","6:38","169","175","0","0","166","282","0.91","8.5","9.3","287","287","3.62","295","3.72","47","6:31","174","3:45","6:39"
"","","Defaticamento","14 - 15","5:06.5","1:20:06","0.72","7:08","7:12","165","170","1","5","166","286","0.84","8.1","9.6","260","259","3.27","287","3.62","56","6:26","174","5:05","7:06"
"","","Defaticamento","14","5:00","1:20:00","0.71","7:05","7:13","165","170","1","5","166","286","0.84","8.1","9.6","260","258","3.26","287","3.62","55","6:26","174","4:59","7:04"
"","","Defaticamento","15","0:06.5","1:20:06","0.01","9:39","6:51","165","165","0","0","167","282","0.88","8.2","9.4","273","269","3.40","278","3.51","1","6:35","169","0:06","8:57"
"","Riepilogo","--","--","1:20:06","1:20:06","12.03","6:40","6:40","164","175","5","7","171","274","0.88","8.0","9.1","280","278","3.51","308","3.89","998","6:10","190","1:19:51","6:38"
