"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.65","7:45","7:44","87","110","8","1","151","280","0.84","7.5","8.9","275","242","3.02","337","4.20","44","6:37","176","4:51","7:31"
"","1","Corsa","2 - 4","20:00","25:00","2.94","6:48","6:45","153","175","29","30","170","277","0.87","8.1","9.3","288","284","3.54","363","4.53","245","6:07","179","19:59","6:48"
"","","Corsa","2","6:42.7","11:43","1.00","6:43","6:43","123","166","8","15","171","275","0.87","8.0","9.2","287","281","3.50","347","4.33","73","6:16","179","6:42.7","6:43"
"","","Corsa","3","6:46.5","18:29","1.00","6:47","6:47","167","175","5","5","170","277","0.87","8.0","9.3","282","280","3.49","363","4.53","87","6:07","179","6:46.5","6:47"
"","","Corsa","4","6:30.7","25:00","0.94","6:56","6:45","170","173","16","10","169","280","0.86","8.1","9.4","295","291","3.63","347","4.33","85","6:30","174","6:30","6:55"
"","2","Corsa","5 - 7","15:00","40:00","2.19","6:52","6:48","171","176","20","22","168","280","0.87","8.2","9.3","285","282","3.52","364","4.54","195","6:13","183","14:59","6:51"
"","","Corsa","5","6:51.4","31:51","1.00","6:51","6:54","168","174","3","8","169","278","0.87","8.1","9.3","269","271","3.38","364","4.54","86","6:16","183","6:51.4","6:51"
"","","Corsa","6","6:55.3","38:47","1.00","6:55","6:43","173","176","17","7","167","282","0.87","8.2","9.4","301","295","3.68","356","4.44","93","6:40","174","6:55","6:55"
"","","Corsa","7","1:13.3","40:00","0.19","6:34","6:39","170","173","0","6","169","274","0.93","8.4","9.0","267","269","3.35","280","3.49","17","6:13","176","1:13","6:32"
"","","Defaticamento","8 - 9","8:30.3","48:30","1.25","6:47","6:52","173","177","3","9","165","284","0.89","8.4","9.4","276","275","3.43","328","4.09","110","6:23","174","8:30","6:47"
"","","Defaticamento","8","5:00","45:00","0.73","6:53","6:56","173","177","3","8","166","284","0.88","8.3","9.4","275","273","3.40","328","4.09","64","6:30","174","4:59","6:52"
"","","Defaticamento","9","3:30.3","48:30","0.53","6:40","6:46","174","176","0","1","165","283","0.90","8.4","9.3","277","277","3.45","304","3.79","46","6:23","170","3:30.3","6:40"
"","Riepilogo","--","--","48:30","48:30","7.02","6:54","6:52","155","177","60","61","167","279","0.87","8.1","9.3","284","277","3.45","364","4.54","594","6:07","183","48:21","6:53"
