"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","11:45","11:45","2.00","5:52","5:56","147","156","1","6","162","276","1.05","9.5","9.0","270","266","4.00","315","4.74","129","27.0","4:56","167","11:31","5:46"
"","","Riscaldamento","1","5:52.9","5:52.9","1.00","5:53","5:54","140","152","0","5","162","275","1.06","9.5","8.9","267","259","3.89","315","4.74","62","28.0","4:56","167","5:41","5:41"
"","","Riscaldamento","2","5:51.6","11:45","1.00","5:52","5:51","153","156","1","1","163","278","1.05","9.5","9.0","273","272","4.09","289","4.35","67","26.0","5:37","167","5:51.6","5:52"
"","","Riposo","3","1:30","13:15","0.13","11:18","10:58","134","154","0","6","112","278","0.84","6.2","7.3","176","96","1.44","263","3.95","11","25.0","5:56","163","1:28","11:03"
"","1","Corsa","4","4:20.6","17:35","1.00","4:21","4:23","165","175","6","3","177","235","1.28","9.4","7.3","353","359","5.40","428","6.44","55","26.0","4:06","184","4:20","4:20"
"","2","Corsa","5","0:46.0","18:21","0.20","3:50","4:01","175","177","0","0","184","220","1.34","9.0","6.8","373","390","5.86","424","6.38","10","25.0","3:50","188","0:45","3:45"
"","","Riposo","6","1:30","19:51","0.13","11:17","9:58","161","178","0","1","104","216","0.87","6.1","7.3","251","103","1.55","419","6.30","17","25.0","3:51","181","1:28","11:02"
"","3","Corsa","7","4:23.6","24:15","1.00","4:24","4:26","168","177","0","0","174","238","1.29","9.6","7.4","348","354","5.32","419","6.30","55","25.0","4:01","179","4:23.6","4:24"
"","4","Corsa","8","0:47.5","25:02","0.20","3:58","4:02","178","182","0","0","181","222","1.36","9.3","6.8","377","389","5.85","423","6.36","11","25.0","3:51","186","0:47","3:55"
"","","Riposo","9","1:30","26:32","0.15","10:15","9:39","166","180","0","1","117","254","0.88","6.3","7.3","247","122","1.83","385","5.79","18","26.0","4:02","177","1:28","10:01"
"","5","Corsa","10","4:30.2","31:02","1.00","4:30","4:31","172","178","1","1","172","243","1.29","9.8","7.6","339","343","5.16","381","5.73","58","26.0","4:14","177","4:30","4:30"
"","6","Corsa","11","0:48.1","31:51","0.20","4:01","4:10","179","181","0","0","180","225","1.34","9.3","7.0","358","370","5.56","386","5.80","11","26.0","3:59","185","0:47","3:55"
"","","Riposo","12","1:30","33:21","0.14","10:21","9:38","169","180","0","1","116","227","0.89","6.2","7.1","232","119","1.79","382","5.74","18","26.0","4:03","175","1:28","10:07"
"","7","Corsa","13","4:46.3","38:07","1.00","4:46","4:46","170","181","2","3","167","242","1.25","9.4","7.5","335","324","4.87","433","6.51","60","27.0","4:08","236","4:46","4:46"
"","8","Corsa","14","0:49.1","38:56","0.20","4:05","4:07","182","183","1","0","177","229","1.36","9.6","7.1","370","383","5.76","409","6.15","11","29.0","3:59","181","0:48","4:00"
"","","Riposo","15","1:30","40:26","0.15","10:00","9:20","171","184","0","0","115","266","0.89","6.5","7.4","252","127","1.91","401","6.03","18","29.0","4:11","168","1:28","9:46"
"","","Defaticamento","16 - 18","11:15","51:41","1.86","6:04","5:58","164","173","15","2","155","270","1.05","8.9","8.4","283","262","3.94","341","5.13","125","30.0","4:59","170","11:15","6:04"
"","","Defaticamento","16","6:23.8","46:50","1.00","6:24","6:24","159","172","5","2","149","268","1.03","8.4","8.1","271","236","3.55","332","4.99","65","30.0","4:59","170","6:23.8","6:24"
"","","Defaticamento","17","1:11.3","48:01","0.20","5:57","5:31","171","173","4","0","156","273","1.07","9.5","8.8","292","290","4.36","341","5.13","14","31.0","5:27","167","1:11","5:55"
"","","Defaticamento","18","3:39.7","51:41","0.66","5:35","5:28","172","173","7","0","165","272","1.08","9.5","8.8","300","300","4.51","338","5.08","45","30.0","5:30","167","3:39","5:34"
"","Riepilogo","--","--","51:41","51:41","9.36","5:31","5:30","162","184","26","25","158","255","1.12","8.9","7.9","309","278","4.18","433","6.51","606","27.2","3:50","236","51:23","5:29"
