"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.23","6:44","6:48","157","164","3","10","174","268","0.84","7.6","9.1","264","261","3.45","366","4.84","168","21.0","5:04","188","14:52","6:41"
"","","Riscaldamento","1","6:46.5","6:46.5","1.00","6:47","6:50","152","164","2","6","171","271","0.85","7.7","9.1","264","257","3.40","366","4.84","74","23.0","5:04","188","6:41","6:41"
"","","Riscaldamento","2","6:41.5","13:28","1.00","6:41","6:42","161","164","1","2","177","266","0.84","7.6","9.0","266","266","3.52","321","4.24","77","20.0","6:30","184","6:41","6:41"
"","","Riscaldamento","3","1:32.1","15:00","0.23","6:46","6:51","160","162","0","2","177","267","0.84","7.6","9.1","258","257","3.40","264","3.49","17","20.0","6:40","181","1:32","6:45"
"","1","Corsa","4","1:00.5","16:01","0.13","7:41","7:45","164","170","0","1","144","241","0.86","6.6","8.0","275","206","2.72","405","5.35","11","20.0","4:28","214","0:59","7:30"
"","2","Corsa","5","0:20","16:21","0.08","3:57","4:32","154","156","0","0","194","193","1.16","7.1","6.4","203","387","5.12","522","6.90","4","20.0","3:26","221","0:19","3:46"
"","","Recupero","6","0:45","17:06","0.08","9:42","8:20","161","168","0","0","102","193","0.90","6.3","7.0","285","145","1.92","470","6.21","8","20.0","3:39","221","0:44","9:29"
"","3","Corsa","7","0:20","17:26","0.10","3:30","3:56","158","169","0","0","164","164","1.34","7.2","5.4","184","342","4.52","505","6.68","4","20.0","3:12","222","0:19","3:19"
"","","Recupero","8","0:45","18:11","0.07","10:25","8:34","169","172","0","0","122","201","0.85","6.1","7.7","275","157","2.08","478","6.32","9","20.0","3:15","220","0:44","10:11"
"","4","Corsa","9","0:20","18:31","0.10","3:30","3:52","165","169","0","0","206","189","1.26","7.6","6.2","256","461","6.09","538","7.11","4","20.0","3:20","217","0:19","3:20"
"","","Recupero","10","0:45","19:16","0.07","10:08","8:41","171","175","0","0","107","225","0.85","6.2","7.7","323","142","1.88","510","6.74","9","20.0","3:20","212","0:44","9:55"
"","5","Corsa","11","0:20","19:36","0.09","3:33","4:02","169","171","0","0","202","202","1.22","7.7","6.6","229","434","5.74","512","6.77","4","19.0","3:20","212","0:19","3:23"
"","","Recupero","12","0:45","20:21","0.07","10:24","8:44","171","175","0","1","119","197","0.93","6.2","7.2","312","154","2.04","495","6.54","9","19.0","3:20","207","0:44","10:10"
"","6","Corsa","13","0:20","20:41","0.10","3:30","3:47","166","170","0","0","200","196","1.32","8.1","6.3","258","477","6.31","538","7.11","4","19.0","3:18","214","0:19","3:19"
"","","Recupero","14","0:45","21:26","0.07","10:30","8:41","171","177","0","0","106","238","0.94","6.3","7.8","339","146","1.93","509","6.73","9","19.0","3:20","210","0:44","10:16"
"","7","Corsa","15","0:20","21:46","0.09","3:44","4:11","165","169","0","0","201","207","1.18","7.6","6.7","201","414","5.47","501","6.62","4","19.0","3:27","214","0:19","3:32"
"","","Recupero","16","0:45","22:31","0.07","10:23","8:51","170","173","0","0","108","336","0.87","6.1","7.4","263","123","1.63","469","6.20","9","19.0","3:29","212","0:44","10:09"
"","8","Corsa","17","0:20","22:51","0.09","3:42","4:17","166","170","0","0","198","213","1.18","7.7","6.9","235","431","5.70","499","6.60","4","19.0","3:33","210","0:19","3:31"
"","","Recupero","18","0:45","23:36","0.07","10:46","8:31","169","173","0","0","133","208","0.83","6.1","7.5","328","176","2.33","498","6.58","9","19.0","3:33","210","0:44","10:31"
"","9","Corsa","19","0:20","23:56","0.09","3:32","4:01","163","169","0","0","204","195","1.22","7.5","6.5","229","420","5.55","511","6.75","4","19.0","3:24","214","0:19","3:21"
"","","Recupero","20","0:45","24:41","0.07","10:39","9:03","170","174","0","0","115","241","0.78","6.2","8.2","295","140","1.85","478","6.32","9","19.0","3:24","210","0:44","10:24"
"","10","Corsa","21","0:20","25:01","0.10","3:29","3:54","165","170","0","0","202","191","1.31","7.8","6.2","240","450","5.95","538","7.11","4","18.0","3:22","219","0:19","3:18"
"","","Recupero","22","0:45","25:46","0.07","10:17","8:38","172","176","0","0","109","207","0.86","6.2","7.6","335","150","1.98","499","6.60","9","18.0","3:23","207","0:44","10:03"
