"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","17:50","17:50","5.00","16.8","110","131","8","8","106","22.1","17:28","17.2"
"2","15:48","33:38","5.00","19.0","125","146","15","19","111","28.8","15:47","19.0"
"3","15:01","48:39","5.00","20.0","137","156","15","4","125","30.3","14:41","20.4"
"4","14:07","1:02:46","5.00","21.2","136","145","7","14","104","28.7","14:07","21.3"
"5","4:14.9","1:07:01","1.44","20.3","139","147","4","1","33","24.8","4:13","20.5"
"Riepilogo","1:07:01","1:07:01","21.44","19.2","127","156","48","46","478","30.3","1:06:16","19.4"
