Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:15.863,00:06:15.000,1,5,5,0:06:15  ,0:06:15  ,0:05:06  ,172.09375,181.0,93.67999877929688,135.0,149.0,29,69
2,00:06:08.673,00:06:08.673,1,1,2,0:06:08  ,0:06:08  ,0:05:55  ,172.953125,177.0,94.22999877929688,148.0,153.0,27,71
3,00:04:52.092,00:04:52.000,1,1,5,0:04:52  ,0:04:51  ,0:04:38  ,179.359375,184.0,113.96999511718751,162.0,165.0,26,65
4,00:04:47.536,00:04:47.536,1,8,4,0:04:47  ,0:04:47  ,0:04:39  ,179.78125,183.0,116.24000244140626,167.0,170.0,25,66
5,00:04:46.936,00:04:46.000,1,2,4,0:04:46  ,0:04:46  ,0:04:39  ,178.875,183.0,117.24000244140626,170.0,172.0,25,66
6,00:04:56.839,00:04:56.839,1,3,3,0:04:56  ,0:04:56  ,0:04:24  ,176.75,180.0,114.73000488281251,171.0,173.0,25,69
7,00:04:50.693,00:04:50.693,1,0,4,0:04:50  ,0:04:50  ,0:04:48  ,177.359375,179.0,116.3199951171875,171.0,173.0,25,67
8,00:04:51.296,00:04:51.000,1,1,1,0:04:51  ,0:04:51  ,0:04:47  ,177.4375,180.0,115.9,171.0,174.0,25,68
9,00:00:20.206,00:00:19.000,0.06,0,0,0:05:45  ,0:05:24  ,0:04:52  ,172.5,176.0,92.20999755859376,139.0,172.0,26,3
10,00:06:15.332,00:06:15.332,1,0,31,0:06:15  ,0:06:15  ,0:05:31  ,171.375,175.0,92.72999877929688,154.0,158.0,26,70
11,00:06:18.418,00:06:17.000,1,0,6,0:06:18  ,0:06:17  ,0:05:23  ,170.875,174.0,93.07000122070313,152.0,158.0,27,69
12,00:06:06.715,00:06:06.000,1,17,19,0:06:06  ,0:06:06  ,0:05:34  ,171.359375,173.0,94.62000122070313,150.0,155.0,27,67
13,00:06:18.061,00:06:18.000,1,12,6,0:06:18  ,0:06:18  ,0:05:12  ,171.421875,174.0,92.57999877929689,147.0,153.0,27,67
14,00:06:15.839,00:06:15.839,1,11,7,0:06:15  ,0:06:15  ,0:05:44  ,170.40625,173.0,93.4,146.0,151.0,27,66
15,00:06:14.440,00:06:14.000,1,12,2,0:06:14  ,0:06:14  ,0:05:12  ,170.984375,174.0,93.62000122070313,147.0,153.0,27,67
16,00:00:08.714,00:00:08.000,0.02,0,0,0:06:19  ,0:05:48  ,0:06:10  ,170.109375,171.0,94.9,152.0,153.0,27,2
Summary,01:19:27.653,01:19:20.912,14.08,74,100,0:05:38  ,0:05:38  ,0:04:24  ,173.921875,184.0,101.60999755859376,155.0,174.0,26.4,951
