"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Stile libero","3","75","2:03.8","2:03.8","2:45","2:29","55","106","138","40","13","15"
"","1.1","Stile libero","1","25","0:37.2","0:37.2","2:29","2:29","49","77","94","12","--","--"
"","1.2","Stile libero","1","25","0:40.3","1:17.4","2:41","2:41","55","115","124","15","--","--"
"","1.3","Stile libero","1","25","0:46.4","2:03.8","3:06","3:06","59","115","123","13","--","--"
"","","Riposo","0","0","1:59.9","4:03.7","0","0","0","99","130","0","0","12"
"","2","Misto","3","75","1:36.9","5:40.7","2:09","1:45","44","130","155","34","11","16"
"","2.1","Stile libero","1","25","0:29.8","0:29.8","1:59","1:59","43","106","120","13","--","--"
"","2.2","Dorso","1","25","0:40.9","1:10.7","2:43","2:43","55","123","136","14","--","--"
"","2.3","Dorso","1","25","0:26.3","1:36.9","1:45","1:45","33","145","148","7","--","--"
"","","Riposo","0","0","0:15.3","5:55.9","0","0","0","145","152","0","0","4"
"","3","Misto","3","75","1:26.3","7:22.2","1:55","0:50","38","153","157","29","10","16"
"","3.1","Stile libero","1","25","0:36.8","0:36.8","2:27","2:27","52","146","154","15","--","--"
"","3.2","Stile libero","1","25","0:12.4","0:49.1","0:50","0:50","17","156","157","5","--","--"
"","3.3","Dorso","1","25","0:37.2","1:26.3","2:29","2:29","46","153","157","9","--","--"
"","","Riposo","0","0","0:11.1","7:33.4","0","0","0","151","153","0","0","3"
"","4","Misto","5","125","3:02","10:35","2:26","1:49","51","149","160","72","14","38"
"","4.1","Dorso","1","25","0:33.9","0:33.9","2:16","2:16","46","148","154","12","--","--"
"","4.2","Rana","1","25","0:27.2","1:01.1","1:49","1:49","39","156","160","12","--","--"
"","4.3","Rana","1","25","0:42","1:43.1","2:48","2:48","62","150","155","20","--","--"
"","4.4","Stile libero","1","25","0:37.1","2:20.2","2:29","2:29","50","145","148","13","--","--"
"","4.5","Dorso","1","25","0:41.8","3:02","2:47","2:47","57","146","151","15","--","--"
"","","Riposo","0","0","0:35.3","11:11","0","0","0","148","158","0","0","8"
"","5","Rana","2","50","1:31.2","12:42","3:02","2:26","70","138","142","48","24","16"
"","5.1","Rana","1","25","0:54.8","0:54.8","3:39","3:39","82","138","141","27","--","--"
"","5.2","Rana","1","25","0:36.4","1:31.2","2:26","2:26","57","138","142","21","--","--"
"","","Riposo","0","0","2:00.5","14:42","0","0","0","112","138","0","0","11"
"","6","Rana","1","25","0:53.6","15:36","3:35","3:35","75","125","127","21","21","6"
"","6.1","Rana","1","25","0:53.6","0:53.6","3:35","3:35","75","122","127","21","--","--"
"","","Riposo","0","0","0:06.1","15:42","0","0","0","123","125","0","0","2"
"","7","Rana","3","75","2:08.9","17:51","2:52","2:35","63","132","135","59","20","20"
"","7.1","Rana","1","25","0:38.8","0:38.8","2:35","2:35","58","126","129","19","--","--"
"","7.2","Rana","1","25","0:44.4","1:23.2","2:58","2:58","65","133","135","21","--","--"
"","7.3","Rana","1","25","0:45.8","2:08.9","3:03","3:03","65","133","135","19","--","--"
"","","Riposo","0","0","0:18.3","18:09","0","0","0","123","129","0","0","4"
"","8","Rana","3","75","1:34.6","19:44","2:06","0:57","45","125","131","41","14","12"
"","8.1","Rana","1","25","0:35.8","0:35.8","2:23","2:23","46","121","127","10","--","--"
"","8.2","Rana","1","25","0:14.2","0:50.0","0:57","0:57","27","125","126","13","--","--"
"","8.3","Rana","1","25","0:44.6","1:34.6","2:59","2:59","63","128","131","18","--","--"
"","","Riposo","0","0","1:47.4","21:31","0","0","0","107","138","0","0","8"
"","9","Misto","3","75","1:35.7","23:07","2:08","1:33","44","142","149","35","12","18"
"","9.1","Rana","1","25","0:23.2","0:23.2","1:33","1:33","34","137","145","11","--","--"
"","9.2","Rana","1","25","0:29.8","0:52.9","1:59","1:59","41","144","148","11","--","--"
"","9.3","Dorso","1","25","0:42.8","1:35.7","2:51","2:51","56","139","148","13","--","--"
"","","Riposo","0","0","1:00.5","24:07","0","0","0","111","142","0","0","5"
"","10","Dorso","4","100","1:45.4","25:53","1:45","1:05","35","134","156","35","9","15"
"","10.1","Dorso","1","25","0:21","0:21","1:24","1:24","30","101","109","9","--","--"
"","10.2","Dorso","1","25","0:16.3","0:37.3","1:05","1:05","24","108","109","8","--","--"
"","10.3","Dorso","1","25","0:25.9","1:03.2","1:44","1:44","37","129","142","11","--","--"
"","10.4","Dorso","1","25","0:42.3","1:45.4","2:49","2:49","49","144","155","7","--","--"
"","","Riposo","0","0","0:38.9","26:32","0","0","0","133","154","0","0","7"
