"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","10:38","10:38","5.00","28.2","135","149","7","9","86","107","114","32.7","10:38","28.2"
"2","10:22","21:00","5.00","28.9","133","138","5","5","90","97","100","31.0","10:22","28.9"
"3","10:30","31:30","5.00","28.6","137","147","8","1","89","100","107","32.1","10:30","28.6"
"4","10:52","42:22","5.00","27.6","143","160","24","24","78","110","114","41.8","10:52","27.6"
"5","10:29","52:51","5.00","28.6","146","161","30","20","82","105","114","42.5","10:29","28.6"
"6","10:12","1:03:03","5.00","29.4","148","164","35","38","82","107","112","44.6","10:12","29.4"
"7","10:35","1:13:39","5.00","28.3","142","158","15","25","83","106","88","41.9","10:35","28.3"
"8","11:29","1:25:08","5.00","26.1","136","145","15","3","83","94","73","29.8","11:29","26.1"
"9","10:20","1:35:28","5.00","29.0","132","141","17","24","86","106","50","48.0","10:20","29.0"
"10","11:13","1:46:41","5.00","26.7","133","138","4","9","84","96","55","31.6","11:13","26.7"
"11","10:20","1:57:01","5.00","29.0","137","144","6","3","85","99","71","33.4","10:20","29.0"
"12","9:32.3","2:06:34","5.00","31.4","152","166","7","7","85","97","109","43.7","9:32.3","31.5"
"13","3:10.5","2:09:44","1.16","21.9","136","161","4","3","68","103","20","32.6","3:09","22.0"
"Riepilogo","2:09:44","2:09:44","61.16","28.3","139","166","178","172","84","110","1,129","48.0","2:09:41","28.3"
