"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Stile libero","1","25","0:39.0","0:39.0","2:36","2:36","51","109","119","12","12","6"
"","1.1","Stile libero","1","25","0:39.0","0:39.0","2:36","2:36","51","107","119","12","--","--"
"","","Riposo","0","0","0:16.6","0:55.6","0","0","0","110","111","0","0","2"
"","2","Stile libero","3","75","2:01.5","2:57.1","2:42","1:55","53","107","113","36","12","14"
"","2.1","Stile libero","1","25","0:28.6","0:28.6","1:55","1:55","38","111","112","9","--","--"
"","2.2","Stile libero","1","25","0:46.2","1:14.8","3:05","3:05","62","105","111","16","--","--"
"","2.3","Stile libero","1","25","0:46.7","2:01.5","3:07","3:07","58","111","113","11","--","--"
"","","Riposo","0","0","1:29","4:26.1","0","0","0","83","102","0","0","5"
"","3","Rana","2","50","1:07.5","5:33.6","2:15","1:11","42","71","87","16","8","2"
"","3.1","Rana","1","25","0:49.6","0:49.6","3:18","3:18","61","66","74","11","--","--"
"","3.2","Rana","1","25","0:17.9","1:07.5","1:11","1:11","23","73","75","5","--","--"
"","","Riposo","0","0","6:35.1","12:09","0","0","0","100","126","0","0","36"
"","4","Stile libero","1","25","0:39.2","12:48","2:37","2:37","56","131","135","17","17","7"
"","4.1","Stile libero","1","25","0:39.2","0:39.2","2:37","2:37","56","127","135","17","--","--"
"","","Riposo","0","0","2:40.6","15:28","0","0","0","105","131","0","0","16"
"","5","Stile libero","1","25","0:44.8","16:13","2:59","2:59","65","136","145","20","20","9"
"","5.1","Stile libero","1","25","0:44.8","0:44.8","2:59","2:59","65","130","145","20","--","--"
"","","Riposo","0","0","1:42.2","17:55","0","0","0","95","126","0","0","7"
"","6","Misto","4","100","1:41.1","19:37","1:41","1:05","32","122","146","27","7","12"
"","6.1","Dorso","1","25","0:16.4","0:16.4","1:05","1:05","21","83","90","5","--","--"
"","6.2","Dorso","1","25","0:21.1","0:37.4","1:24","1:24","29","109","122","8","--","--"
"","6.3","Rana","1","25","0:18.3","0:55.7","1:13","1:13","26","122","124","8","--","--"
"","6.4","Dorso","1","25","0:45.4","1:41.1","3:01","3:01","51","128","146","6","--","--"
"","","Riposo","0","0","1:44","21:21","0","0","0","108","140","0","0","12"
"","7","Stile libero","1","25","0:37.0","21:58","2:28","2:28","49","121","126","12","12","6"
"","7.1","Stile libero","1","25","0:37.0","0:37.0","2:28","2:28","49","114","125","12","--","--"
"","","Riposo","0","0","0:53.9","22:52","0","0","0","123","134","0","0","8"
"","8","Misto","2","50","1:19.4","24:11","2:39","2:35","52","133","140","25","13","13"
"","8.1","Stile libero","1","25","0:40.6","0:40.6","2:42","2:42","54","119","132","13","--","--"
"","8.2","Dorso","1","25","0:38.8","1:19.4","2:35","2:35","51","137","140","12","--","--"
"","","Riposo","0","0","0:27.3","24:38","0","0","0","148","152","0","0","5"
"","9","Misto","2","50","1:13.1","25:51","2:26","2:11","49","155","170","25","13","16"
"","9.1","Stile libero","1","25","0:32.6","0:32.6","2:11","2:11","46","153","167","13","--","--"
"","9.2","Dorso","1","25","0:40.5","1:13.1","2:42","2:42","53","154","170","12","--","--"
"","","Riposo","0","0","0:32.1","26:23","0","0","0","147","154","0","0","7"
"","10","Misto","2","50","1:30.5","27:54","3:01","2:31","58","156","164","26","13","16"
"","10.1","Stile libero","1","25","0:37.6","0:37.6","2:31","2:31","52","148","163","14","--","--"
"","10.2","Dorso","1","25","0:52.9","1:30.5","3:31","3:31","65","157","164","12","--","--"
"","","Riposo","0","0","1:11.5","29:05","0","0","0","125","156","0","0","11"
"","11","Rana","2","50","1:46.9","30:52","3:34","3:13","85","139","151","63","32","19"
"","11.1","Rana","1","25","0:48.2","0:48.2","3:13","3:13","77","121","140","29","--","--"
"","11.2","Rana","1","25","0:58.7","1:46.9","3:55","3:55","93","143","151","34","--","--"
"","","Riposo","0","0","5:08.9","36:01","0","0","0","112","142","0","0","27"
"","12","Misto","2","50","1:19.6","37:21","2:39","2:04","57","125","132","34","17","10"
"","12.1","Rana","1","25","0:48.5","0:48.5","3:14","3:14","70","113","127","21","--","--"
"","12.2","Dorso","1","25","0:31.1","1:19.6","2:04","2:04","44","128","131","13","--","--"
"","","Riposo","0","0","1:32.1","38:53","0","0","0","107","126","0","0","6"
"","13","Misto","3","75","1:47.9","40:41","2:24","1:08","51","119","130","45","15","11"
"","13.1","Rana","1","25","0:44.3","0:44.3","2:57","2:57","69","109","129","25","--","--"
"","13.2","Stile libero","1","25","0:17.1","1:01.3","1:08","1:08","22","124","130","5","--","--"
"","13.3","Dorso","1","25","0:46.6","1:47.9","3:06","3:06","62","118","127","15","--","--"
"","","Riposo","0","0","1:26.2","42:07","0","0","0","97","122","0","0","5"
"","14","Stile libero","2","50","1:08.7","43:16","2:17","2:12","47","125","136","25","13","9"
"","14.1","Stile libero","1","25","0:35.8","0:35.8","2:23","2:23","50","105","123","14","--","--"
"","14.2","Stile libero","1","25","0:32.9","1:08.7","2:12","2:12","44","129","136","11","--","--"
"","","Riposo","0","0","0:50.3","44:06","0","0","0","118","131","0","0","5"
"","15","Stile libero","2","50","1:05.2","45:11","2:10","1:58","46","122","137","27","14","7"
"","15.1","Stile libero","1","25","0:29.4","0:29.4","1:58","1:58","41","111","124","12","--","--"
"","15.2","Stile libero","1","25","0:35.8","1:05.2","2:23","2:23","51","120","130","15","--","--"
"","","Riposo","0","0","0:08.9","45:20","0","0","0","136","137","0","0","1"
"","Riepilogo","--","30","750","45:20","45:20","2:29","1:05","51","114","170","410","14","310"
