"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","4:59.5","4:59.5","1.00","4:59","5:01","150","169","1","2","359","4.93","404","5.55","178","248","50.3% S / 49.7% D","1.13","9.7","8.4","57","17.0","4:47","180","4:59.5","4:59","--","--"
"2","5:05.7","10:05","1.00","5:06","5:11","171","174","2","8","346","4.75","368","5.05","175","250","50.6% S / 49.4% D","1.12","10.2","8.9","65","15.0","5:02","179","5:05.7","5:06","--","--"
"3","5:07.2","15:12","1.00","5:07","5:05","174","176","2","0","357","4.90","377","5.18","174","248","50.6% S / 49.4% D","1.12","10.4","9.0","66","14.0","4:54","179","5:07","5:07","--","--"
"4","5:15.6","20:28","1.00","5:16","5:13","174","175","1","0","351","4.82","382","5.25","174","251","50.5% S / 49.5% D","1.10","10.4","9.2","68","13.0","5:05","176","5:15","5:15","--","--"
"5","5:24.5","25:52","1.00","5:25","5:26","173","176","2","0","336","4.62","374","5.14","172","254","50.5% S / 49.5% D","1.07","10.3","9.4","69","13.0","5:20","175","5:24.5","5:25","--","--"
"6","5:25.9","31:18","1.00","5:26","5:26","173","175","0","0","334","4.59","366","5.03","172","255","50.4% S / 49.6% D","1.07","10.2","9.3","69","14.0","5:22","178","5:25.9","5:26","--","--"
"7","5:26.6","36:45","1.00","5:27","5:26","174","176","1","0","338","4.64","361","4.96","171","254","50.4% S / 49.6% D","1.07","10.4","9.4","69","14.0","5:23","174","5:26","5:26","--","--"
"8","5:26.0","42:11","1.00","5:26","5:26","174","176","0","0","344","4.73","369","5.07","171","252","50.5% S / 49.5% D","1.08","10.7","9.6","69","14.0","5:21","177","5:26","5:26","--","--"
"9","5:20.1","47:31","1.00","5:20","5:20","175","177","1","0","347","4.77","372","5.11","171","250","50.3% S / 49.7% D","1.09","10.7","9.6","69","15.0","5:11","175","5:20","5:20","--","--"
"10","5:03.2","52:34","1.00","5:03","5:05","177","179","0","0","365","5.01","400","5.49","173","245","50.5% S / 49.5% D","1.14","10.8","9.3","67","15.0","4:58","192","5:03.2","5:03","--","--"
"11","0:05.2","52:40","0.02","4:11","4:52","179","180","0","3","364","5.00","367","5.04","185","223","51.0% S / 49.0% D","1.30","10.7","8.4","1","15.0","4:38","191","0:04","3:12","--","--"
"Riepilogo","52:40","52:40","10.02","5:15","5:16","172","180","11","13","347","4.77","404","5.55","173","251","50.5% S / 49.5% D","1.10","10.4","9.2","669","14.4","4:38","192","52:37","5:15","--","--"
