"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","1","Corsa","1 - 5","26:17","26:17","4.50","5:50","5:50","158","169","9","3","166","274","1.04","9.2","8.9","293","293","Nessun peso","386","Nessun peso","313","22.0","5:28","170","26:15","5:50"
"","","Corsa","1","5:51.6","5:51.6","1.00","5:52","5:48","135","162","3","1","167","273","1.03","9.1","8.8","295","294","Nessun peso","331","Nessun peso","64","24.0","5:28","170","5:51.6","5:52"
"","","Corsa","2","5:48.2","11:40","1.00","5:48","5:51","164","168","0","0","166","273","1.04","9.2","8.8","292","292","Nessun peso","305","Nessun peso","71","22.0","5:41","169","5:48","5:48"
"","","Corsa","3","5:53.6","17:33","1.00","5:54","5:51","166","169","5","1","165","276","1.03","9.2","8.9","295","294","Nessun peso","386","Nessun peso","72","21.0","5:44","167","5:53.6","5:54"
"","","Corsa","4","5:49.7","23:23","1.00","5:50","5:50","164","167","0","1","166","274","1.04","9.2","8.9","292","291","Nessun peso","303","Nessun peso","71","21.0","5:44","169","5:49.7","5:50"
"","","Corsa","5","2:53.6","26:17","0.50","5:47","5:48","165","167","1","0","166","273","1.04","9.2","8.9","291","291","Nessun peso","306","Nessun peso","35","21.0","5:41","169","2:53","5:46"
"","2","Corsa","6 - 9","18:19","44:35","3.50","5:14","5:14","173","178","10","14","168","262","1.14","9.5","8.3","320","318","Nessun peso","436","Nessun peso","240","22.0","4:56","176","18:18","5:14"
"","","Corsa","6","5:13.6","31:30","1.00","5:14","5:11","173","178","7","8","169","261","1.13","9.4","8.3","328","322","Nessun peso","436","Nessun peso","69","20.0","4:58","176","5:13.6","5:14"
"","","Corsa","7","5:10.7","36:41","1.00","5:11","5:12","174","177","0","3","168","261","1.15","9.6","8.3","316","316","Nessun peso","327","Nessun peso","68","21.0","5:06","170","5:10","5:10"
"","","Corsa","8","5:16.9","41:58","1.00","5:17","5:17","173","178","1","3","168","263","1.14","9.5","8.4","316","314","Nessun peso","337","Nessun peso","69","24.0","4:56","172","5:16.9","5:17"
"","","Corsa","9","2:37.4","44:35","0.50","5:15","5:18","171","178","1","0","167","265","1.13","9.5","8.4","318","321","Nessun peso","338","Nessun peso","34","25.0","5:06","170","2:37.4","5:15"
"","3","Corsa","10 - 12","15:08","59:44","3.00","5:03","5:02","175","181","15","8","169","257","1.17","9.5","8.1","333","335","Nessun peso","463","Nessun peso","203","25.0","4:19","177","15:06","5:02"
"","","Corsa","10","5:08.7","49:44","1.00","5:09","5:09","178","179","0","0","169","260","1.15","9.5","8.2","328","328","Nessun peso","347","Nessun peso","69","24.0","5:03","174","5:08","5:08"
"","","Corsa","11","5:00.4","54:44","1.00","5:00","5:01","174","179","7","6","169","257","1.17","9.5","8.1","334","335","Nessun peso","404","Nessun peso","68","25.0","4:31","174","5:00.4","5:00"
"","","Corsa","12","4:59.3","59:44","1.00","4:59","4:56","174","181","8","1","170","255","1.18","9.5","8.0","335","342","Nessun peso","463","Nessun peso","66","25.0","4:19","177","4:58","4:58"
"","4","Corsa","13 - 16","15:41","1:15:25","3.03","5:11","5:10","173","178","8","7","169","259","1.15","9.4","8.2","317","321","Nessun peso","393","Nessun peso","205","29.0","4:36","174","15:39","5:10"
"","","Corsa","13","5:11.4","1:04:55","1.00","5:11","5:12","173","178","1","1","169","260","1.14","9.4","8.2","315","319","Nessun peso","361","Nessun peso","68","27.0","4:38","172","5:11.4","5:11"
"","","Corsa","14","5:12.5","1:10:08","1.00","5:12","5:12","172","177","1","4","169","260","1.15","9.5","8.3","312","316","Nessun peso","372","Nessun peso","68","29.0","4:51","174","5:10","5:10"
"","","Corsa","15","5:07.7","1:15:15","1.00","5:08","5:06","173","178","6","2","170","258","1.16","9.4","8.1","323","329","Nessun peso","393","Nessun peso","67","31.0","4:36","174","5:07.7","5:08"
"","","Corsa","16","0:09.8","1:15:25","0.03","5:16","5:10","176","177","0","0","168","263","1.14","9.5","8.3","331","334","Nessun peso","335","Nessun peso","2","31.0","5:15","169","0:09","4:49"
"","Riepilogo","--","--","1:15:25","1:15:25","14.03","5:22","5:22","168","181","42","32","168","265","1.11","9.4","8.4","314","313","Nessun peso","463","Nessun peso","962","24.0","4:19","177","1:15:18","5:22"
