"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:50.8","5:50.8","1.00","5:51","5:56","143","157","3","8","280","Nessun peso","374","Nessun peso","164","276","--","1.05","9.4","8.9","65","28.0","4:48","167","5:45","5:45","--","--"
"2","5:57.8","11:49","1.00","5:58","6:00","155","160","3","7","277","Nessun peso","343","Nessun peso","162","277","--","1.03","9.2","9.0","70","27.0","5:12","169","5:57.8","5:58","--","--"
"3","6:15.3","18:04","1.00","6:15","6:12","154","158","8","6","266","Nessun peso","309","Nessun peso","157","280","--","1.00","8.7","8.7","72","28.0","5:16","172","6:15","6:15","--","--"
"4","6:04.3","24:08","1.00","6:04","6:05","155","159","1","6","273","Nessun peso","312","Nessun peso","166","276","--","1.01","9.0","9.0","71","27.0","5:24","172","6:04.3","6:04","--","--"
"5","6:20.4","30:29","1.00","6:20","6:16","156","160","4","0","265","Nessun peso","331","Nessun peso","161","280","--","0.99","8.9","9.0","72","26.0","6:01","167","6:20","6:20","--","--"
"6","6:49.7","37:18","1.00","6:50","6:48","153","163","6","9","237","Nessun peso","319","Nessun peso","149","282","--","0.96","8.4","8.8","72","26.0","5:58","171","6:49.7","6:50","--","--"
"7","6:38.4","43:57","1.00","6:38","6:34","155","161","10","0","265","Nessun peso","334","Nessun peso","158","281","--","0.94","8.5","9.0","72","23.0","6:01","170","6:38","6:38","--","--"
"8","6:55.7","50:52","1.00","6:56","6:50","158","165","0","5","241","Nessun peso","304","Nessun peso","147","280","--","0.98","8.7","8.9","77","22.0","5:57","167","6:36","6:36","--","--"
"9","5:06.8","55:59","1.00","5:07","5:11","168","175","1","5","324","Nessun peso","361","Nessun peso","168","260","--","1.16","9.5","8.3","65","22.0","4:47","172","5:06.8","5:07","--","--"
"10","4:42.5","1:00:42","1.00","4:42","4:43","176","180","1","0","356","Nessun peso","384","Nessun peso","173","246","--","1.22","9.4","7.7","64","21.0","4:28","179","4:42","4:42","--","--"
"11","4:33.6","1:05:15","1.00","4:34","4:21","182","186","7","0","392","Nessun peso","484","Nessun peso","173","240","--","1.30","9.7","7.4","65","21.0","3:50","181","4:33.6","4:34","--","--"
"12","0:03.8","1:05:19","0.01","8:25","4:56","185","185","0","0","354","Nessun peso","373","Nessun peso","166","259","--","1.20","9.8","8.1","1","21.0","4:44","169","0:02","4:23","--","--"
"Riepilogo","1:05:19","1:05:19","11.01","5:56","5:54","158","186","45","45","283","Nessun peso","484","Nessun peso","161","272","--","1.05","9.0","8.7","765","24.8","3:50","181","1:04:50","5:53","--","--"
