"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:47.1","0:47.1","0","0","0","104","109","0","0","6"
"","1","Stile libero","2","50","1:17.8","2:04.9","2:36","1:57","53","126","146","28","14","12"
"","1.1","Stile libero","1","25","0:29.3","0:29.3","1:57","1:57","43","106","118","14","--","--"
"","1.2","Stile libero","1","25","0:48.5","1:17.8","3:14","3:14","63","127","146","14","--","--"
"","","Riposo","0","0","1:59.3","4:04.2","0","0","0","107","140","0","0","13"
"","2","Stile libero","1","25","0:48.5","4:52.7","3:14","3:14","61","122","135","12","12","7"
"","2.1","Stile libero","1","25","0:48.5","0:48.5","3:14","3:14","61","118","125","12","--","--"
"","","Riposo","0","0","0:18.4","5:11.1","0","0","0","127","135","0","0","3"
"","3","Rana","1","25","0:25.7","5:36.8","1:43","1:43","35","127","130","9","9","4"
"","3.1","Rana","1","25","0:25.7","0:25.7","1:43","1:43","35","125","129","9","--","--"
"","","Riposo","0","0","2:30.8","8:07.6","0","0","0","103","130","0","0","14"
"","4","Misto","2","50","0:37.8","8:45.4","1:16","0:54","24","113","116","10","5","5"
"","4.1","Rana","1","25","0:24.3","0:24.3","1:37","1:37","30","111","115","6","--","--"
"","4.2","Stile libero","1","25","0:13.5","0:37.8","0:54","0:54","18","114","116","4","--","--"
"","","Riposo","0","0","3:52.5","12:38","0","0","0","102","116","0","0","20"
"","5","Misto","6","150","2:17.6","14:55","1:32","0:54","32","122","131","52","9","19"
"","5.1","Dorso","1","25","0:13.5","0:13.5","0:54","0:54","21","109","111","7","--","--"
"","5.2","Dorso","1","25","0:18.7","0:32.2","1:15","1:15","28","117","126","9","--","--"
"","5.3","Rana","1","25","0:18.6","0:50.7","1:14","1:14","26","124","127","7","--","--"
"","5.4","Rana","1","25","0:29.6","1:20.4","1:58","1:58","39","123","125","9","--","--"
"","5.5","Dorso","1","25","0:34.9","1:55.2","2:19","2:19","48","116","124","13","--","--"
"","5.6","Dorso","1","25","0:22.3","2:17.6","1:29","1:29","29","129","131","7","--","--"
"","","Riposo","0","0","2:21.6","17:17","0","0","0","119","142","0","0","20"
"","6","Dorso","2","50","0:47.9","18:05","1:36","1:16","28","136","142","9","5","8"
"","6.1","Dorso","1","25","0:29","0:29","1:56","1:56","34","131","133","5","--","--"
"","6.2","Dorso","1","25","0:18.9","0:47.9","1:16","1:16","23","137","139","4","--","--"
"","","Riposo","0","0","3:09.9","21:15","0","0","0","100","142","0","0","14"
"","","Riposo","0","0","0:07.2","21:22","0","0","0","135","136","0","5","1"
"","","Riposo","0","0","1:26.9","22:49","0","0","0","118","140","0","0","11"
"","7","Dorso","1","25","0:39.4","23:28","2:37","2:37","52","127","142","13","13","5"
"","7.1","Dorso","1","25","0:39.4","0:39.4","2:37","2:37","52","115","140","13","--","--"
"","","Riposo","0","0","1:47.6","25:16","0","0","0","108","142","0","0","10"
"","8","Dorso","1","25","0:43.9","26:00","2:55","2:55","56","131","145","12","12","6"
"","8.1","Dorso","1","25","0:43.9","0:43.9","2:55","2:55","56","121","142","12","--","--"
"","","Riposo","0","0","0:09.9","26:10","0","0","0","143","145","0","0","3"
"","","Riposo","0","0","0:08.5","26:18","0","0","0","143","145","0","2","2"
"","","Riposo","0","0","0:21.9","26:40","0","0","0","148","150","0","0","4"
"","9","Dorso","1","25","0:11.1","26:51","0:45","0:45","16","148","149","5","5","2"
"","9.1","Dorso","1","25","0:11.1","0:11.1","0:45","0:45","16","149","150","5","--","--"
"","","Riposo","0","0","2:39.3","29:31","0","0","0","107","148","0","0","13"
"","10","Rana","1","25","0:58.8","30:29","3:55","3:55","73","109","120","14","14","5"
"","10.1","Rana","1","25","0:58.8","0:58.8","3:55","3:55","73","106","119","14","--","--"
"","","Riposo","0","0","0:15.8","30:45","0","0","0","120","123","0","0","2"
"","11","Stile libero","1","25","0:21.6","31:07","1:27","1:27","31","125","128","9","9","3"
"","11.1","Stile libero","1","25","0:21.6","0:21.6","1:27","1:27","31","123","128","9","--","--"
"","","Riposo","0","0","2:06.9","33:14","0","0","0","95","122","0","0","8"
"","12","Misto","2","50","1:04.6","34:18","2:09","2:08","43","117","127","21","11","6"
"","12.1","Dorso","1","25","0:31.9","0:31.9","2:08","2:08","46","109","123","14","--","--"
"","12.2","Rana","1","25","0:32.7","1:04.6","2:11","2:11","40","118","127","7","--","--"
"","","Riposo","0","0","0:16.6","34:35","0","0","0","119","124","0","0","3"
"","13","Misto","2","50","1:08","35:43","2:16","2:15","46","131","139","24","12","10"
"","13.1","Dorso","1","25","0:33.7","0:33.7","2:15","2:15","42","122","133","8","--","--"
"","13.2","Rana","1","25","0:34.3","1:08","2:17","2:17","50","134","139","16","--","--"
"","","Riposo","0","0","0:20.5","36:03","0","0","0","117","127","0","0","3"
"","14","Stile libero","2","50","1:00.2","37:04","2:00","1:48","42","136","150","23","12","14"
"","14.1","Stile libero","1","25","0:33.2","0:33.2","2:13","2:13","46","117","125","13","--","--"
"","14.2","Stile libero","1","25","0:27.1","1:00.2","1:48","1:48","37","137","146","10","--","--"
"","","Riposo","0","0","1:01.1","38:05","0","0","0","129","146","0","0","4"
"","Riepilogo","--","25","625","38:05","38:05","1:59","0:45","39","113","150","241","10","260"
