"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.70","7:12","7:36","143","157","1","7","162","282","0.84","8.0","9.6","259","246","3.15","320","4.10","51","24.0","6:33","176","4:47","6:53"
"","1","Corsa","2 - 6","30:00","35:00","4.52","6:38","6:36","164","170","20","22","172","273","0.88","8.0","9.1","283","281","3.60","364","4.67","363","18.0","6:12","179","30:00","6:38"
"","","Corsa","2","6:36.5","11:37","1.00","6:37","6:37","163","169","1","3","170","275","0.89","8.2","9.1","278","278","3.56","319","4.09","80","21.0","6:12","176","6:36.5","6:37"
"","","Corsa","3","6:33.8","18:10","1.00","6:34","6:30","164","167","2","2","170","274","0.90","8.2","9.1","285","285","3.65","312","4.00","80","19.0","6:19","176","6:33.8","6:34"
"","","Corsa","4","6:36.7","24:47","1.00","6:37","6:34","166","170","4","1","173","271","0.87","7.9","9.1","284","283","3.63","325","4.17","81","17.0","6:15","179","6:36","6:36"
"","","Corsa","5","6:48.9","31:36","1.00","6:49","6:47","163","167","12","13","172","275","0.85","7.9","9.3","286","278","3.56","364","4.67","81","18.0","6:17","179","6:48.9","6:49"
"","","Corsa","6","3:24.0","35:00","0.52","6:31","6:32","166","168","0","2","173","270","0.89","8.0","9.0","280","279","3.58","301","3.86","41","17.0","6:23","176","3:24","6:31"
"","2","Corsa","7 - 8","10:00","45:00","1.53","6:31","6:31","166","172","4","3","170","274","0.90","8.2","9.1","284","284","3.64","314","4.03","122","17.0","6:00","176","9:59","6:30"
"","","Corsa","7","6:38.0","41:38","1.00","6:38","6:37","165","171","2","1","171","275","0.89","8.1","9.1","280","280","3.59","314","4.03","80","17.0","6:26","176","6:38.0","6:38"
"","","Corsa","8","3:22.0","45:00","0.53","6:18","6:21","167","172","2","2","170","273","0.93","8.3","9.0","292","292","3.74","312","4.00","42","17.0","6:00","174","3:22","6:18"
"","","Defaticamento","9 - 10","5:18.8","50:19","0.81","6:36","6:35","167","169","0","0","170","275","0.89","8.2","9.1","279","279","3.58","299","3.83","64","17.0","6:16","176","5:18","6:35"
"","","Defaticamento","9","5:00","50:00","0.76","6:36","6:36","167","169","0","0","170","275","0.89","8.1","9.1","278","278","3.56","299","3.83","60","17.0","6:16","176","4:59","6:35"
"","","Defaticamento","10","0:18.8","50:19","0.05","6:27","6:25","168","169","0","0","170","274","0.91","8.3","9.1","288","290","3.72","293","3.76","4","17.0","6:26","172","0:18.8","6:27"
"","Riepilogo","--","--","50:19","50:19","7.56","6:40","6:39","163","172","26","33","170","274","0.88","8.1","9.2","281","278","3.56","364","4.67","601","18.6","6:00","179","50:06","6:38"
