"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","7:27.6","7:27.6","1.00","7:28","7:14","135","145","9","0","250","3.62","298","4.32","165","278","50.3% S / 49.7% D","0.81","8.7","10.6","70","19.0","6:52","231","7:27.6","7:28","--","--"
"2","7:06.7","14:34","1.00","7:07","7:12","143","148","0","7","244","3.54","270","3.91","166","281","50.3% S / 49.7% D","0.85","9.0","10.4","69","15.0","6:54","172","7:06.7","7:07","--","--"
"3","7:04.5","21:39","1.00","7:04","7:04","144","149","6","10","250","3.62","345","5.00","164","289","50.8% S / 49.2% D","0.86","9.1","10.3","71","15.0","6:17","168","7:04.5","7:04","--","--"
"4","6:52.6","28:31","1.00","6:53","6:52","144","148","6","0","255","3.70","279","4.04","166","283","50.4% S / 49.6% D","0.87","9.1","10.2","70","14.0","6:31","169","6:52","6:52","--","--"
"5","6:41.3","35:13","1.00","6:41","6:50","145","149","0","15","247","3.58","277","4.01","166","280","50.0% S / 50.0% D","0.90","9.3","10.1","68","13.0","6:13","180","6:41.3","6:41","--","--"
"6","6:45.2","41:58","1.00","6:45","6:40","147","154","11","2","266","3.86","346","5.01","165","281","50.0% S / 50.0% D","0.89","9.3","10.2","71","13.0","6:13","170","6:45","6:45","--","--"
"7","5:52.6","47:51","1.00","5:53","5:46","152","155","7","1","295","4.28","335","4.86","172","253","49.0% S / 51.0% D","0.99","9.4","9.3","70","12.0","5:34","179","5:52","5:52","--","--"
"8","6:10.4","54:01","1.00","6:10","6:12","149","156","3","5","276","4.00","329","4.77","170","263","49.1% S / 50.9% D","0.95","9.3","9.6","68","12.0","5:18","176","6:10.4","6:10","--","--"
"9","6:03.4","1:00:04","1.00","6:03","6:00","151","158","3","2","285","4.13","355","5.14","169","268","49.8% S / 50.2% D","0.98","9.3","9.3","68","12.0","4:46","190","6:03","6:03","--","--"
"10","7:35.9","1:07:40","1.00","7:36","7:39","140","153","1","2","229","3.32","277","4.01","157","300","50.3% S / 49.7% D","0.84","9.0","10.6","66","12.0","6:16","171","7:35.9","7:36","--","--"
"11","6:37.0","1:14:17","1.00","6:37","6:43","143","150","4","8","258","3.74","333","4.83","166","278","50.1% S / 49.9% D","0.91","9.3","10.0","64","13.0","6:16","171","6:37","6:37","--","--"
"12","6:38.0","1:20:55","1.00","6:38","6:39","142","146","3","2","260","3.77","303","4.39","166","278","50.1% S / 49.9% D","0.91","9.2","10.0","65","13.0","6:23","170","6:38","6:38","--","--"
"13","6:36.2","1:27:31","1.00","6:36","6:31","144","152","8","6","271","3.93","394","5.71","166","277","50.1% S / 49.9% D","0.92","9.4","10.0","66","14.0","5:54","171","6:36","6:36","--","--"
"14","6:36.7","1:34:08","1.00","6:37","6:30","144","151","11","3","276","4.00","386","5.59","167","277","50.3% S / 49.7% D","0.91","9.3","10.1","67","14.0","6:13","170","6:36.7","6:37","--","--"
"15","6:35.4","1:40:44","1.00","6:35","6:37","144","148","1","6","265","3.84","301","4.36","165","279","50.2% S / 49.8% D","0.92","9.6","10.1","64","13.0","6:07","171","6:35","6:35","--","--"
"16","6:50.1","1:47:34","1.00","6:50","6:51","142","145","4","3","262","3.80","315","4.57","165","281","50.6% S / 49.4% D","0.89","9.5","10.4","66","13.0","6:43","169","6:50","6:50","--","--"
"17","7:34.8","1:55:08","1.00","7:35","7:28","141","146","4","5","240","3.48","315","4.57","154","287","49.9% S / 50.1% D","0.88","9.2","10.3","68","14.0","6:33","185","7:06","7:06","--","--"
"18","6:49.6","2:01:58","1.00","6:50","6:47","145","149","2","3","260","3.77","337","4.88","163","280","50.0% S / 50.0% D","0.90","9.6","10.5","66","14.0","5:32","181","6:49.6","6:50","--","--"
