"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","15:00","15:00","1.70","8:50","8:47","150","162","18","19","146","309","0.79","7.6","9.9","231","215","2.70","326","4.09","189","7:27","176","14:48","8:43"
"","","Riscaldamento","1","8:55.9","8:55.9","1.00","8:56","8:38","147","162","18","1","145","309","0.78","7.5","9.8","242","222","2.79","326","4.09","107","7:27","176","8:46","8:46"
"","","Riscaldamento","2","6:04.1","15:00","0.70","8:41","8:53","153","161","0","18","147","307","0.79","7.8","9.9","215","204","2.56","254","3.19","82","7:46","161","6:04","8:41"
"","1","Corsa","3","1:00","16:00","0.21","4:46","5:23","150","160","0","4","162","244","1.14","8.5","7.6","289","315","3.95","401","5.03","13","4:23","186","0:58","4:36"
"","2","Corsa","4","1:00","17:00","0.10","10:08","8:18","167","176","0","3","127","257","0.96","6.6","6.9","290","180","2.26","384","4.82","13","5:04","177","0:59","9:57"
"","3","Corsa","5","1:00","18:00","0.22","4:34","4:58","163","174","0","4","171","236","1.21","8.7","7.2","339","356","4.47","459","5.76","15","4:08","181","0:59","4:30"
"","4","Corsa","6","1:00","19:00","0.10","10:06","9:23","169","175","0","1","122","254","0.86","6.4","7.5","272","157","1.97","373","4.68","14","4:38","174","0:59","9:56"
"","5","Corsa","7","1:00","20:00","0.22","4:28","5:29","163","174","0","0","175","253","1.04","8.2","8.1","310","341","4.28","440","5.52","15","4:25","183","0:59","4:23"
"","6","Corsa","8","1:00","21:00","0.10","10:04","8:38","172","178","1","0","113","251","0.91","6.7","7.4","302","184","2.31","455","5.71","15","4:41","174","0:57","9:34"
"","7","Corsa","9","1:00","22:00","0.22","4:36","4:44","172","181","0","2","172","231","1.23","8.6","7.0","353","377","4.73","433","5.44","16","4:12","188","0:59","4:31"
"","8","Corsa","10","1:00","23:00","0.11","9:27","8:32","173","180","0","0","119","255","0.92","6.6","7.2","285","165","2.07","380","4.77","14","4:38","172","0:59","9:17"
"","9","Corsa","11","1:00","24:00","0.22","4:29","4:55","172","179","2","0","175","243","1.12","8.4","7.6","363","397","4.98","461","5.79","16","4:15","189","0:59","4:25"
"","10","Corsa","12","1:00","25:00","0.10","10:11","8:26","176","181","0","0","109","249","0.93","6.5","7.2","315","158","1.98","449","5.64","15","4:20","176","0:59","10:00"
"","11","Corsa","13","1:00","26:00","0.22","4:29","4:35","173","181","0","1","172","233","1.27","9.0","7.2","375","400","5.02","503","6.32","16","3:50","184","0:59","4:24"
"","12","Corsa","14","1:00","27:00","0.10","10:31","8:56","175","181","0","0","123","248","0.88","6.5","7.4","307","168","2.11","425","5.34","15","4:19","176","0:59","10:20"
"","13","Corsa","15","1:00","28:00","0.22","4:37","5:38","174","183","1","1","165","254","1.04","8.3","8.1","306","327","4.11","445","5.59","15","4:35","179","0:59","4:33"
"","14","Corsa","16","1:00","29:00","0.09","11:04","9:24","175","182","1","1","109","248","0.87","6.4","7.3","301","152","1.91","475","5.96","15","4:39","177","0:59","10:52"
"","15","Corsa","17","1:00","30:00","0.22","4:36","5:25","174","180","0","2","166","250","1.12","8.6","7.8","329","352","4.42","453","5.69","15","4:14","176","0:59","4:32"
"","16","Corsa","18","1:00","31:00","0.09","11:10","9:08","176","181","0","0","102","254","0.90","6.6","7.4","316","152","1.91","451","5.66","15","4:16","176","0:59","10:59"
"","17","Corsa","19","1:00","32:00","0.21","4:46","5:28","174","178","1","0","162","260","1.11","8.9","8.1","327","351","4.41","425","5.34","15","4:24","171","0:59","4:41"
"","18","Corsa","20","1:00","33:00","0.09","11:16","9:58","175","180","0","2","119","266","0.83","6.5","7.8","293","150","1.88","424","5.32","14","4:23","167","0:59","11:05"
"","","Defaticamento","21 - 23","15:08","48:08","1.98","7:39","7:37","168","177","8","6","152","289","0.85","7.8","9.1","259","243","3.05","396","4.97","207","6:06","236","15:08","7:39"
"","","Defaticamento","21","7:59.5","41:00","1.00","8:00","7:59","164","176","6","3","143","285","0.86","7.4","8.6","252","222","2.79","348","4.37","105","6:06","236","7:59.5","8:00"
"","","Defaticamento","22","7:00.5","48:00","0.97","7:15","7:15","173","177","2","2","162","291","0.85","8.3","9.8","266","266","3.34","396","4.97","100","6:15","171","7:00","7:15"
"","","Defaticamento","23","0:07.5","48:08","0.01","11:24","7:28","173","173","0","0","163","293","0.82","8.2","9.9","254","264","3.31","267","3.35","2","7:21","163","0:07","10:35"
"","Riepilogo","--","--","48:08","48:08","6.50","7:24","7:27","163","183","33","45","146","284","0.89","7.7","8.8","281","240","3.01","503","6.32","661","3:50","236","47:54","7:22"
