"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","1","Corsa","1 - 2","12:15","12:15","2.00","6:07","6:11","157","166","4","14","173","264","50.9% S / 49.1% D","0.95","8.9","9.2","287","286","3.93","348","4.78","140","20.0","5:13","179","12:13","6:07"
"","","Corsa","1","6:12.4","6:12.4","1.00","6:12","6:19","153","161","0","7","173","267","51.0% S / 49.0% D","0.94","8.8","9.1","279","280","3.85","348","4.78","69","21.0","5:13","179","6:12.4","6:12"
"","","Corsa","2","6:02.2","12:15","1.00","6:02","6:04","162","166","4","7","174","262","50.8% S / 49.3% D","0.96","9.0","9.2","294","293","4.02","343","4.71","71","19.0","5:49","177","6:02","6:02"
"","2","Corsa","3 - 6","23:01","35:15","4.00","5:45","5:44","167","175","14","14","175","255","50.5% S / 49.5% D","1.00","9.4","9.2","318","315","4.33","448","6.15","282","16.0","5:12","181","23:00","5:45"
"","","Corsa","3","5:41.9","17:56","1.00","5:42","5:41","165","168","1","0","175","254","50.5% S / 49.5% D","1.00","9.3","9.1","323","322","4.42","406","5.58","70","17.0","5:12","181","5:41.9","5:42"
"","","Corsa","4","5:42.3","23:39","1.00","5:42","5:43","167","170","2","3","175","256","50.6% S / 49.4% D","1.00","9.3","9.0","312","312","4.29","341","4.68","70","16.0","5:36","178","5:42","5:42"
"","","Corsa","5","5:47.4","29:26","1.00","5:47","5:47","168","170","1","1","174","255","50.4% S / 49.6% D","0.99","9.5","9.3","308","307","4.22","359","4.93","71","16.0","5:34","177","5:47.4","5:47"
"","","Corsa","6","5:49.1","35:15","1.00","5:49","5:44","169","175","10","9","174","256","50.6% S / 49.4% D","0.99","9.5","9.3","327","320","4.40","448","6.15","72","16.0","5:29","178","5:49","5:49"
"","3","Corsa","7 - 10","21:50","57:05","4.00","5:27","5:28","166","173","8","5","177","249","50.1% S / 49.9% D","1.04","9.5","9.0","326","329","4.52","394","5.41","271","17.0","5:01","182","21:49","5:27"
"","","Corsa","7","5:26.4","40:42","1.00","5:26","5:24","167","172","4","0","178","248","50.7% S / 49.3% D","1.04","9.5","9.0","329","332","4.56","360","4.95","68","16.0","5:05","181","5:26.4","5:26"
"","","Corsa","8","5:21.9","46:04","1.00","5:22","5:26","170","172","0","4","177","248","50.0% S / 50.0% D","1.05","9.7","8.9","335","335","4.60","385","5.29","67","16.0","5:16","182","5:21","5:21"
"","","Corsa","9","5:29.4","51:33","1.00","5:29","5:28","163","173","2","1","177","249","49.8% S / 50.2% D","1.03","9.4","8.8","321","324","4.45","394","5.41","68","18.0","5:01","180","5:29.4","5:29"
"","","Corsa","10","5:32.2","57:05","1.00","5:32","5:32","163","168","1","0","175","251","50.0% S / 50.0% D","1.03","9.6","9.2","320","325","4.46","374","5.14","68","18.0","5:11","180","5:32","5:32"
"","4","Corsa","11 - 13","12:02","1:09:08","2.04","5:54","5:54","164","168","8","6","173","258","50.1% S / 49.9% D","0.98","9.6","9.5","307","308","4.23","366","5.03","142","19.0","5:31","177","12:01","5:53"
"","","Corsa","11","5:58.1","1:03:03","1.00","5:58","5:57","164","168","3","2","173","259","50.1% S / 49.9% D","0.98","9.5","9.5","302","304","4.18","362","4.97","70","19.0","5:31","177","5:57","5:57"
"","","Corsa","12","5:49.8","1:08:53","1.00","5:50","5:52","165","168","3","3","173","257","50.2% S / 49.8% D","0.99","9.7","9.5","310","311","4.27","352","4.84","69","19.0","5:39","176","5:49.8","5:50"
"","","Corsa","13","0:14.6","1:09:08","0.04","5:52","5:28","167","168","1","0","174","260","50.5% S / 49.5% D","0.99","9.0","8.9","342","350","4.81","366","5.03","3","19.0","5:40","176","0:14","5:37"
"","Riepilogo","--","--","1:09:08","1:09:08","12.04","5:44","5:45","164","175","34","39","175","255","50.4% S / 49.6% D","1.00","9.4","9.2","314","313","4.30","448","6.15","835","17.6","5:01","182","1:09:04","5:44"
