"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:04.3","6:04.3","1.00","6:04","6:09","152","163","2","8","289","3.97","375","5.15","169","268","51.6% S / 48.4% D","0.97","9.3","9.3","69","18.0","5:55","173","6:04.3","6:04","--","--"
"2","6:00.9","12:05","1.00","6:01","6:04","163","165","3","10","292","4.01","344","4.73","170","267","51.4% S / 48.6% D","0.98","9.3","9.3","71","15.0","5:46","173","6:00.9","6:01","--","--"
"3","5:56.5","18:02","1.00","5:57","5:59","163","166","3","4","302","4.15","343","4.71","171","263","51.3% S / 48.8% D","0.98","9.4","9.4","71","13.0","5:47","175","5:56.5","5:57","--","--"
"4","5:59.5","24:01","1.00","6:00","5:57","165","167","5","2","308","4.23","348","4.78","171","261","50.9% S / 49.1% D","0.98","9.6","9.6","72","13.0","5:48","173","5:59","5:59","--","--"
"5","6:05.3","30:07","1.00","6:05","6:03","165","170","5","0","302","4.15","368","5.05","171","261","50.7% S / 49.3% D","0.96","9.4","9.6","72","12.0","6:02","174","6:05","6:05","--","--"
"6","6:02.0","36:09","1.00","6:02","6:01","166","170","2","2","300","4.12","429","5.89","172","259","50.6% S / 49.4% D","0.97","9.4","9.5","72","13.0","5:52","174","6:02","6:02","--","--"
"7","0:08.8","36:17","0.02","7:16","5:54","170","170","1","0","319","4.38","327","4.49","170","267","50.6% S / 49.4% D","0.92","8.9","9.4","2","13.0","6:06","172","0:08","6:38","--","--"
"Riepilogo","36:17","36:17","6.02","6:02","6:02","162","170","22","27","299","4.11","429","5.89","171","263","51.1% S / 48.9% D","0.97","9.4","9.5","430","14.0","5:46","175","36:16","6:01","--","--"
