"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","19:01","19:01","3.00","6:20","6:21","146","154","18","11","173","273","50.5% S / 49.5% D","0.92","8.5","9.2","290","290","4.20","375","5.43","212","22.0","5:06","182","18:59","6:20"
"","","Riscaldamento","1","6:09.3","6:09.3","1.00","6:09","6:09","139","150","4","5","172","270","50.3% S / 49.8% D","0.95","8.8","9.2","292","294","4.26","354","5.13","68","25.0","5:06","182","6:09","6:09"
"","","Riscaldamento","2","6:21.0","12:30","1.00","6:21","6:22","149","154","8","4","174","272","50.5% S / 49.5% D","0.90","8.3","9.0","290","288","4.17","375","5.43","72","22.0","5:36","177","6:21.0","6:21"
"","","Riscaldamento","3","6:30.6","19:01","1.00","6:31","6:31","149","154","5","2","172","276","50.6% S / 49.4% D","0.89","8.5","9.4","290","289","4.19","352","5.10","72","20.0","6:16","181","6:30.6","6:31"
"","1","Corsa","4","1:46.2","20:47","0.40","4:25","4:33","167","171","3","1","180","246","50.7% S / 49.3% D","1.22","9.2","7.4","403","414","6.00","512","7.42","25","20.0","4:19","183","1:45","4:23"
"","","Recupero","5","1:30","22:17","0.22","6:47","6:16","162","171","0","1","169","281","50.5% S / 49.5% D","0.96","8.9","9.1","332","293","4.25","443","6.42","18","20.0","4:23","180","1:28","6:38"
"","2","Corsa","6","1:42.4","23:59","0.40","4:16","4:29","168","173","2","2","181","243","51.1% S / 48.9% D","1.24","9.4","7.4","400","414","6.00","454","6.58","24","20.0","4:17","188","1:42","4:15"
"","","Recupero","7","1:30","25:29","0.22","6:51","5:56","165","173","3","1","166","283","50.8% S / 49.2% D","0.97","9.2","9.3","344","300","4.35","456","6.61","18","20.0","4:19","179","1:28","6:42"
"","3","Corsa","8","1:39.8","27:09","0.40","4:10","4:23","169","174","2","1","184","238","51.2% S / 48.8% D","1.22","9.1","7.4","417","428","6.20","474","6.87","24","20.0","4:02","193","1:39.8","4:10"
"","","Recupero","9","1:30","28:39","0.22","6:47","6:16","166","174","0","1","166","282","50.8% S / 49.2% D","0.97","9.5","9.5","330","290","4.20","428","6.20","18","20.0","4:23","178","1:28","6:38"
