"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:51.2","5:51.2","1.00","5:51","5:42","147","163","4","0","295","Nessun peso","359","Nessun peso","160","277","--","1.08","9.4","8.8","65","31.0","5:00","169","5:46","5:46","--","--"
"2","5:38.6","11:30","1.00","5:39","5:40","163","167","3","6","301","Nessun peso","373","Nessun peso","163","274","--","1.09","9.5","8.8","70","29.0","5:27","167","5:38","5:38","--","--"
"3","5:35.3","17:05","1.00","5:35","5:31","164","169","5","0","315","Nessun peso","391","Nessun peso","163","273","--","1.10","9.6","8.7","70","28.0","5:29","167","5:35.3","5:35","--","--"
"4","5:42.1","22:47","1.00","5:42","5:44","165","168","0","2","294","Nessun peso","310","Nessun peso","163","276","--","1.08","9.5","8.8","71","27.0","5:31","167","5:42","5:42","--","--"
"5","5:32.9","28:20","1.00","5:33","5:35","168","170","3","5","304","Nessun peso","346","Nessun peso","164","272","--","1.10","9.6","8.7","70","27.0","5:27","167","5:32.9","5:33","--","--"
"6","5:35.3","33:55","1.00","5:35","5:37","169","172","3","4","302","Nessun peso","331","Nessun peso","164","272","--","1.09","9.5","8.7","70","27.0","5:27","169","5:35","5:35","--","--"
"7","5:34.6","39:30","1.00","5:35","5:33","170","172","1","0","304","Nessun peso","326","Nessun peso","164","272","--","1.09","9.5","8.7","70","27.0","5:24","167","5:34","5:34","--","--"
"8","0:08.4","39:38","0.03","5:26","5:46","170","170","0","0","288","Nessun peso","289","Nessun peso","162","276","--","1.07","9.4","8.9","2","27.0","5:45","163","0:08","5:12","--","--"
"Riepilogo","39:38","39:38","7.03","5:39","5:37","164","172","19","16","302","Nessun peso","391","Nessun peso","163","274","--","1.09","9.5","8.8","489","28.0","5:00","169","39:31","5:38","--","--"
