"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:48.0","5:48.0","1.00","5:48","5:48","139","149","0","5","271","Nessun peso","290","Nessun peso","174","259","--","0.99","8.5","8.5","66","26.0","5:29","179","5:46","5:46","--","--"
"2","5:39.8","11:28","1.00","5:40","5:43","152","155","3","7","289","Nessun peso","333","Nessun peso","174","260","--","1.01","8.6","8.5","69","24.0","5:33","177","5:39.8","5:40","--","--"
"3","5:36.2","17:04","1.00","5:36","5:43","154","157","4","15","281","Nessun peso","426","Nessun peso","173","261","--","1.03","8.8","8.5","70","23.0","5:23","177","5:36","5:36","--","--"
"4","5:41.3","22:45","1.00","5:41","5:45","152","154","2","7","261","Nessun peso","317","Nessun peso","172","263","--","1.02","8.8","8.6","68","22.0","5:12","176","5:41","5:41","--","--"
"5","5:31.4","28:17","1.00","5:31","5:28","153","157","8","0","307","Nessun peso","354","Nessun peso","173","260","--","1.04","8.8","8.5","69","21.0","5:02","176","5:31.4","5:31","--","--"
"6","5:34.5","33:51","1.00","5:34","5:33","154","157","3","0","285","Nessun peso","318","Nessun peso","172","261","--","1.04","8.8","8.5","68","20.0","5:14","176","5:34","5:34","--","--"
"7","5:36.6","39:28","1.00","5:37","5:37","153","157","2","1","280","Nessun peso","320","Nessun peso","172","262","--","1.03","8.8","8.6","69","19.0","5:26","177","5:36.6","5:37","--","--"
"8","5:33.8","45:02","1.00","5:34","5:34","152","156","2","0","304","Nessun peso","322","Nessun peso","172","262","--","1.04","8.9","8.5","67","19.0","5:26","175","5:33.8","5:34","--","--"
"9","5:35.8","50:37","1.00","5:36","5:34","154","157","1","1","277","Nessun peso","316","Nessun peso","172","261","--","1.05","8.9","8.5","68","19.0","5:08","175","5:35","5:35","--","--"
"10","5:32.7","56:10","1.00","5:33","5:34","153","156","3","2","292","Nessun peso","330","Nessun peso","172","262","--","1.05","8.9","8.5","67","18.0","5:28","176","5:32.7","5:33","--","--"
"11","5:38.6","1:01:49","1.00","5:39","5:37","151","153","1","0","293","Nessun peso","318","Nessun peso","171","264","--","1.04","9.0","8.6","67","18.0","5:26","175","5:38.6","5:39","--","--"
"12","5:39.0","1:07:28","1.00","5:39","5:37","151","154","4","0","284","Nessun peso","323","Nessun peso","171","264","--","1.04","8.9","8.6","67","18.0","5:19","176","5:39","5:39","--","--"
"13","5:23.2","1:12:51","1.00","5:23","5:28","152","155","0","4","291","Nessun peso","318","Nessun peso","172","258","--","1.07","8.9","8.4","65","18.0","5:05","179","5:23","5:23","--","--"
"14","5:17.2","1:18:08","1.00","5:17","5:16","155","157","1","1","294","Nessun peso","315","Nessun peso","175","253","--","1.08","8.8","8.1","65","18.0","5:12","179","5:17","5:17","--","--"
"15","5:25.2","1:23:33","1.00","5:25","5:24","156","158","1","0","287","Nessun peso","319","Nessun peso","172","259","--","1.07","9.0","8.4","67","18.0","5:14","176","5:25","5:25","--","--"
"16","5:28.1","1:29:01","1.00","5:28","5:24","157","161","4","1","293","Nessun peso","333","Nessun peso","171","261","--","1.08","9.1","8.4","69","18.0","4:48","179","5:28.1","5:28","--","--"
"17","0:28.5","1:29:30","0.09","5:30","5:14","159","161","3","0","330","Nessun peso","351","Nessun peso","170","263","--","1.08","9.2","8.5","6","17.0","5:26","172","0:27","5:13","--","--"
"Riepilogo","1:29:30","1:29:30","16.09","5:34","5:34","152","161","43","44","287","Nessun peso","426","Nessun peso","172","261","--","1.04","8.9","8.5","1,086","20.0","4:48","179","1:29:24","5:33","--","--"
