Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
1,MIXED,4,100.0,00:02:46.435,2:46,2:16,56.0,105.0,116.0,57,14.300000190734863,19
1.1,BREASTSTROKE,1,25.0,00:00:46.437,3:06,3:06,65.0,95.0,113.0,19,--,--
1.2,FREESTYLE,1,25.0,00:00:34.062,2:16,2:16,45.0,112.0,116.0,11,--,--
1.3,BACKSTROKE,1,25.0,00:00:36.187,2:25,2:25,47.0,105.0,115.0,11,--,--
1.4,FREESTYLE,1,25.0,00:00:49.749,3:19,3:19,66.0,108.0,111.0,16,--,--
REST,,,0.0,00:00:38.938,--,--,0.0,116.0,127.0,0,0.0,5
2,FREESTYLE,1,25.0,00:00:25.812,1:43,1:43,37.0,120.0,125.0,11,11.0,5
2.1,FREESTYLE,1,25.0,00:00:25.812,1:43,1:43,37.0,116.0,120.0,11,--,--
REST,,,0.0,00:00:26.750,--,--,0.0,114.0,118.0,0,0.0,3
3,BREASTSTROKE,1,25.0,00:00:41.251,2:45,2:45,57.0,134.0,140.0,16,16.0,8
3.1,BREASTSTROKE,1,25.0,00:00:41.251,2:45,2:45,57.0,126.0,140.0,16,--,--
REST,,,0.0,00:00:43.000,--,--,0.0,114.0,129.0,0,0.0,5
4,MIXED,2,50.0,00:00:44.313,1:29,1:02,31.0,105.0,108.0,17,8.5,4
4.1,BREASTSTROKE,1,25.0,00:00:15.500,1:02,1:02,23.0,98.0,102.0,7,--,--
4.2,FREESTYLE,1,25.0,00:00:28.813,1:55,1:55,39.0,106.0,108.0,10,--,--
REST,,,0.0,00:00:12.125,--,--,0.0,102.0,104.0,0,0.0,1
5,MIXED,2,50.0,00:00:56.437,1:53,0:,35.0,104.0,120.0,14,7.0,7
5.1,BREASTSTROKE,1,25.0,00:00:42.187,2:49,2:49,50.0,99.0,102.0,8,--,--
5.2,FREESTYLE,1,25.0,00:00:14.250,0:,0:,20.0,99.0,104.0,6,--,--
REST,,,0.0,00:00:33.563,--,--,0.0,107.0,109.0,0,0.0,2
6,BACKSTROKE,2,50.0,00:00:38.562,1:17,0:,25.0,120.0,152.0,11,5.5,5
6.1,BACKSTROKE,1,25.0,00:00:24.062,1:36,1:36,31.0,108.0,112.0,7,--,--
6.2,BACKSTROKE,1,25.0,00:00:14.500,0:,0:,19.0,115.0,119.0,4,--,--
REST,,,0.0,00:00:27.125,--,--,0.0,151.0,153.0,0,0.0,3
7,MIXED,3,75.0,00:01:12.063,1:36,0:,33.0,149.0,159.0,26,8.699999809265137,18
7.1,FREESTYLE,1,25.0,00:00:24.375,1:37,1:37,38.0,156.0,159.0,14,--,--
7.2,BACKSTROKE,1,25.0,00:00:34.187,2:17,2:17,42.0,145.0,157.0,8,--,--
7.3,BACKSTROKE,1,25.0,00:00:13.501,0:,0:,18.0,144.0,148.0,4,--,--
REST,,,0.0,00:00:24.187,--,--,0.0,148.0,153.0,0,0.0,4
8,MIXED,3,75.0,00:01:40.813,2:14,1:36,43.0,146.0,156.0,28,9.300000190734863,19
8.1,FREESTYLE,1,25.0,00:00:24.062,1:36,1:36,33.0,147.0,152.0,9,--,--
8.2,BREASTSTROKE,1,25.0,00:00:34.750,2:19,2:19,45.0,148.0,156.0,10,--,--
8.3,BACKSTROKE,1,25.0,00:00:42.001,2:48,2:48,51.0,142.0,149.0,9,--,--
REST,,,0.0,00:01:04.125,--,--,0.0,118.0,150.0,0,0.0,9
9,BREASTSTROKE,3,75.0,00:02:30.313,3:20,3:08,70.0,108.0,115.0,60,20.0,13
9.1,BREASTSTROKE,1,25.0,00:00:47.062,3:08,3:08,69.0,106.0,110.0,22,--,--
9.2,BREASTSTROKE,1,25.0,00:00:55.187,3:41,3:41,78.0,109.0,115.0,23,--,--
9.3,BREASTSTROKE,1,25.0,00:00:48.064,3:12,3:12,63.0,109.0,112.0,15,--,--
REST,,,0.0,00:00:13.250,--,--,0.0,107.0,111.0,0,0.0,1
10,BREASTSTROKE,4,100.0,00:02:44.624,2:45,0:,57.0,112.0,118.0,62,15.5,16
10.1,BREASTSTROKE,1,25.0,00:00:30.875,2:03,2:03,43.0,111.0,114.0,12,--,--
