Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:08.042,00:06:08.042,1,0,18,0:06:08  ,0:06:08  ,0:05:07  ,174.140625,187.0,93.7,138.0,152.0,29,68
2,00:06:04.412,00:06:04.000,1,0,6,0:06:04  ,0:06:04  ,0:05:45  ,175.65625,178.0,94.30999755859375,151.0,154.0,28,72
3,00:05:17.823,00:05:17.823,1,0,7,0:05:17  ,0:05:17  ,0:05:06  ,179.578125,183.0,104.5199951171875,160.0,163.0,28,69
4,00:05:54.696,00:05:54.000,1,10,0,0:05:54  ,0:05:54  ,0:05:07  ,176.671875,183.0,95.69000244140625,153.0,163.0,28,71
5,00:05:13.375,00:05:13.375,1,7,1,0:05:13  ,0:05:13  ,0:05:07  ,179.203125,183.0,106.69000244140625,164.0,168.0,28,70
6,00:05:53.168,00:05:53.000,1,0,39,0:05:53  ,0:05:53  ,0:05:12  ,174.921875,178.0,97.25999755859375,163.0,167.0,28,73
7,00:05:10.431,00:05:10.000,1,15,28,0:05:10  ,0:05:10  ,0:04:46  ,177.265625,182.0,108.80000000000001,170.0,172.0,28,71
8,00:05:52.785,00:05:52.785,1,4,1,0:05:52  ,0:05:52  ,0:04:55  ,174.40625,178.0,97.85999755859376,163.0,171.0,28,74
9,00:05:13.179,00:05:13.000,1,4,0,0:05:13  ,0:05:13  ,0:05:05  ,175.546875,180.0,108.5699951171875,172.0,174.0,28,72
10,00:05:59.191,00:05:59.000,1,13,11,0:05:59  ,0:05:59  ,0:05:08  ,172.765625,176.0,96.45,163.0,172.0,29,74
11,00:00:03.785,00:00:02.000,0.01,0,0,0:04:12  ,0:02:13  ,0:05:46  ,173.328125,174.0,98.52999877929688,169.0,170.0,28,1
Summary,00:56:50.887,00:56:47.025,10.01,53,111,0:05:40  ,0:05:40  ,0:04:46  ,175.90625,187.0,100.00999755859375,159.0,174.0,28.21,716
