Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:18.117,00:06:18.117,1,7,5,0:06:18  ,0:06:18  ,0:05:42  ,174.09375,177.0,91.04000244140626,135.0,143.0,27,69
2,00:06:09.917,00:06:09.917,1,0,3,0:06:09  ,0:06:09  ,0:06:00  ,174.609375,177.0,92.59000244140626,142.0,145.0,26,70
3,00:06:08.681,00:06:08.000,1,0,1,0:06:08  ,0:06:08  ,0:05:53  ,175.203125,178.0,93.07000122070313,142.0,144.0,26,70
4,00:06:11.679,00:06:11.679,1,2,1,0:06:11  ,0:06:11  ,0:06:05  ,175.4375,177.0,91.75999755859375,142.0,145.0,26,70
5,00:06:11.822,00:06:11.822,1,1,1,0:06:11  ,0:06:11  ,0:05:58  ,175.171875,177.0,92.10999755859376,143.0,145.0,26,70
6,00:06:11.136,00:06:11.000,1,1,5,0:06:11  ,0:06:11  ,0:06:00  ,174.5,177.0,92.85999755859376,143.0,146.0,26,69
7,00:06:09.228,00:06:09.000,1,0,35,0:06:09  ,0:06:09  ,0:05:18  ,174.125,176.0,93.32999877929689,145.0,148.0,25,68
8,00:06:16.713,00:06:16.713,1,3,4,0:06:16  ,0:06:16  ,0:05:13  ,173.375,191.0,91.47000122070312,145.0,148.0,25,68
9,00:06:14.879,00:06:14.879,1,4,0,0:06:14  ,0:06:14  ,0:05:51  ,173.875,177.0,92.40999755859376,146.0,152.0,25,70
10,00:06:15.101,00:06:15.000,1,8,0,0:06:15  ,0:06:15  ,0:05:37  ,173.328125,175.0,92.27000122070314,147.0,150.0,25,70
11,00:06:25.279,00:06:21.000,1,6,0,0:06:25  ,0:06:21  ,0:05:42  ,170.4375,190.0,92.27000122070314,147.0,150.0,26,72
12,00:06:21.094,00:06:21.000,1,4,0,0:06:21  ,0:06:21  ,0:05:43  ,172.765625,176.0,91.82999877929689,148.0,150.0,26,72
13,00:06:23.429,00:06:23.429,1,3,0,0:06:23  ,0:06:23  ,0:06:06  ,171.921875,175.0,91.44000244140625,146.0,148.0,26,69
14,00:06:18.067,00:06:18.000,1,3,6,0:06:18  ,0:06:18  ,0:05:55  ,170.703125,173.0,92.84000244140626,146.0,148.0,27,66
15,00:06:29.519,00:06:29.000,1,17,1,0:06:29  ,0:06:29  ,0:06:09  ,170.625,178.0,90.17000122070313,148.0,155.0,27,71
16,00:06:15.283,00:06:15.000,1,3,0,0:06:15  ,0:06:15  ,0:06:05  ,171.546875,174.0,92.89000244140625,148.0,153.0,27,67
17,00:06:37.007,00:06:26.000,1,3,4,0:06:36  ,0:06:26  ,0:06:10  ,164.390625,174.0,91.62999877929688,148.0,151.0,27,68
18,00:06:26.116,00:06:26.116,1,0,1,0:06:26  ,0:06:26  ,0:06:14  ,170.8125,174.0,91.10999755859376,151.0,154.0,27,69
19,00:06:26.798,00:06:26.000,1,0,7,0:06:26  ,0:06:26  ,0:05:42  ,170.59375,175.0,90.84000244140626,151.0,154.0,27,69
20,00:06:36.771,00:06:36.771,1,10,1,0:06:36  ,0:06:36  ,0:06:12  ,169.375,174.0,88.85999755859376,155.0,161.0,28,73
21,00:06:21.129,00:06:21.000,1,1,0,0:06:21  ,0:06:21  ,0:06:13  ,171.09375,174.0,91.70999755859376,156.0,159.0,28,71
22,00:07:02.258,00:06:32.000,1,2,9,0:07:02  ,0:06:32  ,0:05:33  ,156.9375,177.0,91.02999877929688,155.0,162.0,28,77
23,00:06:20.709,00:06:20.000,1,3,1,0:06:20  ,0:06:20  ,0:06:06  ,170.921875,173.0,92.60999755859376,158.0,160.0,28,72
24,00:06:49.890,00:06:49.890,1,1,1,0:06:49  ,0:06:49  ,0:05:38  ,168.078125,175.0,88.02999877929688,156.0,160.0,29,73
25,00:06:08.646,00:06:08.646,1,3,0,0:06:08  ,0:06:08  ,0:06:00  ,173.3125,176.0,93.60000000000001,161.0,164.0,29,72
26,00:06:10.593,00:06:10.000,1,5,0,0:06:10  ,0:06:10  ,0:06:00  ,171.796875,176.0,94.27000122070314,164.0,166.0,29,74
27,00:00:40.503,00:00:40.000,0.11,4,2,0:06:08  ,0:06:04  ,0:06:07  ,170.359375,176.0,94.02000122070314,167.0,168.0,30,9
Summary,02:46:00.364,02:45:09.979,26.11,97,88,0:06:21  ,0:06:19  ,0:05:13  ,171.375,191.0,91.82999877929689,149.0,168.0,26.8,1837
