Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
1,MIXED,8,200.0,00:05:34.247,2:47,2:08,58.0,110.0,125.0,132,16.5,43
1.1,FREESTYLE,1,25.0,00:00:33.625,2:15,2:15,50.0,98.0,115.0,16,--,--
1.2,FREESTYLE,1,25.0,00:00:43.062,2:52,2:52,63.0,114.0,118.0,20,--,--
1.3,FREESTYLE,1,25.0,00:00:37.187,2:29,2:29,53.0,114.0,118.0,16,--,--
1.4,FREESTYLE,1,25.0,00:00:31.937,2:08,2:08,45.0,109.0,114.0,13,--,--
1.5,BACKSTROKE,1,25.0,00:00:50.062,3:20,3:20,65.0,100.0,107.0,15,--,--
1.6,BACKSTROKE,1,25.0,00:00:40.187,2:41,2:41,53.0,105.0,112.0,13,--,--
1.7,BREASTSTROKE,1,25.0,00:00:53.875,3:36,3:36,76.0,114.0,121.0,22,--,--
1.8,BREASTSTROKE,1,25.0,00:00:44.312,2:57,2:57,61.0,121.0,125.0,17,--,--
REST,,,0.0,00:00:57.063,--,--,0.0,107.0,120.0,0,0.0,5
2,FREESTYLE,4,100.0,00:02:25.375,2:25,1:60,50.0,141.0,153.0,53,13.300000190734863,27
2.1,FREESTYLE,1,25.0,00:00:32.561,2:10,2:10,47.0,124.0,138.0,14,--,--
2.2,FREESTYLE,1,25.0,00:00:29.937,1:60,1:60,41.0,135.0,139.0,11,--,--
2.3,FREESTYLE,1,25.0,00:00:39.437,2:38,2:38,53.0,143.0,152.0,14,--,--
2.4,FREESTYLE,1,25.0,00:00:43.439,2:54,2:54,57.0,149.0,153.0,14,--,--
REST,,,0.0,00:03:09.125,--,--,0.0,118.0,140.0,0,0.0,25
3,FREESTYLE,2,50.0,00:01:43.312,3:27,2:27,69.0,140.0,150.0,35,17.5,18
3.1,FREESTYLE,1,25.0,00:00:36.812,2:27,2:27,53.0,122.0,141.0,16,--,--
3.2,FREESTYLE,1,25.0,00:01:06.500,4:26,4:26,86.0,145.0,150.0,19,--,--
REST,,,0.0,00:00:20.063,--,--,0.0,132.0,140.0,0,0.0,4
4,MIXED,3,75.0,00:01:57.938,2:37,2:02,53.0,142.0,154.0,42,14.0,21
4.1,FREESTYLE,1,25.0,00:00:43.562,2:54,2:54,62.0,131.0,139.0,18,--,--
4.2,FREESTYLE,1,25.0,00:00:43.812,2:55,2:55,62.0,143.0,148.0,18,--,--
4.3,BREASTSTROKE,1,25.0,00:00:30.564,2:02,2:02,37.0,149.0,154.0,6,--,--
REST,,,0.0,00:01:45.187,--,--,0.0,113.0,142.0,0,0.0,11
5,MIXED,5,125.0,00:04:38.688,3:43,2:13,74.0,128.0,164.0,89,17.799999237060547,40
5.1,BACKSTROKE,1,25.0,00:00:33.312,2:13,2:13,47.0,120.0,134.0,14,--,--
5.2,BREASTSTROKE,1,25.0,00:01:31.437,6:06,6:06,119.0,137.0,143.0,28,--,--
5.3,BACKSTROKE,1,25.0,00:00:45.437,3:02,3:02,61.0,134.0,139.0,16,--,--
5.4,BACKSTROKE,1,25.0,00:00:54.875,3:39,3:39,74.0,114.0,135.0,19,--,--
5.5,BACKSTROKE,1,25.0,00:00:53.627,3:35,3:35,66.0,114.0,122.0,12,--,--
REST,,,0.0,00:03:09.687,--,--,0.0,121.0,157.0,0,0.0,22
6,BREASTSTROKE,4,100.0,00:02:53.251,2:53,2:45,63.0,145.0,162.0,77,19.299999237060547,32
6.1,BREASTSTROKE,1,25.0,00:00:41.187,2:45,2:45,59.0,120.0,138.0,18,--,--
6.2,BREASTSTROKE,1,25.0,00:00:45.125,3:01,3:01,65.0,140.0,144.0,20,--,--
6.3,BREASTSTROKE,1,25.0,00:00:42.937,2:52,2:52,61.0,147.0,151.0,18,--,--
6.4,BREASTSTROKE,1,25.0,00:00:44.002,2:56,2:56,65.0,156.0,161.0,21,--,--
REST,,,0.0,00:02:21.062,--,--,0.0,109.0,155.0,0,0.0,10
7,MIXED,10,250.0,00:03:14.001,1:18,0:,27.0,131.0,140.0,71,7.099999904632568,29
