"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.59","8:32","8:45","105","149","2","3","133","281","0.85","6.9","8.1","216","182","2.46","297","4.01","37","23.0","6:10","172","4:56","8:25"
"","1","Corsa","2 - 5","20:00","25:00","3.13","6:24","6:24","159","178","17","26","168","276","0.93","8.5","9.1","293","280","3.78","522","7.05","230","17.0","4:56","179","20:00","6:24"
"","","Corsa","2","6:25.0","11:25","1.00","6:25","6:26","155","162","5","5","168","277","0.93","8.5","9.2","287","286","3.86","334","4.51","74","18.0","6:05","172","6:25.0","6:25"
"","","Corsa","3","6:07.0","17:32","1.00","6:07","6:09","163","178","10","19","167","275","0.98","8.7","9.0","322","291","3.93","522","7.05","71","16.0","4:56","179","6:07","6:07"
"","","Corsa","4","6:37.9","24:10","1.00","6:38","6:34","160","164","2","2","169","277","0.90","8.4","9.2","267","267","3.61","297","4.01","76","16.0","6:17","174","6:37.9","6:38"
"","","Corsa","5","0:50.1","25:00","0.13","6:35","6:39","161","163","0","0","169","277","0.89","8.3","9.3","258","260","3.51","266","3.59","10","15.0","6:35","170","0:50","6:34"
"","2","Corsa","6 - 7","10:00","35:00","1.50","6:40","6:40","161","168","3","1","168","279","0.89","8.3","9.3","266","266","3.59","310","4.19","113","14.0","6:30","172","9:59","6:39"
"","","Corsa","6","6:39.3","31:39","1.00","6:39","6:39","161","168","3","1","169","278","0.89","8.3","9.3","268","267","3.61","310","4.19","75","15.0","6:34","172","6:39.3","6:39"
"","","Corsa","7","3:20.7","35:00","0.50","6:41","6:42","161","168","0","0","168","280","0.89","8.4","9.4","262","263","3.55","290","3.92","38","14.0","6:30","171","3:20","6:39"
"","","Defaticamento","8 - 9","5:12.8","40:13","0.81","6:28","6:25","164","173","6","2","168","277","0.92","8.5","9.2","280","280","3.78","317","4.28","61","14.0","6:15","172","5:12","6:27"
"","","Defaticamento","8","5:00","40:00","0.77","6:29","6:26","164","172","4","2","168","277","0.92","8.5","9.2","279","279","3.77","317","4.28","58","14.0","6:15","172","4:59","6:28"
"","","Defaticamento","9","0:12.8","40:13","0.04","6:07","6:10","172","173","1","0","167","278","0.96","8.7","9.1","294","303","4.09","313","4.23","3","14.0","6:16","167","0:12.8","6:07"
"","Riepilogo","--","--","40:13","40:13","6.02","6:41","6:40","154","178","29","33","164","277","0.91","8.3","9.1","278","264","3.57","522","7.05","441","16.6","4:56","179","40:09","6:40"
