"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 4","22:39","22:39","4.00","5:40","5:44","150","159","26","56","180","248","50.8% S / 49.2% D","0.99","9.2","9.1","303","295","Nessun peso","498","Nessun peso","271","24.0","4:49","186","22:38","5:40"
"","","Riscaldamento","1","5:42.2","5:42.2","1.00","5:42","5:41","125","146","3","2","178","249","50.6% S / 49.4% D","0.99","9.0","8.9","314","307","Nessun peso","354","Nessun peso","27","26.0","5:21","184","5:42.2","5:42"
"","","Riscaldamento","2","5:43.0","11:25","1.00","5:43","5:54","151","155","4","25","180","248","50.9% S / 49.1% D","0.98","9.3","9.3","278","277","Nessun peso","362","Nessun peso","63","24.0","5:05","186","5:43.0","5:43"
"","","Riscaldamento","3","5:38.2","17:03","1.00","5:38","5:47","153","158","11","25","180","248","50.9% S / 49.1% D","0.99","9.4","9.2","308","292","Nessun peso","498","Nessun peso","71","23.0","5:03","185","5:38","5:38"
"","","Riscaldamento","4","5:35.8","22:39","1.00","5:36","5:32","155","159","8","4","180","247","50.8% S / 49.2% D","0.99","9.2","9.1","308","305","Nessun peso","410","Nessun peso","70","21.0","4:49","184","5:35.8","5:36"
"","","Riposo","5","1:30","24:09","0.13","11:42","10:27","130","158","2","1","112","316","50.9% S / 49.1% D","0.78","5.2","7.3","202","114","Nessun peso","352","Nessun peso","10","21.0","5:36","190","1:28","11:26"
"","1","Corsa","6","3:16.3","27:25","0.80","4:05","4:00","167","175","8","1","192","224","51.4% S / 48.6% D","1.26","9.1","7.0","403","411","Nessun peso","503","Nessun peso","47","20.0","3:59","198","3:16","4:05"
"","","Riposo","7","1:30","28:55","0.14","10:40","10:00","143","174","1","1","120","366","50.9% S / 49.1% D","0.84","6.2","7.8","295","139","Nessun peso","503","Nessun peso","13","20.0","4:02","193","1:28","10:26"
"","2","Corsa","8","3:12.6","32:08","0.80","4:01","4:00","170","177","6","5","192","221","51.5% S / 48.5% D","1.28","9.2","7.1","430","423","Nessun peso","618","Nessun peso","47","19.0","3:56","194","3:12.6","4:01"
"","","Riposo","9","1:30","33:38","0.14","11:01","9:42","151","177","1","2","114","390","51.2% S / 48.8% D","0.82","6.7","8.3","256","132","Nessun peso","432","Nessun peso","14","19.0","3:58","195","1:28","10:46"
"","3","Corsa","10","3:10.7","36:49","0.80","3:58","4:00","171","178","8","4","193","220","51.5% S / 48.5% D","1.30","9.3","7.0","442","439","Nessun peso","534","Nessun peso","46","18.0","3:47","197","3:10.7","3:58"
"","","Riposo","11","1:30","38:19","0.14","10:48","10:59","151","178","0","8","116","305","51.1% S / 48.9% D","0.83","6.4","7.7","234","102","Nessun peso","404","Nessun peso","14","18.0","4:04","193","1:28","10:33"
"","4","Corsa","12","3:10.7","41:29","0.80","3:58","3:55","171","179","12","5","192","221","51.5% S / 48.5% D","1.30","9.3","7.1","457","451","Nessun peso","585","Nessun peso","45","18.0","3:27","197","3:10","3:58"
"","","Riposo","13","1:30","42:59","0.13","11:12","11:02","154","179","0","5","113","456","50.3% S / 49.7% D","0.85","5.9","7.0","229","99","Nessun peso","391","Nessun peso","14","18.0","4:04","182","1:28","10:58"
"","5","Corsa","14","3:09.8","46:09","0.80","3:57","3:58","171","180","5","4","193","223","51.4% S / 48.6% D","1.31","9.1","6.8","411","413","Nessun peso","512","Nessun peso","46","18.0","3:39","194","3:09.8","3:57"
"","","Riposo","15","1:30","47:39","0.13","11:39","11:18","154","179","0","1","112","392","50.7% S / 49.3% D","0.79","5.7","7.3","252","100","Nessun peso","422","Nessun peso","14","18.0","4:03","191","1:28","11:23"
"","6","Corsa","16","3:12.9","50:52","0.80","4:01","3:58","171","180","8","1","192","222","51.5% S / 48.5% D","1.29","9.1","6.9","442","442","Nessun peso","532","Nessun peso","47","17.0","3:49","194","3:12.9","4:01"
"","","Riposo","17","1:30","52:22","0.13","11:28","10:37","156","178","0","4","113","333","51.4% S / 48.6% D","0.85","6.0","6.8","256","112","Nessun peso","418","Nessun peso","15","17.0","4:02","189","1:28","11:13"
