Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:25.103,00:06:24.000,1,1,8,0:06:25  ,0:06:24  ,0:05:19  ,177.796875,180.0,88.12999877929688,129.0,138.0,28,66
2,00:06:15.798,00:06:15.798,1,11,7,0:06:15  ,0:06:15  ,0:05:53  ,178.75,182.0,89.45,138.0,141.0,25,71
3,00:06:20.060,00:06:20.000,1,2,7,0:06:20  ,0:06:20  ,0:06:08  ,179.140625,182.0,87.99000244140626,139.0,144.0,23,70
4,00:06:21.212,00:06:21.000,1,8,5,0:06:21  ,0:06:21  ,0:06:13  ,178.796875,183.0,88.07999877929689,140.0,144.0,23,71
5,00:06:16.374,00:06:16.374,1,4,5,0:06:16  ,0:06:16  ,0:05:17  ,178.984375,183.0,89.54000244140626,141.0,145.0,22,70
6,00:06:18.397,00:06:18.000,1,8,8,0:06:18  ,0:06:18  ,0:06:04  ,178.984375,182.0,88.60999755859376,143.0,150.0,22,70
7,00:06:16.782,00:06:16.782,1,1,3,0:06:16  ,0:06:16  ,0:06:05  ,179.625,183.0,88.62000122070313,143.0,149.0,21,69
8,00:06:19.613,00:06:19.000,1,2,2,0:06:19  ,0:06:19  ,0:06:08  ,179.09375,181.0,88.42000122070313,143.0,145.0,21,70
9,00:06:39.538,00:06:39.538,1,9,7,0:06:39  ,0:06:39  ,0:06:12  ,171.609375,180.0,87.94000244140625,141.0,146.0,21,69
10,00:06:20.528,00:06:20.000,1,6,8,0:06:20  ,0:06:20  ,0:06:05  ,177.65625,180.0,89.07000122070313,144.0,149.0,22,69
11,00:06:14.792,00:06:14.792,1,3,2,0:06:14  ,0:06:14  ,0:06:06  ,178.3125,182.0,90.05999755859375,145.0,148.0,23,69
12,00:06:22.405,00:06:22.405,1,6,3,0:06:22  ,0:06:22  ,0:06:00  ,177.453125,183.0,88.77000122070314,146.0,150.0,24,69
13,00:06:35.420,00:06:35.420,1,2,1,0:06:35  ,0:06:35  ,0:06:05  ,169.71875,180.0,87.82000122070313,140.0,147.0,24,68
14,00:06:30.020,00:06:30.000,1,2,5,0:06:30  ,0:06:29  ,0:06:18  ,174.21875,178.0,88.55999755859375,145.0,148.0,24,69
15,00:06:33.086,00:06:33.000,1,9,2,0:06:33  ,0:06:33  ,0:06:20  ,172.484375,176.0,88.59000244140626,149.0,153.0,26,73
16,00:06:24.494,00:06:24.000,1,3,3,0:06:24  ,0:06:24  ,0:06:13  ,173.46875,176.0,90.14000244140625,150.0,153.0,26,72
17,00:06:27.874,00:06:27.874,1,2,3,0:06:27  ,0:06:27  ,0:06:17  ,172.859375,177.0,89.60999755859376,151.0,154.0,27,72
18,00:06:22.710,00:06:22.710,1,7,2,0:06:22  ,0:06:22  ,0:06:13  ,173.75,177.0,90.52000122070314,153.0,156.0,28,72
19,00:06:16.959,00:06:16.959,1,4,10,0:06:16  ,0:06:16  ,0:05:53  ,173.796875,178.0,91.35999755859376,154.0,161.0,27,71
20,00:06:17.705,00:06:17.705,1,12,10,0:06:17  ,0:06:17  ,0:05:47  ,173.4375,177.0,92.12000122070313,155.0,160.0,27,72
21,00:06:25.260,00:06:25.000,1,7,4,0:06:25  ,0:06:25  ,0:06:08  ,171.859375,177.0,90.55999755859375,155.0,158.0,27,72
22,00:07:20.813,00:07:20.813,1,13,15,0:07:20  ,0:07:20  ,0:06:00  ,154.515625,182.0,87.25999755859375,148.0,157.0,27,70
23,00:06:18.972,00:06:18.972,1,7,2,0:06:18  ,0:06:18  ,0:06:10  ,173.28125,177.0,91.57000122070313,155.0,159.0,27,71
24,00:07:41.673,00:07:34.000,1,10,21,0:07:41  ,0:07:34  ,0:06:09  ,150.8125,178.0,86.05000000000001,144.0,156.0,28,64
25,00:06:09.753,00:06:09.753,1,12,5,0:06:09  ,0:06:09  ,0:05:55  ,175.390625,179.0,92.72999877929688,156.0,159.0,27,71
26,00:06:15.391,00:06:15.000,1,4,4,0:06:15  ,0:06:15  ,0:05:59  ,173.546875,177.0,92.55000000000001,156.0,158.0,27,70
27,00:06:37.716,00:06:37.716,1,7,2,0:06:37  ,0:06:37  ,0:06:14  ,171.65625,176.0,88.42999877929688,155.0,159.0,28,71
28,00:00:40.048,00:00:39.000,0.11,1,0,0:06:12  ,0:06:03  ,0:06:17  ,173.796875,175.0,91.19000244140625,157.0,159.0,28,8
Summary,02:55:08.496,02:54:55.611,27.11,165,160,0:06:27  ,0:06:27  ,0:05:17  ,173.421875,183.0,89.32000122070313,147.0,161.0,25.05,1898
