"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","","Riposo","0","0","0:16.6","0:16.6","0","0","0","69","73","0","0","1"
"","1","Rana","1","25","0:55.4","1:12.1","3:42","3:42","76","91","98","21","21","4"
"","1.1","Rana","1","25","0:55.4","0:55.4","3:42","3:42","76","85","98","21","--","--"
"","","Riposo","0","0","0:11.9","1:23.9","0","0","0","112","118","0","0","2"
"","2","Misto","6","150","2:58.0","4:21.9","1:59","1:05","40","126","135","60","10","28"
"","2.1","Stile libero","1","25","0:33.3","0:33.3","2:13","2:13","46","122","127","13","--","--"
"","2.2","Stile libero","1","25","0:16.3","0:49.6","1:05","1:05","21","127","127","5","--","--"
"","2.3","Rana","1","25","0:18.6","1:08.2","1:15","1:15","27","128","133","8","--","--"
"","2.4","Dorso","1","25","0:16.1","1:24.4","1:05","1:05","19","126","131","3","--","--"
"","2.5","Stile libero","1","25","0:40.1","2:04.5","2:41","2:41","55","117","125","15","--","--"
"","2.6","Stile libero","1","25","0:53.5","2:58.0","3:34","3:34","70","131","135","16","--","--"
"","","Riposo","0","0","1:39.8","6:01.7","0","0","0","99","131","0","0","10"
"","3","Misto","3","75","1:10","7:11.7","1:33","1:08","31","135","153","22","7","12"
"","3.1","Stile libero","1","25","0:23.4","0:23.4","1:33","1:33","30","110","119","7","--","--"
"","3.2","Dorso","1","25","0:16.9","0:40.3","1:08","1:08","23","126","132","6","--","--"
"","3.3","Dorso","1","25","0:29.8","1:10","1:59","1:59","39","142","149","9","--","--"
"","","Riposo","0","0","0:28.8","7:40.5","0","0","0","143","153","0","0","6"
"","4","Misto","2","50","1:11.4","8:51.9","2:23","2:13","48","151","158","24","12","13"
"","4.1","Stile libero","1","25","0:33.2","0:33.2","2:13","2:13","47","140","148","14","--","--"
"","4.2","Dorso","1","25","0:38.3","1:11.4","2:33","2:33","48","154","158","10","--","--"
"","","Riposo","0","0","2:43.1","11:35","0","0","0","113","158","0","0","19"
"","5","Misto","4","100","2:55.4","14:30","2:55","2:21","62","128","135","71","18","28"
"","5.1","Stile libero","1","25","0:35.3","0:35.3","2:21","2:21","49","121","135","14","--","--"
"","5.2","Rana","1","25","0:50.3","1:25.6","3:21","3:21","72","128","135","22","--","--"
"","5.3","Stile libero","1","25","0:44.6","2:10.2","2:59","2:59","60","126","132","15","--","--"
"","5.4","Rana","1","25","0:45.3","2:55.4","3:01","3:01","65","132","134","20","--","--"
"","","Riposo","0","0","2:46.1","17:17","0","0","0","99","123","0","0","12"
"","6","Misto","3","75","1:17.6","18:34","1:44","0:51","34","135","149","25","8","13"
"","6.1","Stile libero","1","25","0:35.1","0:35.1","2:20","2:20","47","120","136","12","--","--"
"","6.2","Rana","1","25","0:12.6","0:47.8","0:51","0:51","18","131","132","5","--","--"
"","6.3","Dorso","1","25","0:29.9","1:17.6","1:59","1:59","38","137","144","8","--","--"
"","","Riposo","0","0","2:02.4","20:37","0","0","0","111","147","0","0","12"
"","7","Misto","2","50","1:13.8","21:50","2:28","2:10","46","140","153","19","10","14"
"","7.1","Stile libero","1","25","0:32.4","0:32.4","2:10","2:10","41","121","138","9","--","--"
"","7.2","Dorso","1","25","0:41.4","1:13.8","2:46","2:46","51","141","150","10","--","--"
"","","Riposo","0","0","2:51.8","24:42","0","0","0","108","151","0","0","15"
"","8","Misto","2","50","1:17.6","26:00","2:35","2:11","52","142","158","27","14","13"
"","8.1","Stile libero","1","25","0:32.7","0:32.7","2:11","2:11","45","116","133","12","--","--"
"","8.2","Dorso","1","25","0:44.9","1:17.6","3:00","3:00","60","147","158","15","--","--"
"","","Riposo","0","0","0:14.6","26:14","0","0","0","149","155","0","0","4"
"","9","Misto","2","50","1:26.6","27:41","2:53","2:37","59","153","159","32","16","17"
"","9.1","Stile libero","1","25","0:39.3","0:39.3","2:37","2:37","52","149","156","13","--","--"
"","9.2","Dorso","1","25","0:47.4","1:26.6","3:09","3:09","66","152","159","19","--","--"
"","","Riposo","0","0","5:29","33:10","0","0","0","103","152","0","0","20"
"","10","Stile libero","4","100","2:24.2","35:34","2:24","2:05","50","130","138","55","14","21"
"","10.1","Stile libero","1","25","0:33.8","0:33.8","2:15","2:15","50","117","132","16","--","--"
"","10.2","Stile libero","1","25","0:31.4","1:05.2","2:05","2:05","42","133","136","11","--","--"
"","10.3","Stile libero","1","25","0:44.4","1:49.6","2:58","2:58","60","130","132","16","--","--"
"","10.4","Stile libero","1","25","0:34.6","2:24.2","2:19","2:19","47","130","138","12","--","--"
"","","Riposo","0","0","0:10.3","35:45","0","0","0","119","119","0","0","1"
"","11","Stile libero","2","50","1:09.8","36:54","2:20","2:13","46","122","128","22","11","9"
"","11.1","Stile libero","1","25","0:36.6","0:36.6","2:26","2:26","49","121","123","12","--","--"
"","11.2","Stile libero","1","25","0:33.2","1:09.8","2:13","2:13","43","122","127","10","--","--"
"","","Riposo","0","0","0:41.4","37:36","0","0","0","113","122","0","0","3"
"","12","Misto","3","75","1:21.6","38:57","1:49","0:19","39","121","128","34","11","9"
"","12.1","Rana","1","25","0:04.7","0:04.7","0:19","0:19","9","112","113","4","--","--"
"","12.2","Stile libero","1","25","0:27.4","0:32.1","1:50","1:50","36","112","126","9","--","--"
"","12.3","Rana","1","25","0:49.4","1:21.6","3:18","3:18","70","125","128","21","--","--"
"","","Riposo","0","0","0:14.8","39:12","0","0","0","115","117","0","0","2"
"","13","Misto","2","50","1:41.0","40:53","3:22","2:40","69","125","132","37","19","12"
"","13.1","Stile libero","1","25","0:40.1","0:40.1","2:40","2:40","55","122","131","15","--","--"
"","13.2","Rana","1","25","1:00.9","1:41.0","4:04","4:04","83","126","132","22","--","--"
"","","Riposo","0","0","0:14.1","41:07","0","0","0","118","120","0","0","1"
"","14","Stile libero","2","50","1:03.9","42:11","2:08","2:03","45","133","150","26","13","10"
"","14.1","Stile libero","1","25","0:33.1","0:33.1","2:12","2:12","47","121","126","14","--","--"
"","14.2","Stile libero","1","25","0:30.8","1:03.9","2:03","2:03","43","134","148","12","--","--"
"","","Riposo","0","0","0:34.5","42:45","0","0","0","138","147","0","0","6"
"","15","Stile libero","2","50","1:15.9","44:01","2:32","1:48","53","135","139","30","15","12"
"","15.1","Stile libero","1","25","0:27","0:27","1:48","1:48","36","131","134","9","--","--"
"","15.2","Stile libero","1","25","0:48.9","1:15.9","3:15","3:15","70","136","138","21","--","--"
"","","Riposo","0","0","0:08.5","44:10","0","0","0","138","139","0","0","1"
"","Riepilogo","--","40","1,000","44:10","44:10","2:20","0:19","48","120","159","505","13","330"
