"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:00.4","6:00.4","1.00","6:00","6:00","135","159","7","4","325","Nessun peso","394","Nessun peso","170","261","50.1% S / 49.9% D","0.98","9.7","9.8","64","24.0","5:29","174","5:57","5:57","--","--"
"2","5:56.4","11:57","1.00","5:56","6:02","154","158","3","13","306","Nessun peso","362","Nessun peso","171","260","50.7% S / 49.3% D","0.99","10.1","9.9","69","21.0","5:36","173","5:56","5:56","--","--"
"3","5:52.3","17:49","1.00","5:52","5:50","157","162","9","4","332","Nessun peso","454","Nessun peso","171","258","50.7% S / 49.3% D","0.99","10.1","9.9","70","20.0","5:39","175","5:52.3","5:52","--","--"
"4","5:49.4","23:39","1.00","5:49","5:50","157","161","0","4","318","Nessun peso","361","Nessun peso","171","257","50.8% S / 49.3% D","1.01","10.1","9.8","69","18.0","5:36","178","5:49","5:49","--","--"
"5","5:52.9","29:31","1.00","5:53","5:54","158","160","0","0","311","Nessun peso","357","Nessun peso","171","256","50.7% S / 49.3% D","0.99","10.3","10.1","69","18.0","5:33","174","5:52.9","5:53","--","--"
"6","5:50.9","35:22","1.00","5:51","5:49","160","162","2","0","330","Nessun peso","390","Nessun peso","171","254","50.7% S / 49.3% D","1.00","10.4","10.2","70","18.0","5:38","173","5:50.9","5:51","--","--"
"7","0:12.2","35:35","0.03","5:48","5:49","162","163","0","0","307","Nessun peso","330","Nessun peso","173","253","50.3% S / 49.7% D","0.99","9.8","9.8","2","19.0","5:49","174","0:11","5:15","--","--"
"Riepilogo","35:35","35:35","6.03","5:54","5:54","154","163","21","25","320","Nessun peso","454","Nessun peso","171","258","50.6% S / 49.4% D","0.99","10.1","9.9","413","19.8","5:29","178","35:29","5:53","--","--"
