"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","9:57.7","9:57.7","1.50","6:38","6:37","150","161","10","20","167","266","50.8% S / 49.2% D","0.92","9.3","10.1","286","278","Nessun peso","385","Nessun peso","111","21.0","5:02","228","9:45","6:30"
"","","Riscaldamento","1","6:27.2","6:27.2","1.00","6:27","6:28","147","156","9","10","172","262","51.1% S / 48.9% D","0.90","9.3","10.1","292","292","Nessun peso","379","Nessun peso","71","22.0","6:02","228","6:27.2","6:27"
"","","Riscaldamento","2","3:30.5","9:57.7","0.50","7:01","6:57","155","161","1","10","158","275","50.2% S / 49.8% D","0.95","9.3","10.1","274","254","Nessun peso","385","Nessun peso","39","18.0","5:02","178","3:19","6:38"
"","1","Corsa","3 - 5","15:48","25:45","3.00","5:16","5:16","166","171","10","3","176","243","50.5% S / 49.5% D","1.08","10.3","9.3","351","352","Nessun peso","397","Nessun peso","198","16.0","4:51","184","15:47","5:16"
"","","Corsa","3","5:14.5","15:12","1.00","5:15","5:17","162","166","0","0","178","240","50.5% S / 49.5% D","1.07","10.1","9.2","343","345","Nessun peso","383","Nessun peso","65","17.0","4:51","184","5:14","5:14"
"","","Corsa","4","5:17.7","20:30","1.00","5:18","5:17","166","169","5","1","176","245","50.5% S / 49.5% D","1.08","10.3","9.4","353","353","Nessun peso","393","Nessun peso","67","16.0","5:14","181","5:17.7","5:18"
"","","Corsa","5","5:15.6","25:45","1.00","5:16","5:13","169","171","6","2","175","245","50.6% S / 49.4% D","1.09","10.5","9.4","358","358","Nessun peso","397","Nessun peso","67","15.0","5:09","178","5:15.6","5:16"
"","","Riposo","6","3:00","28:45","0.26","11:27","11:28","137","169","0","0","113","387","49.9% S / 50.1% D","0.81","5.8","7.3","190","110","Nessun peso","355","Nessun peso","20","15.0","5:09","176","2:58","11:20"
"","2","Corsa","7 - 8","10:19","39:05","2.00","5:10","5:11","166","171","3","6","178","240","50.4% S / 49.6% D","1.09","10.2","9.1","351","354","Nessun peso","424","Nessun peso","131","16.0","4:49","183","10:19","5:10"
"","","Corsa","7","5:09.8","33:55","1.00","5:10","5:11","163","168","0","3","178","241","50.5% S / 49.5% D","1.09","10.2","9.1","349","353","Nessun peso","391","Nessun peso","65","16.0","4:49","183","5:09.8","5:10"
"","","Corsa","8","5:09.7","39:05","1.00","5:10","5:10","169","171","3","2","178","240","50.3% S / 49.7% D","1.09","10.3","9.2","354","354","Nessun peso","424","Nessun peso","66","16.0","5:01","181","5:09.7","5:10"
"","","Riposo","9","2:00","41:05","0.17","11:33","10:45","144","171","1","0","114","408","48.7% S / 51.3% D","0.81","6.0","7.5","209","119","Nessun peso","370","Nessun peso","15","16.0","5:00","178","1:58","11:21"
"","3","Corsa","10","5:00.0","46:05","1.00","5:00","5:00","167","172","2","0","180","236","50.3% S / 49.7% D","1.11","10.2","9.0","361","367","Nessun peso","412","Nessun peso","64","16.0","4:29","183","5:00.0","5:00"
"","","Riposo","11","1:30","47:35","0.13","11:11","9:21","150","171","1","0","117","448","50.3% S / 49.7% D","0.93","6.0","6.3","239","138","Nessun peso","367","Nessun peso","13","16.0","5:05","178","1:28","10:56"
"","","Defaticamento","12 - 14","11:19","58:53","1.95","5:49","5:52","162","167","8","5","174","250","50.4% S / 49.6% D","0.97","10.0","10.1","317","318","Nessun peso","375","Nessun peso","134","17.0","5:29","186","11:19","5:49"
"","","Defaticamento","12","5:49.6","53:24","1.00","5:50","6:02","160","164","1","4","175","250","50.3% S / 49.7% D","0.96","9.9","10.2","304","308","Nessun peso","339","Nessun peso","67","17.0","5:44","186","5:49.6","5:50"
"","","Defaticamento","13","2:51.5","56:16","0.50","5:43","5:42","163","165","1","1","175","249","50.5% S / 49.5% D","1.00","10.1","9.8","322","324","Nessun peso","353","Nessun peso","34","18.0","5:38","178","2:51","5:42"
"","","Defaticamento","14","2:37.5","58:53","0.45","5:53","5:42","166","167","5","0","174","251","50.5% S / 49.5% D","0.98","10.0","10.1","337","336","Nessun peso","375","Nessun peso","32","18.0","5:29","176","2:37","5:51"
"","Riepilogo","--","--","58:53","58:53","10.02","5:53","5:52","160","172","34","33","168","251","50.5% S / 49.5% D","1.01","9.6","9.3","328","309","Nessun peso","424","Nessun peso","685","17.0","4:29","228","58:37","5:51"
