"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","6:45.1","6:45.1","1.00","6:45","6:47","130","143","8","11","264","Nessun peso","326","Nessun peso","160","280","50.2% S / 49.8% D","0.93","10.4","11.1","65","26.0","6:26","163","6:45.1","6:45","--","--"
"2","6:30.9","13:16","1.00","6:31","6:33","142","150","7","12","268","Nessun peso","330","Nessun peso","160","277","50.3% S / 49.7% D","0.96","10.6","10.8","68","25.0","6:16","162","6:30.9","6:31","--","--"
"3","6:22.0","19:38","1.00","6:22","6:21","142","146","3","3","273","Nessun peso","299","Nessun peso","160","274","50.1% S / 49.9% D","0.99","10.7","10.6","67","23.0","6:03","163","6:22.0","6:22","--","--"
"4","6:11.7","25:50","1.00","6:12","6:11","145","149","5","5","279","Nessun peso","327","Nessun peso","162","271","50.3% S / 49.7% D","1.00","10.5","10.4","67","23.0","6:01","164","6:11.7","6:12","--","--"
"5","6:10.0","32:00","1.00","6:10","6:01","146","151","12","0","294","Nessun peso","340","Nessun peso","164","275","50.2% S / 49.8% D","1.00","10.3","10.1","68","23.0","5:58","167","6:10","6:10","--","--"
"6","5:59.9","37:59","1.00","6:00","6:13","144","149","0","19","266","Nessun peso","294","Nessun peso","164","274","50.3% S / 49.7% D","1.01","10.2","9.9","63","23.0","5:51","167","5:59.9","6:00","--","--"
"7","6:09.1","44:09","1.00","6:09","6:17","148","151","1","13","266","Nessun peso","319","Nessun peso","163","271","50.3% S / 49.8% D","1.00","10.3","10.2","66","24.0","5:49","165","6:09","6:09","--","--"
"8","6:08.2","50:17","1.00","6:08","6:06","150","154","4","1","272","Nessun peso","297","Nessun peso","163","272","50.3% S / 49.7% D","1.00","10.3","10.1","67","24.0","5:55","167","6:08","6:08","--","--"
"9","6:08.6","56:25","1.00","6:09","6:01","149","153","9","1","285","Nessun peso","334","Nessun peso","164","272","50.2% S / 49.8% D","0.99","10.3","10.2","67","24.0","5:55","167","6:08.6","6:09","--","--"
"10","6:08.9","1:02:34","1.00","6:09","6:13","149","152","2","8","270","Nessun peso","326","Nessun peso","164","270","50.1% S / 49.9% D","0.99","10.2","10.1","65","24.0","6:03","169","6:08.9","6:09","--","--"
"11","5:55.8","1:08:30","1.00","5:56","5:46","150","153","12","1","292","Nessun peso","399","Nessun peso","166","272","50.1% S / 49.9% D","1.02","9.8","9.4","66","26.0","5:35","171","5:55","5:55","--","--"
"12","5:53.7","1:14:24","1.00","5:54","5:54","151","154","3","6","285","Nessun peso","343","Nessun peso","165","269","50.3% S / 49.7% D","1.03","10.3","9.8","65","26.0","5:41","168","5:53.7","5:54","--","--"
"13","7:42.1","1:22:06","1.00","7:42","7:44","144","155","6","10","213","Nessun peso","348","Nessun peso","131","286","50.2% S / 49.8% D","0.96","9.4","9.5","71","26.0","5:36","178","6:18","6:18","--","--"
"14","5:52.9","1:27:59","1.00","5:53","5:49","150","153","7","3","291","Nessun peso","348","Nessun peso","166","264","50.1% S / 49.9% D","1.02","10.2","9.8","65","26.0","5:09","170","5:52.9","5:53","--","--"
"15","6:08.0","1:34:07","1.00","6:08","6:09","150","153","5","6","277","Nessun peso","345","Nessun peso","166","267","49.8% S / 50.2% D","0.98","10.1","10.0","66","27.0","5:54","175","6:08","6:08","--","--"
"16","6:04.0","1:40:11","1.00","6:04","6:03","151","153","7","8","279","Nessun peso","361","Nessun peso","166","266","50.1% S / 49.9% D","0.99","10.1","10.0","65","28.0","5:49","169","6:04.0","6:04","--","--"
"17","6:04.2","1:46:15","1.00","6:04","5:55","152","155","12","3","294","Nessun peso","367","Nessun peso","166","268","50.4% S / 49.6% D","1.00","10.0","9.8","65","28.0","5:57","170","6:04","6:04","--","--"
"18","6:00.0","1:52:15","1.00","6:00","5:59","153","155","6","5","288","Nessun peso","394","Nessun peso","167","267","50.6% S / 49.4% D","1.00","10.0","9.8","64","27.0","5:47","170","6:00.0","6:00","--","--"
"19","6:00.9","1:58:16","1.00","6:01","5:59","153","156","5","4","289","Nessun peso","347","Nessun peso","166","265","50.4% S / 49.6% D","1.00","10.3","10.0","64","27.0","5:50","170","6:00.9","6:01","--","--"
"20","6:08.6","2:04:24","1.00","6:09","6:10","155","158","6","7","281","Nessun peso","348","Nessun peso","166","268","49.9% S / 50.1% D","0.99","10.2","10.1","65","27.0","5:57","168","6:08.6","6:09","--","--"
"21","6:06.2","2:10:31","1.00","6:06","6:03","157","159","4","7","280","Nessun peso","360","Nessun peso","164","265","49.9% S / 50.1% D","1.00","10.3","10.2","66","28.0","5:29","172","6:04","6:04","--","--"
"22","1:54.3","2:12:25","0.31","6:08","6:06","160","161","2","0","290","Nessun peso","330","Nessun peso","166","263","49.7% S / 50.3% D","0.99","10.5","10.4","21","28.0","6:01","167","1:53","6:03","--","--"
"Riepilogo","2:12:25","2:12:25","21.31","6:13","6:12","148","161","128","136","276","Nessun peso","399","Nessun peso","162","271","50.2% S / 49.8% D","0.99","10.2","10.1","1,404","25.5","5:09","178","2:10:56","6:09","--","--"
