"Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Potenza media","W/kg medio","Potenza max","W/kg massimo","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento","Perdita velocità di passo media","Percentuale perdita velocità di passo media"
"1","6:23.8","6:23.8","1.00","6:24","6:12","134","145","15","0","295","4.28","339","4.91","171","269","50.3% S / 49.7% D","0.91","9.2","9.9","69","27.0","5:31","176","6:23.8","6:24","--","--"
"2","6:34.7","12:58","1.00","6:35","6:45","147","152","3","15","252","3.65","282","4.09","171","272","50.2% S / 49.8% D","0.89","8.9","9.9","70","23.0","6:27","174","6:34","6:34","--","--"
"3","6:50.3","19:49","1.00","6:50","6:50","147","152","2","4","255","3.70","305","4.42","168","276","50.4% S / 49.6% D","0.88","9.4","10.4","72","21.0","6:06","170","6:50.3","6:50","--","--"
"4","6:55.3","26:44","1.00","6:55","6:59","146","150","1","7","248","3.59","335","4.86","167","279","50.5% S / 49.5% D","0.88","9.2","10.4","69","20.0","5:06","170","6:55","6:55","--","--"
"5","6:49.7","33:34","1.00","6:50","6:57","145","148","0","4","251","3.64","329","4.77","166","280","50.4% S / 49.6% D","0.88","9.4","10.5","68","20.0","5:16","169","6:49.7","6:50","--","--"
"6","6:51.7","40:25","1.00","6:52","6:48","146","150","4","0","257","3.72","293","4.25","167","278","50.3% S / 49.7% D","0.88","9.4","10.5","71","20.0","6:08","169","6:51","6:51","--","--"
"7","6:56.4","47:22","1.00","6:56","6:55","145","149","2","0","256","3.71","296","4.29","165","281","50.3% S / 49.7% D","0.88","9.6","10.7","69","20.0","6:03","167","5:59","5:59","--","--"
"Riepilogo","54:20","54:20","8.05","6:45","6:46","144","152","26","30","259","3.75","339","4.91","168","277","50.4% S / 49.6% D","0.88","9.3","10.3","478","21.5","5:06","176","46:23","5:46","--","--"
