"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.72","6:56","6:57","144","151","0","0","164","286","0.88","8.4","9.6","249","249","3.42","277","3.80","51","24.0","6:38","169","4:58","6:53"
"","1","Corsa","2 - 5","20:00","25:00","3.05","6:33","6:33","158","168","7","7","168","278","0.91","8.4","9.3","268","267","3.67","321","4.41","225","21.0","6:19","176","20:00","6:33"
"","","Corsa","2","6:36.0","11:36","1.00","6:36","6:40","155","158","1","5","168","279","0.90","8.4","9.3","261","260","3.57","300","4.12","72","22.0","6:19","174","6:36.0","6:36"
"","","Corsa","3","6:32.0","18:08","1.00","6:32","6:29","159","168","4","1","168","278","0.91","8.4","9.2","273","272","3.74","321","4.41","74","20.0","6:20","176","6:32","6:32"
"","","Corsa","4","6:31.1","24:39","1.00","6:31","6:31","160","163","2","1","169","277","0.91","8.4","9.2","271","270","3.71","317","4.35","74","20.0","6:19","176","6:31","6:31"
"","","Corsa","5","0:20.9","25:00","0.05","6:22","6:33","161","162","0","0","170","273","0.91","8.3","9.1","258","252","3.46","254","3.49","4","19.0","6:26","172","0:20.9","6:22"
"","2","Corsa","6 - 7","10:00","35:00","1.58","6:21","6:22","162","167","4","6","169","275","0.94","8.5","9.1","274","273","3.75","330","4.53","114","19.0","6:06","174","9:59","6:20"
"","","Corsa","6","6:21.2","31:21","1.00","6:21","6:22","162","167","4","3","169","275","0.93","8.5","9.1","279","277","3.80","330","4.53","73","19.0","6:12","174","6:21","6:21"
"","","Corsa","7","3:38.8","35:00","0.58","6:21","6:21","162","164","0","2","169","274","0.94","8.5","9.1","265","267","3.67","287","3.94","41","19.0","6:06","171","3:38.8","6:20"
"","","Defaticamento","8 - 9","9:17.9","44:18","1.65","5:37","5:37","170","180","8","4","172","262","1.03","8.7","8.5","315","312","4.29","413","5.67","113","19.0","5:12","177","9:16","5:36"
"","","Defaticamento","8","5:00","40:00","0.86","5:51","5:53","168","172","5","3","171","266","0.99","8.6","8.7","299","297","4.08","382","5.25","59","19.0","5:28","174","4:59","5:50"
"","","Defaticamento","9","4:17.9","44:18","0.80","5:23","5:20","173","180","3","1","174","256","1.07","8.8","8.2","330","330","4.53","413","5.67","54","19.0","5:12","177","4:17","5:22"
"","Riepilogo","--","--","44:18","44:18","7.00","6:20","6:20","160","180","19","17","169","275","0.94","8.5","9.1","280","276","3.79","413","5.67","503","20.3","5:12","177","44:16","6:19"
