"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:31.3","5:31.3","1.00","5:31","5:40","137","148","2","7","284","Nessun peso","343","Nessun peso","167","267","--","1.09","9.4","8.6","61","27.0","4:50","174","5:29","5:29","--","--"
"2","5:18.0","10:49","1.00","5:18","5:25","150","154","0","12","287","Nessun peso","305","Nessun peso","170","260","--","1.12","9.4","8.4","66","26.0","5:06","175","5:18","5:18","--","--"
"3","5:22.3","16:12","1.00","5:22","5:22","150","153","7","6","297","Nessun peso","353","Nessun peso","169","263","--","1.10","9.3","8.5","66","24.0","5:09","174","5:22.3","5:22","--","--"
"4","5:20.3","21:32","1.00","5:20","5:24","153","156","5","8","295","Nessun peso","374","Nessun peso","169","262","--","1.10","9.3","8.4","66","23.0","5:01","175","5:20","5:20","--","--"
"5","5:18.6","26:51","1.00","5:19","5:20","153","156","0","4","294","Nessun peso","314","Nessun peso","169","261","--","1.12","9.4","8.4","66","23.0","5:08","172","5:18.6","5:19","--","--"
"6","5:16.3","32:07","1.00","5:16","5:21","154","157","0","6","290","Nessun peso","338","Nessun peso","170","261","--","1.12","9.4","8.4","65","23.0","4:32","192","5:16","5:16","--","--"
"7","5:31.4","37:38","1.00","5:31","5:25","156","163","10","4","294","Nessun peso","389","Nessun peso","169","265","--","1.07","9.2","8.6","68","24.0","4:50","172","5:31","5:31","--","--"
"8","5:30.4","43:09","1.00","5:30","5:27","154","156","8","4","293","Nessun peso","328","Nessun peso","167","269","--","1.10","9.5","8.7","66","25.0","5:22","171","5:30.4","5:30","--","--"
"9","5:31.4","48:40","1.00","5:31","5:32","153","156","1","3","282","Nessun peso","307","Nessun peso","169","265","--","1.08","9.3","8.6","66","25.0","5:13","174","5:31","5:31","--","--"
"10","5:26.0","54:06","1.00","5:26","5:26","153","157","3","4","286","Nessun peso","358","Nessun peso","169","264","--","1.09","9.3","8.5","65","27.0","5:08","174","5:26.0","5:26","--","--"
"11","5:28.1","59:34","1.00","5:28","5:23","153","156","5","0","294","Nessun peso","323","Nessun peso","169","265","--","1.09","9.3","8.6","65","26.0","5:16","174","5:28","5:28","--","--"
"12","5:28.6","1:05:03","1.00","5:29","5:31","153","156","1","2","283","Nessun peso","297","Nessun peso","169","265","--","1.08","9.2","8.6","64","26.0","5:23","172","5:28.6","5:29","--","--"
"13","5:29.6","1:10:32","1.00","5:30","5:31","153","155","2","4","280","Nessun peso","300","Nessun peso","169","265","--","1.08","9.2","8.6","65","28.0","5:23","174","5:29","5:29","--","--"
"14","5:38.1","1:16:10","1.00","5:38","5:31","153","155","8","0","289","Nessun peso","339","Nessun peso","168","267","--","1.06","9.2","8.7","66","29.0","5:24","174","5:38","5:38","--","--"
"15","5:43.3","1:21:54","1.00","5:43","5:38","152","157","9","1","286","Nessun peso","331","Nessun peso","167","271","--","1.04","9.2","8.8","66","28.0","5:31","172","5:43.3","5:43","--","--"
"16","0:12.5","1:22:06","0.04","5:24","5:51","151","151","0","0","268","Nessun peso","275","Nessun peso","166","274","--","1.04","9.3","8.9","2","28.0","5:45","167","0:11","4:44","--","--"
"Riepilogo","1:22:06","1:22:06","15.04","5:28","5:28","152","163","61","64","289","Nessun peso","389","Nessun peso","169","265","--","1.09","9.3","8.6","983","25.6","4:32","192","1:22:00","5:27","--","--"
